field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
195,2021,application,4310,30,,Seed,193.7578125,200.7597,,19,2021-05-11T18:59:00.000+05:00,2021-05-12
195,2022,application,7216,9,,Seed,0.0,234.0,,19,2021-09-07T10:54:00.000+05:00,2021-09-08
195,2022,application,7216,25,,Seed,0.0,256.0,,19,2021-09-07T10:54:00.000+05:00,2021-09-08
195,2022,application,7216,40,,Seed,0.0,218.0,,19,2021-09-07T10:54:00.000+05:00,2021-09-08
195,2022,application,7216,41,,Seed,0.0,235.0,,19,2021-09-07T10:54:00.000+05:00,2021-09-08
195,2023,application,11014,60,,Seed,0.0,230.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,application,11014,65,,Seed,0.0,0.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,application,11014,75,,Seed,0.0,0.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,application,11014,40,,Seed,236.78277235772356,0.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,application,11014,80,,Seed,0.0,0.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,application,11014,78,,Seed,0.0,0.0,,19,2022-08-28T07:02:00.000+05:00,2022-08-29
195,2023,other,13854,50,,Seed,0.0,0.0,,19,2023-05-03T06:00:00.000+05:00,2023-05-04
195,2023,other,13854,93,,Seed,0.0,0.0,,19,2023-05-03T06:00:00.000+05:00,2023-05-04
195,2024,application,27296,83,,Seed,0.0,0.3092627599186992,,32,2024-05-11T01:51:00.000+05:00,2024-05-12
195,2024,application,27296,109,,Seed,0.0,0.01928166349593496,,32,2024-05-11T01:51:00.000+05:00,2024-05-12
195,2024,application,27296,161,,Seed,0.0,0.037807183333333334,,34,2024-05-11T01:51:00.000+05:00,2024-05-12
195,2024,application,27296,162,,Seed,0.0,0.026843100162601625,,34,2024-05-11T01:51:00.000+05:00,2024-05-12
195,2025,application,33137,200,,Seed,205.0,205.0,,19,2025-05-13T14:54:00.000+05:00,2025-05-14
