field_id,year,asof_tag,cropwise_asof_t_ha,cropwise_history_date
195,2010,07_01,1.964,2010-06-26
195,2010,08_01,1.6092,2010-07-31
195,2010,09_01,1.717,2010-08-28
195,2011,07_01,2.6936,2011-06-25
195,2011,08_01,1.7154,2011-07-30
195,2011,09_01,1.4557,2011-08-27
195,2012,07_01,2.7464,2012-06-30
195,2012,08_01,2.7844,2012-07-28
195,2012,09_01,2.5186,2012-09-01
195,2013,07_01,1.9295000000000002,2013-06-29
195,2013,08_01,1.5351000000000001,2013-07-27
195,2013,09_01,2.168,2013-08-31
195,2014,07_01,2.5206,2014-06-28
195,2014,08_01,2.4958,2014-07-26
195,2014,09_01,2.7196000000000002,2014-08-30
195,2015,07_01,1.6608,2015-06-27
195,2015,08_01,1.0776999999999999,2015-08-01
195,2015,09_01,1.0337999999999998,2015-08-29
195,2016,07_01,2.1242,2016-06-25
195,2016,08_01,2.5458,2016-07-30
195,2016,09_01,2.1069,2016-08-27
195,2017,07_01,2.4146,2017-07-01
195,2017,08_01,1.5411,2017-07-29
195,2017,09_01,1.6873999999999998,2017-08-26
195,2018,07_01,2.2029,2018-06-30
195,2018,08_01,2.7432,2018-07-28
195,2018,09_01,2.7156,2018-09-01
195,2019,07_01,3.3225000000000002,2019-06-29
195,2019,08_01,2.9511,2019-07-13
195,2019,09_01,2.9511,2019-07-13
195,2020,07_01,1.6466,2020-06-27
195,2020,08_01,1.4514,2020-07-18
195,2020,09_01,1.4514,2020-07-18
195,2021,07_01,2.9562,2021-06-26
195,2021,08_01,3.3034,2021-07-31
195,2021,09_01,3.518,2021-08-28
195,2022,07_01,2.4328,2022-06-25
195,2022,08_01,2.4872,2022-07-16
195,2022,09_01,2.4872,2022-07-16
195,2023,07_01,2.4748,2023-07-01
195,2023,08_01,1.8031,2023-07-15
195,2023,09_01,1.8031,2023-07-15
195,2024,07_01,2.5282,2024-06-29
195,2024,08_01,3.1813,2024-07-27
195,2024,09_01,3.2249000000000003,2024-08-31
195,2025,07_01,3.6697,2025-06-28
195,2025,08_01,2.8708,2025-07-19
195,2025,09_01,2.8708,2025-07-19
195,2026,07_01,2.87,2026-06-07
195,2026,08_01,2.87,2026-06-07
195,2026,09_01,2.87,2026-06-07
197,2010,07_01,2.1921,2010-06-26
197,2010,08_01,2.7963999999999998,2010-07-31
197,2010,09_01,1.9725000000000001,2010-08-28
197,2011,07_01,2.8579,2011-06-25
197,2011,08_01,2.9388,2011-07-30
197,2011,09_01,1.9710999999999999,2011-08-27
197,2012,07_01,2.9745,2012-06-30
197,2012,08_01,2.5741,2012-07-28
197,2012,09_01,1.7502,2012-09-01
197,2013,07_01,2.0162,2013-06-29
197,2013,08_01,2.0468,2013-07-27
197,2013,09_01,2.1168,2013-08-31
197,2014,07_01,2.5806999999999998,2014-06-28
