field_id,year,estimate_value,cropwise_t_ha,estimate_date,history_item_id
195,2010,17.763,1.7763000000000002,2010-10-09,3695
195,2011,16.394,1.6393999999999997,2011-10-08,3696
195,2012,20.692,2.0692,2012-10-06,3697
195,2013,19.425,1.9425000000000001,2013-10-05,3698
195,2014,27.474,2.7474,2014-10-04,3699
195,2015,8.484,0.8484,2015-10-03,3700
195,2016,23.569,2.3569,2016-10-08,3701
195,2017,16.511,1.6511,2017-10-07,3702
195,2018,29.441,2.9440999999999997,2018-10-06,3703
195,2019,29.511,2.9511,2019-07-13,3704
195,2020,14.514,1.4514,2020-07-18,3705
195,2021,35.18,3.518,2021-08-28,3891
195,2022,24.872,2.4872,2022-07-16,9136
195,2023,18.031,1.8031,2023-07-15,9137
195,2024,33.274,3.3274,2024-09-28,9161
195,2025,28.708,2.8708,2025-07-19,11343
195,2026,28.7,2.87,2026-06-07,19459
197,2010,22.141,2.2140999999999997,2010-10-09,3733
197,2011,21.288,2.1288,2011-10-08,3734
197,2012,15.663,1.5663,2012-10-06,3735
197,2013,16.961,1.6961,2013-10-05,3736
197,2014,22.187,2.2187,2014-10-04,3737
197,2015,20.006,2.0006,2015-10-03,3738
197,2016,24.004,2.4004000000000003,2016-10-08,3739
197,2017,18.136,1.8135999999999999,2017-10-07,3740
197,2018,30.602,3.0602,2018-10-06,3741
197,2019,33.518,3.3518,2019-07-13,3742
197,2020,15.651,1.5651,2020-07-18,3743
197,2021,37.068,3.7068,2021-08-28,3889
197,2022,32.342,3.2342,2022-07-16,9357
197,2023,21.737,2.1736999999999997,2023-07-15,9358
197,2024,32.481,3.2481,2024-10-05,10131
197,2025,31.238,3.1238,2025-08-16,11330
197,2026,23.284,2.3284,2026-06-07,19443
207,2010,21.087,2.1087,2010-10-09,3973
207,2011,17.486,1.7486000000000002,2011-10-08,3974
207,2012,20.149,2.0149,2012-10-06,3975
207,2013,22.497,2.2497,2013-10-05,3976
207,2014,22.424,2.2424,2014-10-04,3977
207,2015,17.668,1.7668,2015-10-03,3978
207,2016,19.816,1.9815999999999998,2016-10-08,3979
207,2017,15.516,1.5516,2017-10-07,3980
207,2018,22.995,2.2995,2018-10-06,3981
207,2019,27.728,2.7728,2019-07-13,3982
207,2020,11.702,1.1702,2020-09-19,3983
207,2021,31.641,3.1641,2021-08-28,3984
207,2022,29.544,2.9544,2022-07-16,6433
207,2023,21.542,2.1542000000000003,2023-07-15,8867
207,2024,30.323,3.0323,2024-09-28,8961
207,2025,34.044,3.4044,2025-07-19,11280
207,2026,23.902,2.3902,2026-06-07,19335
208,2010,24.501,2.4501,2010-10-09,3993
208,2011,23.01,2.301,2011-10-08,3994
208,2012,20.003,2.0003,2012-10-06,3995
208,2013,27.517,2.7517,2013-10-05,3996
208,2014,29.195,2.9195,2014-10-04,3997
208,2015,14.288,1.4288,2015-10-03,3998
208,2016,21.872,2.1872,2016-10-08,3999
208,2017,20.779,2.0779,2017-10-07,4000
208,2018,16.354,1.6354,2018-10-06,4001
208,2019,21.162,2.1162,2019-10-05,4002
208,2020,13.906,1.3906,2020-07-18,4003
208,2021,30.769,3.0768999999999997,2021-10-23,4004
208,2022,34.204,3.4204,2022-09-10,6462
208,2023,15.494,1.5493999999999999,2023-09-23,8885
208,2024,28.781,2.8781,2024-09-28,8979
208,2025,30.721,3.0721,2025-07-26,11337
208,2026,23.11,2.311,2026-06-07,19450
209,2010,20.058,2.0058,2010-10-09,4013
209,2011,21.288,2.1288,2011-10-08,4014
209,2012,21.412,2.1412,2012-10-06,4015
209,2013,17.872,1.7872,2013-10-05,4016
209,2014,27.874,2.7874,2014-10-04,4017
209,2015,19.986,1.9986000000000002,2015-10-03,4018
209,2016,25.161,2.5161000000000002,2016-10-08,4019
209,2017,31.563,3.1563,2017-07-15,4020
209,2018,23.351,2.3350999999999997,2018-10-06,4021
209,2019,14.083,1.4083,2019-07-13,4022
209,2020,28.142,2.8142,2020-09-12,4023
209,2021,23.811,2.3811,2021-10-30,4024
209,2022,34.979,3.4979,2022-09-03,6464
209,2023,30.968,3.0968,2023-07-15,8887
209,2024,56.417,5.6417,2024-07-20,8981
209,2025,30.953,3.0953,2025-10-01,11340
209,2026,32.582,3.2582,2026-06-07,19453
210,2010,24.812,2.4812000000000003,2010-10-09,4033
210,2011,23.706,2.3706,2011-10-08,4034
210,2012,18.137,1.8137,2012-10-06,4035
210,2013,19.414,1.9414000000000002,2013-10-05,4036
210,2014,29.256,2.9256,2014-10-04,4037
210,2015,24.408,2.4408000000000003,2015-10-03,4038
210,2016,28.707,2.8707000000000003,2016-10-08,4039
210,2017,24.049,2.4049,2017-07-15,4040
210,2018,17.359,1.7359000000000002,2018-07-14,4041
210,2019,24.037,2.4036999999999997,2019-10-05,4042
210,2020,21.218,2.1218,2020-07-18,4043
210,2021,29.186,2.9186,2021-10-16,4044
210,2022,34.1,3.41,2022-09-10,6465
210,2023,16.518,1.6518000000000002,2023-08-05,8888
210,2024,57.541,5.754099999999999,2024-07-20,8982
210,2025,26.162,2.6162,2025-10-01,11342
210,2026,25.742,2.5742000000000003,2026-06-07,19455
211,2017,18.834,1.8834,2017-07-15,4060
211,2019,23.18,2.318,2019-10-05,4062
211,2020,24.044,2.4044,2020-07-18,4063
211,2021,29.907,2.9907,2021-10-16,4064
211,2022,34.704,3.4704,2022-07-16,6466
212,2010,25.729,2.5728999999999997,2010-10-09,4073
212,2011,21.887,2.1887,2011-10-08,4074
212,2012,24.481,2.4481,2012-10-06,4075
212,2013,21.99,2.199,2013-10-05,4076
212,2014,24.5,2.45,2014-10-04,4077
212,2015,16.854,1.6854,2015-10-03,4078
212,2016,27.669,2.7669,2016-10-08,4079
212,2017,16.862,1.6862,2017-10-07,4080
212,2018,13.272,1.3272,2018-10-06,4081
212,2019,24.78,2.478,2019-10-05,4082
212,2020,13.132,1.3132,2020-07-18,4083
212,2021,32.197,3.2197000000000005,2021-10-16,4084
212,2022,30.777,3.0777,2022-09-03,6473
