field_id,year,crop_id,prev_crop_id,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_apr_precip,wx_apr_srad,wx_apr_et0,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,wx_jul_precip,wx_jul_temp_mean,wx_jul_temp_max,wx_jul_srad,wx_jul_et0,wx_jul_vpd_max,wx_jul_hot_d30,wx_aug_precip,wx_aug_temp_mean,wx_aug_temp_max,wx_aug_srad,wx_aug_et0,wx_aug_vpd_max,wx_aug_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,sowing_date,harvesting_date,sowing_date_valid,days_after_sowing_asof,sowing_doy,gdd_base_temp,gdd_from_sowing_asof,wx_sow_precip_sum,wx_sow_et0_sum,wx_sow_water_balance,wx_sow_srad_sum,wx_sow_vpd_max,wx_sow_vpd_days_high,wx_sow_hot_d30,wx_sow_dry_days,wx_sow_drought_run,ndvi_sow_n_obs,ndvi_sow_mean,ndvi_sow_max,ndvi_sow_last,ndvi_sow_peak_das,ndvi_at_das_30,ndvi_at_das_45,ndvi_at_das_60,ndvi_at_das_75,ndvi_at_das_90,ndvi_at_das_120,ndvi_sow_peak_gdd,ndvi_at_sow_gdd_200,ndvi_at_sow_gdd_400,ndvi_at_sow_gdd_600,ndvi_at_sow_gdd_800,ndvi_at_sow_gdd_1000,ndvi_at_sow_gdd_1200,ndvi_growth_per_100gdd_from_sow,scout_n_reports_asof,scout_has_report_asof,soil_sample_n_asof,soil_sample_has_asof,soil_sample_days_since_latest,soil_sample_n_tests_asof,soil_sample_latest_soil_K,soil_sample_mean_soil_K,soil_sample_latest_soil_P,soil_sample_mean_soil_P,soil_sample_latest_soil_S,soil_sample_mean_soil_S,soil_sample_latest_soil_Cu,soil_sample_mean_soil_Cu,soil_sample_latest_soil_Fe,soil_sample_mean_soil_Fe,soil_sample_latest_soil_Mg,soil_sample_mean_soil_Mg,soil_sample_latest_soil_Mn,soil_sample_mean_soil_Mn,soil_sample_latest_soil_Mo,soil_sample_mean_soil_Mo,soil_sample_latest_soil_Zn,soil_sample_mean_soil_Zn,soil_sample_latest_soil_pH,soil_sample_mean_soil_pH,soil_sample_latest_soil_N_NO3,soil_sample_mean_soil_N_NO3,soil_sample_latest_soil_organic_matter,soil_sample_mean_soil_organic_matter,soil_sample_latest_soil_B,soil_sample_mean_soil_B,soil_sample_latest_soil_N,soil_sample_mean_soil_N,scout_last_report_doy,scout_days_since_last_report,scout_growth_stage_max,scout_growth_stage_last,scout_risk_yield_decreasing_n,scout_risk_yield_decreasing_any,scout_condition_score_min,scout_condition_score_last,scout_condition_bad_n,scout_condition_not_good_n,scout_threat_reports_n,scout_threat_total_n,scout_threat_disease_any,scout_threat_insect_any,scout_threat_weed_any,standard_name,field_name,prod_crop_ru,target_yield_t_ha,target_source,unit_fix_applied,mgmt_ops_n_asof,mgmt_has_ops_asof,mgmt_first_op_doy,mgmt_last_op_doy,mgmt_days_since_last_op,mgmt_completed_area_sum,mgmt_completed_area_mean,mgmt_completed_area_max,mgmt_op_application_n,mgmt_op_soil_n,mgmt_op_other_n,mgmt_subtype_harrowing_n,mgmt_subtype_discing_n,mgmt_subtype_other_n,mgmt_flag_herbicide_chem_n,mgmt_flag_herbicide_chem_any,mgmt_flag_insecticide_chem_n,mgmt_flag_insecticide_chem_any,mgmt_flag_topdress_n,mgmt_flag_topdress_any,mgmt_flag_fungicide_chem_n,mgmt_flag_fungicide_chem_any,mgmt_fertilizer_items_n,mgmt_fertilizer_fact_rate_sum,mgmt_fertilizer_fact_rate_mean,mgmt_fertilizer_fact_rate_max,mgmt_fertilizer_fact_amount_sum,mgmt_fertilizer_last_doy,mgmt_fertilizer_days_since_last,mgmt_seed_items_n,mgmt_seed_fact_rate_sum,mgmt_seed_fact_rate_mean,mgmt_seed_fact_rate_max,mgmt_seed_fact_amount_sum,mgmt_seed_last_doy,mgmt_seed_days_since_last,mgmt_chemical_items_n,mgmt_chemical_fact_rate_sum,mgmt_chemical_fact_rate_mean,mgmt_chemical_fact_rate_max,mgmt_chemical_fact_amount_sum,mgmt_chemical_last_doy,mgmt_chemical_days_since_last,mgmt_fert_N_rate_sum,mgmt_fert_N_rate_max,mgmt_fert_P2O5_rate_sum,mgmt_fert_P2O5_rate_max,mgmt_fert_K2O_rate_sum,mgmt_fert_K2O_rate_max,mgmt_fert_S_rate_sum,mgmt_fert_S_rate_max,mgmt_fert_Mg_rate_sum,mgmt_fert_Mg_rate_max,mgmt_fert_B_rate_sum,mgmt_fert_B_rate_max,mgmt_fert_Zn_rate_sum,mgmt_fert_Zn_rate_max
207,2018,40.0,40.0,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,63.0,0.5267619047619048,0.8,0.164,0.235841399107281,0.2715,0.7164999999999999,0.0061995595307963,0.672,33.186,210.0,0.636,37.0,1,99,40__40,14.328104575163398,32.2,311.1,3046.35,3.93,1.7003267973856209,61,597.27,-286.16999999999996,1357.6,8,105,16,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,28.799999999999997,19.24516129032258,30.8,731.4,147.29,3.41,3,84.8,18.33225806451613,32.0,592.67,123.4,3.77,1,0.0538056006619642,0.3604434772298409,-0.2342627213695395,0.3604434772298409,0.2760046236591691,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Александров ключ,Подсолнечник,3.496,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2018,40.0,44.0,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,72.0,0.5415555555555556,0.756,0.168,0.1936331646932823,0.34225,0.7002499999999999,0.0051045964031317,0.597,38.992,208.0,0.588,47.0,2,1,44__40,14.526143790849671,32.0,326.2,3066.1800000000003,3.93,1.6763398692810458,57,614.8100000000001,-288.61000000000007,1384.9,6,104,12,2,63.4,434.49,74.98,101.3,8.935483870967742,26.8,529.24,95.22,2.41,23.2,20.126666666666665,32.0,775.11,167.64,3.93,4,46.4,19.32903225806452,30.0,735.19,149.96,3.25,1,91.9,18.51935483870968,31.5,592.15,127.01,3.53,1,0.0301661078614321,0.1946372339781431,-0.0884711038961039,0.1811508920372557,0.1307420474166686,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Козлов Увал левый,Подсолнечник,1.7399999999999998,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2018,21.0,44.0,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,71.0,0.5118732394366199,0.714,0.177,0.1918549136077091,0.312,0.687,0.0054258917393271,0.682,36.34300000000001,209.0,0.5369999999999999,39.0,2,1,44__21,14.526143790849671,32.0,326.2,3066.1800000000003,3.93,1.6763398692810458,57,614.8100000000001,-288.61000000000007,1384.9,6,104,12,2,63.4,434.49,74.98,101.3,8.935483870967742,26.8,529.24,95.22,2.41,23.2,20.126666666666665,32.0,775.11,167.64,3.93,4,46.4,19.32903225806452,30.0,735.19,149.96,3.25,1,91.9,18.51935483870968,31.5,592.15,127.01,3.53,1,-0.0128141876615651,0.2121033615374525,-0.1882465531942805,0.2121033615374525,0.1299756106407621,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oil_seed_raps_winter,Козлов увал правый,Рапс озимый,0.978,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2018,40.0,40.0,346.0,6.953846153846154,3.8015384615384615,195.0484615384616,763.0697146153847,10.056153846153848,475.38461538461536,70.0,0.4982571428571429,0.743,0.172,0.2089814541131947,0.25075,0.68025,0.0054004659407516,0.65,34.87800000000001,210.0,0.571,39.0,1,99,40__40,14.328104575163398,32.2,311.1,3046.35,3.93,1.7003267973856209,61,597.27,-286.16999999999996,1357.6,8,105,16,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,28.799999999999997,19.24516129032258,30.8,731.4,147.29,3.41,3,84.8,18.33225806451613,32.0,592.67,123.4,3.77,1,0.0181246750695192,0.2776670390215844,-0.1863816849816849,0.2776670390215844,0.1801391553592311,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Большая Семёниха СК,Подсолнечник,2.613,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2018,16.0,40.0,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,61.0,0.4746065573770492,0.666,0.184,0.1464362759285433,0.328,0.627,0.0044273591098449,0.666,28.951,238.0,0.482,32.0,1,99,40__16,14.150980392156866,31.8,323.4,3028.8,3.72,1.6470588235294117,55,578.13,-254.73,1330.9,6,100,12,2,72.2,423.51,69.33,106.5,8.741935483870968,26.6,519.05,89.07,2.25,24.9,19.209999999999997,31.8,768.8199999999999,155.38,3.72,4,39.3,19.335483870967742,30.7,727.25,145.68,3.34,1,80.5,18.13225806451613,31.8,590.17,118.67,3.64,1,-0.036573043456378,0.2151854519218156,-0.1652070346320346,0.2151854519218156,0.1382993869093869,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,Бонн 1,Кукуруза,3.312,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2018,16.0,40.0,12.0,6.4,2.36,225.3,220.85171,12.11,480.0,56.0,0.4752857142857142,0.612,0.075,0.115861634579126,0.40075,0.56975,0.0032640683375749,0.572,26.616,216.0,0.537,33.0,1,99,40__16,14.150980392156866,31.8,323.4,3028.8,3.72,1.6470588235294117,55,578.13,-254.73,1330.9,6,100,12,2,72.2,423.51,69.33,106.5,8.741935483870968,26.6,519.05,89.07,2.25,24.9,19.209999999999997,31.8,768.8199999999999,155.38,3.72,4,39.3,19.335483870967742,30.7,727.25,145.68,3.34,1,80.5,18.13225806451613,31.8,590.17,118.67,3.64,1,0.0137044455387285,0.1538547356683719,-0.0729968614718614,0.1530374294897021,0.1027642337460519,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,Бонн 2,Кукуруза,3.312,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2018,36.0,43.0,235.0,7.2625,3.685,204.0575,646.09227125,9.26,453.75,67.0,0.5025074626865672,0.712,0.158,0.1818861685299826,0.309,0.6485000000000001,0.0048323525100045,0.524,33.668000000000006,208.0,0.5539999999999999,43.0,2,1,43__36,14.328104575163398,32.2,311.1,3046.35,3.93,1.7003267973856209,61,597.27,-286.16999999999996,1357.6,8,105,16,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,28.799999999999997,19.24516129032258,30.8,731.4,147.29,3.41,3,84.8,18.33225806451613,32.0,592.67,123.4,3.77,1,-0.0007764842878928,0.1418192739079102,-0.1567686147186147,0.1093390955004591,0.1218683013807345,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soya,Давыдкин увал левый,Соя,0.93,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2018,36.0,43.0,296.0,6.609090909090909,3.7290909090909095,211.9754545454545,649.4797309090909,7.533636363636364,452.7272727272728,67.0,0.5068507462686567,0.673,0.161,0.1689035098326007,0.4255,0.6415,0.0036724143788248,0.51,33.958999999999996,190.0,0.512,48.0,2,1,43__36,14.328104575163398,32.2,311.1,3046.35,3.93,1.7003267973856209,61,597.27,-286.16999999999996,1357.6,8,105,16,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,28.799999999999997,19.24516129032258,30.8,731.4,147.29,3.41,3,84.8,18.33225806451613,32.0,592.67,123.4,3.77,1,0.0055004442817095,0.1349339327339327,-0.0712924999999999,0.1329343893480257,0.0623726078635169,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soya,Давыдкин увал правый,Соя,0.9,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2019,43.0,40.0,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,71.0,0.4295915492957746,0.737,0.167,0.2219522583778055,0.1775,0.6745000000000001,0.0026344883153653,0.238,30.501,187.0,0.57,30.0,1,99,40__43,14.38562091503268,33.5,330.20000000000005,3224.8,4.13,1.568169934640523,39,593.8199999999999,-263.6199999999999,1347.8000000000002,7,104,16,3,51.4,477.14,73.63,63.1,9.712903225806452,25.9,688.78,113.15,2.28,101.8,16.436666666666667,28.5,700.99,124.64,2.3,0,61.7,20.04516129032258,30.0,728.0,149.18,3.03,1,52.2,19.9,33.5,629.89,133.22,4.13,6,0.0021730899376385,0.105040254190254,-0.13466341991342,-0.0863937913937913,-0.0620972283118116,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wheat_spring,Александров ключ,Пшеница яровая,3.5799999999999996,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2019,40.0,40.0,130.0,6.8,3.916,202.758,706.31834,5.7,504.0,70.0,0.5013,0.699,0.158,0.2084646835454732,0.2385,0.675,0.004792498617729,0.643,35.090999999999994,196.0,0.5409999999999999,45.0,1,99,40__40,13.626797385620913,32.0,341.6,3242.82,3.74,1.4397385620915033,32,593.5,-251.9,1252.8,4,104,13,1,45.9,486.12,73.82,70.1,9.151612903225804,25.0,693.09,114.07,2.17,103.4,15.61,26.6,702.02,122.46,2.13,0,65.3,19.27741935483871,28.4,730.25,150.09,2.62,0,56.9,19.01290322580645,32.0,631.34,133.06,3.74,4,0.016930742118031,0.1661941738816738,-0.1095716033966033,0.1509301018426017,0.0854312087912087,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Карелкино,Подсолнечник,2.133,productivity_data_c_ha_exact_field_name,True,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
