field_id,year,crop_id,prev_crop_id,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_apr_precip,wx_apr_srad,wx_apr_et0,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,sowing_date,harvesting_date,sowing_date_valid,days_after_sowing_asof,sowing_doy,gdd_base_temp,gdd_from_sowing_asof,wx_sow_precip_sum,wx_sow_et0_sum,wx_sow_water_balance,wx_sow_srad_sum,wx_sow_vpd_max,wx_sow_vpd_days_high,wx_sow_hot_d30,wx_sow_dry_days,wx_sow_drought_run,ndvi_sow_n_obs,ndvi_sow_mean,ndvi_sow_max,ndvi_sow_last,ndvi_sow_peak_das,ndvi_at_das_30,ndvi_at_das_45,ndvi_at_das_60,ndvi_at_das_75,ndvi_at_das_90,ndvi_at_das_120,ndvi_sow_peak_gdd,ndvi_at_sow_gdd_200,ndvi_at_sow_gdd_400,ndvi_at_sow_gdd_600,ndvi_at_sow_gdd_800,ndvi_at_sow_gdd_1000,ndvi_at_sow_gdd_1200,ndvi_growth_per_100gdd_from_sow,scout_n_reports_asof,scout_has_report_asof,soil_sample_n_asof,soil_sample_has_asof,soil_sample_days_since_latest,soil_sample_n_tests_asof,soil_sample_latest_soil_K,soil_sample_mean_soil_K,soil_sample_latest_soil_P,soil_sample_mean_soil_P,soil_sample_latest_soil_S,soil_sample_mean_soil_S,soil_sample_latest_soil_Cu,soil_sample_mean_soil_Cu,soil_sample_latest_soil_Fe,soil_sample_mean_soil_Fe,soil_sample_latest_soil_Mg,soil_sample_mean_soil_Mg,soil_sample_latest_soil_Mn,soil_sample_mean_soil_Mn,soil_sample_latest_soil_Mo,soil_sample_mean_soil_Mo,soil_sample_latest_soil_Zn,soil_sample_mean_soil_Zn,soil_sample_latest_soil_pH,soil_sample_mean_soil_pH,soil_sample_latest_soil_N_NO3,soil_sample_mean_soil_N_NO3,soil_sample_latest_soil_organic_matter,soil_sample_mean_soil_organic_matter,soil_sample_latest_soil_B,soil_sample_mean_soil_B,soil_sample_latest_soil_N,soil_sample_mean_soil_N,scout_last_report_doy,scout_days_since_last_report,scout_growth_stage_max,scout_growth_stage_last,scout_risk_yield_decreasing_n,scout_risk_yield_decreasing_any,scout_condition_score_min,scout_condition_score_last,scout_condition_bad_n,scout_condition_not_good_n,scout_threat_reports_n,scout_threat_total_n,scout_threat_disease_any,scout_threat_insect_any,scout_threat_weed_any,standard_name,field_name,prod_crop_ru,target_yield_t_ha,target_source,unit_fix_applied,mgmt_ops_n_asof,mgmt_has_ops_asof,mgmt_op_application_n,mgmt_op_soil_n,mgmt_op_other_n,mgmt_subtype_harrowing_n,mgmt_subtype_discing_n,mgmt_fertilizer_items_n,mgmt_fertilizer_fact_rate_sum,mgmt_seed_items_n,mgmt_seed_fact_rate_sum,mgmt_chemical_items_n,mgmt_chemical_fact_rate_sum,mgmt_fert_N_rate_sum,mgmt_fert_P2O5_rate_sum,mgmt_fert_K2O_rate_sum,mgmt_fert_S_rate_sum,mgmt_fert_Mg_rate_sum,physical_t_ha,productivity_t_ha,prod_fact_t_ha,target_v17,target_v17_source,target_v17_conflict
207,2018,40.0,40.0,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,28.0,0.2811071428571429,0.623,0.164,0.1226153507302159,0.18425,0.3512499999999999,0.0050885314433044,0.623,7.871,180.0,0.4589999999999999,2.0,1,99,40__40,11.289010989010988,32.2,197.5,1722.2800000000002,3.93,1.4606593406593409,26,326.58,-129.07999999999998,564.6999999999999,4,55,12,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,-0.1316276129074749,-0.0073303571428571,-0.2342627213695395,-0.0271258297258296,-0.1751025706961831,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Александров ключ,Подсолнечник,3.496,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,3.496,3.496,3.496,prod_fact_t_ha,False
209,2018,40.0,44.0,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,32.0,0.35240625,0.632,0.168,0.1333540539726389,0.2375,0.46425,0.0065424756541982,0.632,11.277,180.0,0.4639999999999999,7.0,2,1,44__40,11.52967032967033,32.0,187.9,1738.84,3.93,1.48,25,337.84,-149.93999999999997,583.5999999999999,4,57,12,2,63.4,434.49,74.98,101.3,8.935483870967742,26.8,529.24,95.22,2.41,23.2,20.126666666666665,32.0,775.11,167.64,3.93,4,-0.0404428381275842,0.0240904761904761,-0.0884711038961039,0.0190801948051947,-0.0541449547548411,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Козлов Увал левый,Подсолнечник,1.7399999999999998,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,1.7399999999999998,1.7399999999999998,1.7399999999999998,prod_fact_t_ha,False
210,2018,21.0,44.0,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,33.0,0.3169696969696969,0.504,0.177,0.0860611075529562,0.254,0.373,0.0045103453778234,0.504,10.46,180.0,0.327,1.0,2,1,44__21,11.52967032967033,32.0,187.9,1738.84,3.93,1.48,25,337.84,-149.93999999999997,583.5999999999999,4,57,12,2,63.4,434.49,74.98,101.3,8.935483870967742,26.8,529.24,95.22,2.41,23.2,20.126666666666665,32.0,775.11,167.64,3.93,4,-0.1099018507543005,-0.0010612244897959,-0.1882465531942805,-0.1132983405483405,-0.1426440906568179,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oil_seed_raps_winter,Козлов увал правый,Рапс озимый,0.978,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,0.978,0.978,0.978,prod_fact_t_ha,False
227,2018,40.0,40.0,346.0,6.953846153846154,3.8015384615384615,195.0484615384616,763.0697146153847,10.056153846153848,475.38461538461536,33.0,0.2918787878787878,0.59,0.172,0.104226372971399,0.223,0.349,0.004391894998161,0.59,9.632,180.0,0.418,2.0,1,99,40__40,11.289010989010988,32.2,197.5,1722.2800000000002,3.93,1.4606593406593409,26,326.58,-129.07999999999998,564.6999999999999,4,55,12,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,-0.0874960622550085,0.0163333333333333,-0.1863816849816849,-0.0331089466089465,-0.1282885486494681,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Большая Семёниха СК,Подсолнечник,2.613,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,2.613,2.613,2.613,prod_fact_t_ha,False
228,2018,16.0,40.0,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,27.0,0.3284444444444445,0.455,0.184,0.0712992303388583,0.286,0.3775,0.0038736586731361,0.455,8.868,178.0,0.271,0.0,1,99,40__16,11.028571428571428,31.8,203.6,1711.38,3.72,1.4383516483516483,26,313.78000000000003,-110.18,541.4000000000001,4,54,12,2,72.2,423.51,69.33,106.5,8.741935483870968,26.6,519.05,89.07,2.25,24.9,19.209999999999997,31.8,768.8199999999999,155.38,3.72,4,-0.1021251370244046,-0.0046799999999999,-0.1652070346320346,-0.1330567099567098,-0.1295989753778768,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,Бонн 1,Кукуруза,3.312,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,3.312,3.312,3.312,prod_fact_t_ha,False
229,2018,16.0,40.0,12.0,6.4,2.36,225.3,220.85171,12.11,480.0,23.0,0.3654347826086956,0.494,0.075,0.1053374808751692,0.318,0.4489999999999999,0.0055130303131505,0.486,8.405,170.0,0.419,0.0,1,99,40__16,11.028571428571428,31.8,203.6,1711.38,3.72,1.4383516483516483,26,313.78000000000003,-110.18,541.4000000000001,4,54,12,2,72.2,423.51,69.33,106.5,8.741935483870968,26.6,519.05,89.07,2.25,24.9,19.209999999999997,31.8,768.8199999999999,155.38,3.72,4,-0.021761564162549,0.0426505555555555,-0.0729968614718614,-0.0284806637806638,-0.0385038415696857,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maize,Бонн 2,Кукуруза,3.312,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,3.312,3.312,3.312,prod_fact_t_ha,False
231,2018,36.0,43.0,235.0,7.2625,3.685,204.0575,646.09227125,9.26,453.75,30.0,0.3266,0.544,0.158,0.1249289398017929,0.22,0.4345,0.0059569546091241,0.527,9.798,174.0,0.386,6.0,2,1,43__36,11.289010989010988,32.2,197.5,1722.2800000000002,3.93,1.4606593406593409,26,326.58,-129.07999999999998,564.6999999999999,4,55,12,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,-0.075958848879025,-0.0022624999999999,-0.1567686147186147,-0.1049898989898988,-0.0969051215212219,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soya,Давыдкин увал левый,Соя,0.93,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,0.93,0.93,0.93,prod_fact_t_ha,False
232,2018,36.0,43.0,296.0,6.609090909090909,3.7290909090909095,211.9754545454545,649.4797309090909,7.533636363636364,452.7272727272728,29.0,0.3715517241379309,0.615,0.161,0.1706663585634357,0.202,0.571,0.0081699088125258,0.601,10.775,172.0,0.4539999999999999,10.0,2,1,43__36,11.289010989010988,32.2,197.5,1722.2800000000002,3.93,1.4606593406593409,26,326.58,-129.07999999999998,564.6999999999999,4,55,12,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,-0.017865869477092,0.0283666288257197,-0.0712924999999999,-0.0481633116883116,-0.0134363806395624,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soya,Давыдкин увал правый,Соя,0.9,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,prod_fact_t_ha,False
207,2019,43.0,40.0,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,40.0,0.35245,0.713,0.167,0.2184943877997785,0.174,0.5925,0.0077942971529488,0.713,14.098,182.0,0.5459999999999999,13.0,1,99,40__43,10.57912087912088,28.5,216.3,1866.91,2.3,1.1723076923076925,4,311.42,-95.12,481.49999999999994,0,56,13,0,51.4,477.14,73.63,63.1,9.712903225806452,25.9,688.78,113.15,2.28,101.8,16.436666666666667,28.5,700.99,124.64,2.3,0,0.0060689428389748,0.105040254190254,-0.0517219598583235,0.04008707010582,0.0617908623107892,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wheat_spring,Александров ключ,Пшеница яровая,3.5799999999999996,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,3.5799999999999996,3.5799999999999996,3.5799999999999996,prod_fact_t_ha,False
208,2019,40.0,40.0,130.0,6.8,3.916,202.758,706.31834,5.7,504.0,38.0,0.3562631578947369,0.64,0.158,0.1833461902652044,0.1955,0.568,0.0066116371207374,0.63,13.538000000000002,179.0,0.482,13.0,1,99,40__40,9.867032967032968,26.6,219.4,1881.23,2.17,1.1132967032967034,2,310.34999999999997,-90.94999999999996,437.7999999999999,0,57,13,0,45.9,486.12,73.82,70.1,9.151612903225804,25.0,693.09,114.07,2.17,103.4,15.61,26.6,702.02,122.46,2.13,0,-0.010705073042573,0.0554203241203241,-0.1095716033966033,0.0250445436507936,0.0208792239506525,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunflower,Карелкино,Подсолнечник,2.133,v17_prod_fact_t_ha,True,0,0,,,,,,,,,,,,,,,,,,2.133,2.133,2.133,prod_fact_t_ha,False
