field_id,year,crop_id,prev_crop_id,target_yield_t_ha,target_source,unit_fix_applied,field_tillable_area,field_calculated_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_p10_max_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_srad_mean_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_gdd_wheat_to_asof,wx_hot_d30_to_asof,wx_hot_d35_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_precip_sum_last30d,wx_srad_sum_last30d,wx_et0_sum_last30d,wx_vpd_max_last30d,wx_temp_max_last30d,wx_apr_precip,wx_apr_temp_mean,wx_apr_temp_max,wx_apr_srad,wx_apr_et0,wx_apr_vpd_max,wx_apr_hot_d30,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_may_hot_d30,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,gdd_at_asof,ndvi_at_gdd_200,ndvi_at_gdd_400,ndvi_at_gdd_600,ndvi_at_gdd_800,ndvi_at_gdd_1000,ndvi_at_gdd_1200,ndvi_at_gdd_1400,ndvi_peak_gdd_at_asof,ndvi_peak_value_at_asof,ndvi_growth_per_100gdd
195,2010,40.0,40.0,1.7763000000000002,estimate_normalized,True,123.0,122.42127,6.9,3.6425,225.2,499.4803025,7.5175,427.5,33.0,0.3377878787878788,0.553,0.194,0.1054852445736994,0.238,0.421,0.5263333333333334,0.0060857368821886,0.553,11.147000000000002,181.0,0.359,2.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.0218373329252117,0.0525428571428571,-0.1009259259259259,-0.0800571428571428,-0.0358829857532238,3,529.1999999999999,0.3422746185852982,0.4531694352159468,,,,,,529.1999999999999,0.537,0.0704564489112228
197,2010,40.0,40.0,2.2140999999999997,estimate_normalized,True,343.0,343.71311,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,454.61538461538464,36.0,0.3528333333333333,0.668,0.171,0.158081466339353,0.19275,0.51475,0.6443333333333334,0.0086939562895523,0.668,12.702,181.0,0.497,11.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0595746362433862,0.0072333333333333,-0.1468981481481481,-0.04955,-0.0902336734693877,3,586.2,0.2677142857142857,0.5161928181108509,,,,,,586.2,0.6478571428571429,0.09469040012171002
207,2010,40.0,40.0,2.1087,estimate_normalized,True,110.91,110.91329,6.875,3.55,244.935,425.663535,5.4125,412.5,33.0,0.2461818181818181,0.671,0.161,0.1033248641335151,0.186,0.27,0.5213333333333333,0.0046335699129289,0.671,8.123999999999999,181.0,0.51,1.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.1058931838223504,0.0403055555555555,-0.2471250000000001,0.0403055555555555,-0.1637996957671957,3,529.1999999999999,0.21402357836338418,0.36509966777408637,,,,,,529.1999999999999,0.5678571428571428,0.1039328111120084
208,2010,40.0,40.0,2.4501,estimate_normalized,True,130.0,128.21593,6.8,3.916,202.758,706.31834,5.7,504.0,32.0,0.3150625,0.559,0.142,0.1320806897080341,0.1845,0.43325,0.5413333333333333,0.007637891552197,0.559,10.082,171.0,0.417,4.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.0545022796792328,-0.0038666666666666,-0.0795446428571428,-0.0451555555555555,-0.050242678182384,3,464.90000000000003,0.33599289267945986,0.5360015117157974,,,,,,464.90000000000003,0.5682857142857143,0.09310663463315468
209,2010,40.0,40.0,2.0058,estimate_normalized,True,301.65,301.6502,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,38.0,0.2562894736842105,0.468,0.153,0.0821605962332747,0.177,0.2995,0.4303333333333333,0.0044625844269301,0.468,9.739,176.0,0.315,0.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0463436125034809,-0.0122999999999999,-0.0968333333333333,-0.0387592592592592,-0.0657676851851851,3,533.2,0.24000000000000002,0.3522365339578455,,,,,,533.2,0.48614285714285715,0.06849596981649803
210,2010,40.0,40.0,2.4812000000000003,estimate_normalized,True,247.0,245.92428,7.2125,3.72,230.06625,480.10587375,9.455,423.75,34.0,0.3050588235294118,0.509,0.15,0.1097716724351239,0.19575,0.3805,0.4933333333333333,0.0061293589562946,0.509,10.372000000000002,176.0,0.359,1.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0440073432150638,0.0202285714285713,-0.1054444444444445,-0.0589148148148147,-0.0505277042915931,3,533.2,0.29176647834274955,0.4333629976580797,,,,,,533.2,0.566,0.08257918552036198
212,2010,40.0,40.0,2.5728999999999997,estimate_normalized,True,136.0,134.83369,7.140000000000001,3.766,232.258,464.594502,5.536,432.0,28.0,0.2577857142857143,0.423,0.169,0.0672805199693562,0.18775,0.29925,0.4004999999999999,0.0037275667779632,0.423,7.218000000000001,176.0,0.254,0.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.1003363874716553,-0.0092999999999999,-0.2748095238095238,-0.2080972222222223,-0.1617696676587302,3,464.90000000000003,0.28320042643923243,0.38508692365835223,,,,,,464.90000000000003,0.4627142857142857,0.06730733690630196
213,2010,40.0,40.0,2.1619,estimate_normalized,True,14.0,16.53751,7.2,3.39,148.5,272.23874,13.42,420.0,31.0,0.3067419354838709,0.48,0.179,0.0957665062810905,0.203,0.3805,0.4636666666666666,0.0055416118206934,0.48,9.509,176.0,0.301,0.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0597340288445127,-0.0149999999999999,-0.0991666666666666,-0.0687740740740742,-0.076176338313103,3,533.2,0.29085714285714287,0.40615144418423105,,,,,,533.2,0.5112857142857142,0.06930406231893387
214,2010,40.0,40.0,1.955,estimate_normalized,True,9.0,10.99122,7.1,3.67,236.12,399.02591,8.82,420.0,31.0,0.3121612903225806,0.489,0.18,0.0989229406102559,0.203,0.385,0.472,0.0057312028987603,0.489,9.677,176.0,0.309,0.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0573473928998122,-0.01205,-0.0954999999999999,-0.0669148148148148,-0.0726065203859321,3,533.2,0.29957142857142854,0.4126658860265418,,,,,,533.2,0.5164285714285715,0.07017317968196742
215,2010,40.0,40.0,2.5285,estimate_normalized,True,79.0,78.14849,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,430.0,29.0,0.3719655172413794,0.589,0.187,0.1316590378941575,0.211,0.458,0.565,0.0083612812404794,0.589,10.787000000000004,171.0,0.4019999999999999,5.0,1,99,40__40,9.773626373626373,32.1,209.1,2017.96,22.175384615384615,3.21,1.1391208791208791,13,310.64000000000004,-101.54000000000003,507.9,641.4,2,0,66,12,1,47.8,744.2899999999998,136.75,3.21,32.1,34.0,1.5533333333333337,23.7,629.11,72.83,2.46,0,127.3,10.058064516129033,24.4,644.56,101.06,1.95,0,47.8,17.7,32.1,744.29,136.75,3.21,2,0.0029865763546797,0.0741999999999999,-0.0835,0.0675833333333333,0.0288079131652661,3,465.90000000000003,0.38286067019400344,0.5037027250206441,,,,,,465.90000000000003,0.5791428571428572,0.09929345978010352
