field_id,year,crop_id,prev_crop_id,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_apr_precip,wx_apr_srad,wx_apr_et0,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,wx_jul_precip,wx_jul_temp_mean,wx_jul_temp_max,wx_jul_srad,wx_jul_et0,wx_jul_vpd_max,wx_jul_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,target_yield_t_ha,target_source,unit_fix_applied,sowing_date,harvesting_date,sowing_date_valid,days_after_sowing_asof,sowing_doy,gdd_base_temp,gdd_from_sowing_asof,wx_sow_precip_sum,wx_sow_et0_sum,wx_sow_water_balance,wx_sow_srad_sum,wx_sow_vpd_max,wx_sow_vpd_days_high,wx_sow_hot_d30,wx_sow_dry_days,wx_sow_drought_run,ndvi_sow_n_obs,ndvi_sow_mean,ndvi_sow_max,ndvi_sow_last,ndvi_sow_peak_das,ndvi_at_das_30,ndvi_at_das_45,ndvi_at_das_60,ndvi_at_das_75,ndvi_at_das_90,ndvi_at_das_120,ndvi_sow_peak_gdd,ndvi_at_sow_gdd_200,ndvi_at_sow_gdd_400,ndvi_at_sow_gdd_600,ndvi_at_sow_gdd_800,ndvi_at_sow_gdd_1000,ndvi_at_sow_gdd_1200,ndvi_growth_per_100gdd_from_sow
209,2017,44.0,40.0,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,60.0,0.4151166666666667,0.65,0.183,0.1724330876665561,0.2565,0.61325,0.0056179978810367,0.65,24.907,211.0,0.467,23.0,1,99,40__44,15.31885245901639,34.8,170.19999999999996,2680.3900000000003,4.17,1.7903278688524589,49,524.3799999999999,-354.17999999999995,1220.8,15,80,10,7,49.2,541.91,77.05,25.5,14.038709677419355,29.9,733.58,146.23,3.49,32.1,21.03,33.4,709.78,157.02,3.95,11,63.4,20.296774193548387,34.8,695.12,144.08,4.17,4,-0.0197698893914727,0.0402666666666666,-0.0812615961199294,0.0097159415584415,-0.0542663027622341,10,2.22,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2017,44.0,40.0,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,60.0,0.4943999999999999,0.691,0.192,0.1536891017606649,0.40575,0.62175,0.003782306815634,0.541,29.664,165.0,0.4989999999999999,37.0,1,99,40__44,15.31885245901639,34.8,170.19999999999996,2680.3900000000003,4.17,1.7903278688524589,49,524.3799999999999,-354.17999999999995,1220.8,15,80,10,7,49.2,541.91,77.05,25.5,14.038709677419355,29.9,733.58,146.23,3.49,32.1,21.03,33.4,709.78,157.02,3.95,11,63.4,20.296774193548387,34.8,695.12,144.08,4.17,4,0.0472110645770124,0.2031510137085135,-0.1761191025641025,-0.1125016558441557,-0.1214981616820679,10,2.002,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2017,44.0,,93.0,6.245,4.8,25.325,403.5,,342.0,52.0,0.4463846153846154,0.603,0.185,0.124676373964164,0.384,0.535,0.0029586429253794,0.414,23.212,178.0,0.418,28.0,99,99,-1__44,15.31885245901639,34.8,170.19999999999996,2680.3900000000003,4.17,1.7903278688524589,49,524.3799999999999,-354.17999999999995,1220.8,15,80,10,7,49.2,541.91,77.05,25.5,14.038709677419355,29.9,733.58,146.23,3.49,32.1,21.03,33.4,709.78,157.02,3.95,11,63.4,20.296774193548387,34.8,695.12,144.08,4.17,4,0.0253848894278501,0.1978992945326279,-0.2659621794871794,-0.2433881818181818,-0.178446594709303,10,2.4379999999999997,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2017,20.0,40.0,79.0,6.666666666666667,3.776666666666667,192.12,392.99891,12.116666666666667,430.0,53.0,0.4929245283018867,0.699,0.157,0.1818020745316807,0.337,0.677,0.0062446462109054,0.637,26.124999999999996,195.0,0.5419999999999999,26.0,1,99,40__20,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,493.05,-270.65,1155.4,14,73,9,6,56.0,531.28,73.51,37.6,13.432258064516128,29.5,726.16,135.7,3.34,39.0,20.51,33.1,702.21,147.64,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,136.2,4.19,4,0.0210986023557654,0.0958806277056277,-0.0681071428571428,0.0208775000000001,0.0424013502279613,10,3.08,productivity_normalized,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2017,20.0,40.0,37.0,6.4,3.71,242.68,688.96085,7.64,540.0,49.0,0.568265306122449,0.741,0.199,0.17478590700091,0.462,0.718,0.0060188296504778,0.659,27.845,172.0,0.542,34.0,1,99,40__20,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0317152891274447,0.1203072310405643,-0.0296973376623376,-0.0296973376623376,0.0117449846236384,10,2.26,productivity_normalized,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2017,20.0,40.0,408.0,6.94,3.484666666666667,201.10266666666664,313.7409,4.662000000000001,472.0,60.0,0.4101333333333333,0.7,0.159,0.1818127669395695,0.2885,0.61675,0.005730040177528,0.674,24.607999999999997,200.0,0.5409999999999999,19.0,1,99,40__20,14.264754098360656,33.6,174.2,2691.36,3.76,1.6751639344262292,42,510.64,-336.44,1108.2,10,80,10,4,45.1,549.77,74.68,29.9,12.935483870967742,29.1,735.9300000000001,141.1,3.37,32.7,20.023333333333333,32.2,708.03,154.27,3.65,7,66.5,19.274193548387096,33.6,697.63,140.59,3.76,3,-0.0241208074728769,0.1196018518518518,-0.1785055128205128,0.0485228968253969,0.0123253952220618,10,0.8960000000000001,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2017,44.0,40.0,210.0,6.8,3.69625,212.37625,656.214605,8.491249999999999,446.25,54.0,0.509037037037037,0.705,0.19,0.1676640117928713,0.403,0.664,0.0041561712449662,0.499,27.487999999999996,165.0,0.5149999999999999,35.0,1,99,40__44,15.31885245901639,34.8,170.19999999999996,2680.3900000000003,4.17,1.7903278688524589,49,524.3799999999999,-354.17999999999995,1220.8,15,80,10,7,49.2,541.91,77.05,25.5,14.038709677419355,29.9,733.58,146.23,3.49,32.1,21.03,33.4,709.78,157.02,3.95,11,63.4,20.296774193548387,34.8,695.12,144.08,4.17,4,0.095151154856803,0.2813821869488537,-0.1555735714285714,-0.1287001948051948,-0.0938655805068625,10,1.873,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2017,20.0,40.0,25.0,7.3,3.74,197.06,380.11444,6.0,420.0,48.0,0.5060416666666666,0.651,0.274,0.1074583171771992,0.471,0.5705,0.0033706136210384,0.614,24.29,189.0,0.377,35.0,1,99,40__20,14.264754098360656,33.6,174.2,2691.36,3.76,1.6751639344262292,42,510.64,-336.44,1108.2,10,80,10,4,45.1,549.77,74.68,29.9,12.935483870967742,29.1,735.9300000000001,141.1,3.37,32.7,20.023333333333333,32.2,708.03,154.27,3.65,7,66.5,19.274193548387096,33.6,697.63,140.59,3.76,3,0.0252935113497613,0.1795216049382716,-0.1242316142191143,-0.0117387301587301,-0.0272717731595004,10,1.93,productivity_normalized,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2017,20.0,,8.0,,,,,,,49.0,0.572734693877551,0.732,0.177,0.1707805341283109,0.467,0.715,0.0058340912698838,0.681,28.064,187.0,0.5549999999999999,35.0,99,99,-1__20,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0214264489944421,0.1053993386243386,-0.0533984126984126,-0.0177607142857142,-0.0033112496620189,10,1.06,productivity_normalized,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2017,20.0,40.0,62.0,6.9,3.725,206.315,278.80506,4.845,420.0,55.0,0.3976181818181818,0.733,0.186,0.1681429576725591,0.279,0.4715,0.0055756645392272,0.712,21.869,205.0,0.5469999999999999,13.0,1,99,40__20,14.264754098360656,33.6,174.2,2691.36,3.76,1.6751639344262292,42,510.64,-336.44,1108.2,10,80,10,4,45.1,549.77,74.68,29.9,12.935483870967742,29.1,735.9300000000001,141.1,3.37,32.7,20.023333333333333,32.2,708.03,154.27,3.65,7,66.5,19.274193548387096,33.6,697.63,140.59,3.76,3,-0.0553242831702528,0.1565566483516484,-0.2078721103896103,0.1565566483516484,0.0457795104895105,10,1.664,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2017,20.0,40.0,70.0,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,430.0,53.0,0.3997547169811321,0.734,0.161,0.1594710484945113,0.306,0.49,0.0056410254131337,0.724,21.187,205.0,0.573,12.0,1,99,40__20,14.264754098360656,33.6,174.2,2691.36,3.76,1.6751639344262292,42,510.64,-336.44,1108.2,10,80,10,4,45.1,549.77,74.68,29.9,12.935483870967742,29.1,735.9300000000001,141.1,3.37,32.7,20.023333333333333,32.2,708.03,154.27,3.65,7,66.5,19.274193548387096,33.6,697.63,140.59,3.76,3,-0.0666870687837669,0.1305419047619046,-0.2414916666666666,0.1305419047619046,0.002314327061827,10,1.995,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2017,20.0,40.0,104.0,6.5,3.808,191.728,598.903534,18.618,516.0,51.0,0.4789607843137256,0.666,0.187,0.152457510735867,0.419,0.6185,0.0053958185477355,0.657,24.427000000000003,197.0,0.479,24.0,1,99,40__20,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0117938725858987,0.1627351410934744,-0.0750019696969696,-0.0255817424242423,-0.0410980238778315,10,0.6639999999999999,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2017,20.0,,4.0,,,,,,,52.0,0.5879230769230769,0.759,0.22,0.15544499969119,0.58875,0.7032499999999999,0.0033694264825613,0.599,30.571999999999996,172.0,0.539,42.0,99,99,-1__20,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0121725821199218,0.1751421516754849,-0.1179913095238094,-0.0833554545454545,-0.1032190407013621,10,0.6639999999999999,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2017,40.0,40.0,59.0,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,50.0,0.49742,0.762,0.198,0.214448044057296,0.281,0.71175,0.0071556684569603,0.698,24.871,190.0,0.5640000000000001,26.0,1,99,40__40,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0496053485770402,0.1613124999999999,-0.0442171957671957,0.1245046176046176,0.1319637481962481,10,3.34,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2017,40.0,40.0,12.0,6.4,2.36,225.3,220.85171,12.11,480.0,54.0,0.4716296296296296,0.671,0.081,0.1901430549462884,0.3785,0.61725,0.0059271032785215,0.582,25.468,173.0,0.5900000000000001,33.0,1,99,40__40,14.765573770491802,35.1,222.4,2645.62,4.19,1.7704918032786885,48,492.36,-269.96000000000004,1155.4,14,73,9,6,56.0,531.28,73.35,37.6,13.432258064516128,29.5,726.16,135.54,3.34,39.0,20.51,33.1,702.21,147.49,3.79,10,89.80000000000001,19.799999999999997,35.1,685.97,135.98,4.19,4,0.0832631192692766,0.1878822871572871,-0.0696230158730158,0.0596648484848484,0.0757975183150183,10,3.34,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2017,43.0,40.0,235.0,7.2625,3.685,204.0575,646.09227125,9.26,453.75,55.0,0.4128545454545454,0.647,0.181,0.1691466731118096,0.27,0.593,0.005747771649566,0.59,22.706999999999997,193.0,0.466,24.0,1,99,40__43,14.944262295081968,35.2,207.6,2665.71,4.31,1.787295081967213,47,505.37,-297.77,1177.9,13,77,9,6,57.9,538.23,74.73,33.8,13.69032258064516,29.7,728.53,140.19,3.4,37.3,20.6,33.7,706.83,150.44,4.05,9,78.6,19.967741935483872,35.2,692.12,140.01,4.31,4,-0.0073031229692025,0.0418399911816578,-0.0720379188712522,-0.0351523701298701,-0.0379922844944057,10,1.95,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2017,43.0,40.0,296.0,6.609090909090909,3.7290909090909095,211.9754545454545,649.4797309090909,7.533636363636364,452.7272727272728,55.0,0.4309272727272726,0.721,0.165,0.209815750734301,0.24,0.6575,0.0070259544179449,0.662,23.700999999999997,193.0,0.5559999999999999,24.0,1,99,40__43,14.944262295081968,35.2,207.6,2665.71,4.31,1.787295081967213,47,505.37,-297.77,1177.9,13,77,9,6,57.9,538.23,74.73,33.8,13.69032258064516,29.7,728.53,140.19,3.4,37.3,20.6,33.7,706.83,150.44,4.05,9,78.6,19.967741935483872,35.2,692.12,140.01,4.31,4,0.0117421969380226,0.0530611111111111,-0.0389157473082473,0.0148261904761904,0.0368931223240197,10,1.95,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2018,40.0,40.0,110.91,6.875,3.55,244.935,425.663535,5.4125,412.5,46.0,0.4640652173913043,0.8,0.164,0.248029661810833,0.22275,0.742,0.0086878962496199,0.744,21.347,210.0,0.636,20.0,1,99,40__40,13.31065573770492,32.2,226.3,2453.68,3.93,1.625655737704918,45,473.87,-247.57,975.3,7,81,12,2,71.9,427.45,72.12,104.3,8.829032258064515,26.5,523.04,92.05,2.17,21.3,19.726666666666667,32.2,771.79,162.41,3.93,4,28.799999999999997,19.24516129032258,30.8,731.4,147.29,3.41,3,-0.0283114295761331,0.2524546536796538,-0.2342627213695395,0.2159989898989899,0.1324026333837318,11,3.496,productivity_normalized,True,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
