seed_id,crop_id,seed_name
9,44,Бригада Э (Дивиденд Суприм)
25,44,Булава Э (Максим)
26,40,Фортими (Круйзер)
28,40,Неома (Круйзер)
29,43,Гранни РС-3 (Дивиденд Суприм)
30,3,Планет РС-4 (Селест Макс)
33,40,LG 59580 (Круйзер)
34,40,P63LE10 (Апрон)
36,43,Дарья СЭ (Дивиденд Суприм)
37,43,Дарья Э (Дивиденд Суприм)
39,40,LG 54.63CL (Круйзер)
40,44,Булава РС-1 (Дивиденд Суприм)
41,44,Бригада РС-1 (Дивиденд Суприм)
42,32,Защита РС-2 (Дивиденд Суприм)
43,40,Алькантара (Апрон)
44,44,Августин РС-3 (Дивиденд Экстрим)
45,44,Бригада РС-3 (Дивиденд Экстрим)
46,40,СИ БАКАРДИ КЛП (Круйзер)
47,40,СИ АРКО
48,46,Кострец РС-1
49,43,Дарья РС-1 (Дивиденд Суприм)
50,43,Ликамеро РС-2 (Дивиденд Суприм)
51,43,Гранни РС-4 (Дивиденд Суприм)
52,40,Сумико (Дивиденд Суприм)
60,44,Алексеич Э
62,3,Планет РС-2 (Селест Макс)
65,44,Еланчик Э
73,44,"Булава РС-1 (Дивиденд Экстрим, Полишанс)"
75,44,"Бригада РС-1 (Дивиденд Экстрим, Полишанс)"
78,44,Булава Э
80,44,Маркиз
81,44,Таня
83,40,Семена Подсолнечника Р63 LE10 (1317)
84,43,Дурофинус Э
91,24,Астронавт РС-3
92,24,"Тренди РС-1 (Максим XL, Ризовит-АКС)"
93,43,Гранни РС-5 (Дивиденд Суприм)
94,43,Ликамеро РС-3 (Дивиденд Суприм)
95,43,Токката РC-2
109,40,LG50479
121,44,Алексеич РС-2
122,44,Еланчик РС-2
123,44,Таня РС-1
124,44,Юка РС-1
132,43,Токката РС-2
133,3,Заломе РС-1
134,3,ЛГ Тосса РС-2
155,43,Токката
161,40,LG 58390 CL
162,40,KAPPEPA CLP
182,24,Тренди РС-3
199,43,Ликамеро РС-5 (Дивиденд Суприм)
200,43,Токката РС-1 (Дивиденд Суприм)
