std_name,n,t_min,t_p25,t_med,t_p75,t_max,n_fixed,estimate_normalized,physical_harvested_weight,productivity_normalized
sunflower,764,0.5294118,1.90777085,2.42100735,2.9508698,5.1225000000000005,711,225,42,497
wheat_spring,749,0.3125,2.0121875,3.0210127,3.7833734999999997,6.59,681,10,40,699
wheat_winter,219,0.835,2.1889257,3.1582609,4.2075,7.144324299999999,178,0,27,192
barley_spring,186,0.8559184,2.0247073170731706,3.07408535,4.1167242,6.1521515,168,0,16,170
pea,96,0.5,1.2621093499999998,1.8699999999999999,2.5212797499999997,4.2746154,85,0,4,92
nan,76,0.257268,1.2754382499999999,2.41527955,4.13661585,5.9735294,70,0,2,74
soya,54,0.41100000000000003,0.93,1.468,1.9859649,4.0,40,0,0,54
oil_seed_raps_spring,42,0.46299999999999997,0.80575,1.52555,1.990225,4.38,36,4,0,38
lentil,35,0.3558333,1.0032367,1.28,1.4099122999999998,1.9709091,35,0,0,35
oil_seed_raps_winter,34,0.612,1.1275,1.5710000000000002,2.2315,3.82,25,0,0,34
buckwheat,16,0.663913,1.757105275,2.3,2.58925,2.7,16,0,0,16
maize,15,2.641,3.3564999999999996,5.118,7.8485,9.65,11,0,0,15
rye_winter,8,1.2108842,2.146447125,2.52434815,3.2863124999999997,4.4990000000000006,8,0,0,8
avena_spring,4,2.6,2.9,3.0,3.1355,3.5420000000000003,4,0,0,4
medicago,1,1.0,1.0,1.0,1.0,1.0,1,0,0,1
safflower,1,0.6081000000000001,0.6081000000000001,0.6081000000000001,0.6081000000000001,0.6081000000000001,1,1,0,0
