field_id,year,yield_t_ha
195,2010,17.763
195,2011,16.394
195,2012,20.692
195,2013,19.425
195,2014,27.474
195,2015,8.484
195,2016,23.569
195,2017,16.511
195,2018,29.441
195,2019,29.511
195,2020,14.514
195,2021,35.18
195,2022,24.872
195,2023,18.031
195,2024,33.274
195,2025,28.708
197,2010,22.141
197,2011,21.288
197,2012,15.663
197,2013,16.961
197,2014,22.187
197,2015,20.006
197,2016,24.004
197,2017,18.136
197,2018,30.602
197,2019,33.518
197,2020,15.651
197,2021,37.068
197,2022,32.342
197,2023,21.737
197,2024,32.481
197,2025,31.238
207,2010,21.087
207,2011,17.486
207,2012,20.149
207,2013,22.497
207,2014,22.424
207,2015,17.668
207,2016,19.816
207,2017,15.516
207,2018,22.995
207,2019,27.728
207,2020,11.702
207,2021,31.641
207,2022,29.544
207,2023,21.542
207,2024,30.323
207,2025,34.044
208,2010,24.501
208,2011,23.01
208,2012,20.003
208,2013,27.517
208,2014,29.195
208,2015,14.288
208,2016,21.872
208,2017,20.779
208,2018,16.354
208,2019,21.162
208,2020,13.906
208,2021,30.769
208,2022,34.204
208,2023,15.494
208,2024,28.781
208,2025,30.721
209,2010,20.058
209,2011,21.288
209,2012,21.412
209,2013,17.872
209,2014,27.874
209,2015,19.986
209,2016,25.161
209,2017,31.563
209,2018,23.351
209,2019,14.083
209,2020,28.142
209,2021,23.811
209,2022,34.979
209,2023,30.968
209,2024,56.417
209,2025,30.953
210,2010,24.812
210,2011,23.706
210,2012,18.137
210,2013,19.414
210,2014,29.256
210,2015,24.408
210,2016,28.707
210,2017,24.049
210,2018,17.359
210,2019,24.037
210,2020,21.218
210,2021,29.186
210,2022,34.1
210,2023,16.518
210,2024,57.541
210,2025,26.162
211,2017,18.834
211,2019,23.18
211,2020,24.044
211,2021,29.907
211,2022,34.704
212,2010,25.729
212,2011,21.887
212,2012,24.481
212,2013,21.99
212,2014,24.5
212,2015,16.854
212,2016,27.669
212,2017,16.862
212,2018,13.272
212,2019,24.78
212,2020,13.132
212,2021,32.197
212,2022,30.777
212,2023,16.78
212,2024,31.718
212,2025,28.967
213,2010,21.619
213,2011,19.84
213,2012,16.418
213,2013,20.484
213,2014,24.244
213,2015,21.305
213,2016,24.174
213,2017,24.459
213,2018,26.765
213,2019,19.759
213,2020,15.964
213,2021,33.956
213,2022,23.059
213,2023,16.769
213,2025,30.796
214,2010,19.55
214,2011,20.53
214,2012,16.657
214,2013,20.64
214,2014,26.513
214,2015,22.145
214,2016,23.114
214,2017,24.927
214,2018,26.65
214,2019,21.573
214,2020,15.097
214,2021,28.408
214,2022,23.271
214,2023,16.104
214,2025,30.119
215,2010,25.285
215,2011,22.013
215,2012,19.233
215,2013,11.653
215,2014,26.138
215,2015,14.253
215,2016,19.726
215,2017,15.818
215,2018,23.53
215,2019,21.773
215,2020,15.953
215,2021,26.547
215,2022,27.345
215,2023,24.396
215,2024,42.056
215,2025,25.924
216,2010,28.838
216,2011,24.407
216,2012,24.394
216,2013,24.091
216,2014,29.909
216,2015,27.174
216,2016,26.756
216,2017,16.878
216,2018,21.175
216,2019,21.598
216,2020,21.373
216,2021,26.041
216,2022,39.809
216,2023,25.551
216,2024,53.586
216,2025,28.421
217,2010,20.382
217,2011,24.75
217,2012,16.152
217,2013,22.975
217,2014,30.689
217,2015,12.51
217,2016,22.364
217,2017,9.526
217,2018,11.881
217,2019,21.411
217,2020,19.61
217,2021,31.133
217,2022,34.127
217,2023,16.278
217,2024,33.542
217,2025,27.186
218,2010,24.997
218,2011,16.986
218,2012,18.592
218,2013,13.76
218,2014,21.887
218,2015,18.712
218,2016,14.839
218,2017,12.974
218,2018,16.403
218,2019,17.299
218,2020,17.929
218,2021,25.34
218,2022,25.543
218,2023,23.995
218,2024,34.0
218,2025,26.461
219,2010,24.063
219,2011,20.567
219,2012,18.639
219,2013,17.676
219,2014,23.038
219,2015,25.288
219,2016,22.132
219,2017,30.346
219,2018,18.597
219,2019,21.936
219,2020,11.434
219,2021,32.401
219,2022,34.281
219,2023,26.039
219,2024,33.588
219,2025,38.607
220,2010,19.949
220,2011,24.819
220,2012,17.906
220,2013,18.199
220,2014,20.431
220,2015,23.007
220,2016,27.921
220,2017,20.171
220,2018,19.641
220,2019,22.518
220,2020,17.675
220,2021,25.487
220,2022,32.34
220,2023,25.408
220,2024,39.769
220,2025,36.214
221,2017,12.331
221,2019,28.217
221,2020,28.632
221,2021,27.167
221,2022,41.328
222,2010,24.025
222,2011,22.814
222,2012,13.562
222,2013,11.753
222,2014,23.248
222,2015,19.893
222,2016,16.724
222,2017,14.756
222,2018,20.337
222,2019,25.605
222,2020,9.872
222,2021,27.129
222,2022,34.904
222,2023,20.631
222,2024,42.83
222,2025,29.642
223,2010,28.213
223,2011,29.624
223,2012,13.923
223,2013,14.59
223,2014,24.033
223,2015,14.01
223,2016,21.369
223,2017,15.957
223,2018,15.562
223,2019,24.601
223,2020,11.26
223,2021,26.7
223,2022,28.408
223,2023,19.374
223,2024,42.385
223,2025,27.165
224,2010,27.485
224,2011,22.157
224,2012,28.529
224,2013,24.626
224,2014,26.593
224,2015,19.421
224,2016,27.308
224,2017,18.488
224,2018,21.925
224,2019,23.3
224,2020,17.282
224,2021,24.671
224,2022,33.052
224,2023,22.415
224,2024,49.363
224,2025,29.077
225,2017,20.693
225,2019,19.401
225,2020,35.471
225,2021,21.724
225,2022,45.8
226,2010,20.662
226,2011,25.954
226,2012,13.478
226,2013,18.177
226,2014,22.283
226,2015,18.338
226,2016,27.698
226,2017,26.29
226,2018,20.143
226,2019,23.403
226,2020,15.046
226,2021,27.516
226,2022,29.26
226,2023,21.623
226,2024,45.445
226,2025,32.845
227,2010,27.361
227,2011,17.692
227,2012,16.476
227,2013,20.165
227,2014,24.01
227,2015,16.342
227,2016,18.933
227,2017,17.968
227,2018,24.438
227,2019,19.179
227,2020,22.098
227,2021,35.711
227,2022,32.383
227,2023,25.029
227,2024,35.776
227,2025,28.22
228,2010,23.478
228,2011,18.424
228,2012,11.162
228,2013,24.112
228,2014,30.21
228,2015,16.277
228,2016,15.54
228,2017,30.466
228,2018,64.855
228,2019,22.165
228,2020,20.305
228,2021,37.058
228,2022,32.991
228,2023,22.995
228,2024,26.042
228,2025,35.23
229,2010,14.924
229,2011,16.809
229,2012,9.024
229,2013,18.671
229,2014,18.888
229,2015,16.917
229,2016,15.335
229,2017,23.881
229,2018,28.837
229,2019,16.983
229,2020,22.21
229,2021,24.469
229,2022,26.656
229,2023,20.76
229,2024,20.838
229,2025,31.488
230,2010,25.814
230,2011,17.643
230,2012,22.159
230,2013,28.546
230,2014,20.745
230,2015,20.985
230,2016,21.473
230,2017,28.902
230,2018,16.839
230,2019,39.929
230,2020,12.317
230,2021,31.34
230,2022,31.92
230,2023,15.378
230,2024,31.278
230,2025,29.788
231,2010,27.244
231,2011,16.755
231,2012,17.558
231,2013,22.302
231,2014,26.751
231,2015,19.308
231,2016,33.901
231,2017,22.209
231,2018,9.584
231,2019,42.558
231,2020,16.897
231,2021,34.016
231,2022,22.88
231,2023,22.106
231,2024,36.423
231,2025,24.7
232,2010,20.457
232,2011,17.736
232,2012,23.602
232,2013,23.915
232,2014,24.254
232,2015,13.354
232,2016,22.876
232,2017,27.603
232,2018,12.02
232,2019,41.161
232,2020,18.421
232,2021,29.818
232,2022,18.508
232,2023,23.085
232,2024,41.416
232,2025,24.7
233,2010,29.024
233,2011,21.271
233,2012,19.567
233,2013,15.523
233,2014,24.834
233,2015,22.576
233,2016,22.677
233,2017,20.928
233,2018,19.316
233,2019,25.64
233,2020,17.5
233,2021,34.056
233,2022,44.169231
234,2010,30.815
234,2011,25.765
234,2012,17.617
234,2013,21.286
234,2014,22.455
234,2015,23.784
234,2016,27.932
234,2017,27.084
234,2018,21.424
234,2019,6.081
234,2021,38.293
234,2022,35.318
234,2023,24.153
234,2024,26.562
234,2025,44.593
235,2020,3.57
235,2021,71.05
235,2023,22.0
235,2024,2.5
235,2025,15.3
236,2018,6.63
236,2019,32.72
236,2020,3.16
236,2021,28.605
236,2022,33.475
236,2023,25.20375
236,2024,37.585
236,2025,30.025
237,2018,6.54
237,2019,27.8
237,2020,3.82
237,2021,32.366667
237,2022,25.155556
237,2023,16.025
237,2024,48.711389
237,2025,33.130556
238,2019,35.78
238,2020,3.16
238,2021,33.530556
238,2022,21.222222
238,2023,21.988889
238,2024,46.133333
238,2025,19.090278
239,2019,41.1
239,2020,1.53
239,2021,31.601709
239,2022,19.928205
239,2023,9.917949
239,2024,56.704274
239,2025,30.952137
241,2018,12.81
241,2019,29.33
241,2020,9.65
241,2021,19.516049
241,2022,31.716049
242,2017,21.04
242,2018,26.41
242,2019,18.77
242,2020,12.8
242,2021,22.054839
242,2022,36.822581
242,2023,17.032258
242,2024,27.984516
242,2025,37.944262
244,2018,26.37
244,2019,5.23
244,2020,10.56
244,2021,24.169811
244,2022,41.938679
244,2023,19.418868
244,2024,27.306038
244,2025,42.822642
246,2018,29.84
246,2019,8.03
246,2020,4.14
246,2021,26.12439
246,2022,16.465854
246,2023,17.840597
246,2024,38.840732
246,2025,12.6
247,2018,25.54
247,2020,5.74
247,2021,35.429431
247,2022,15.000662
247,2023,27.414536
247,2024,26.623311
247,2025,41.251656
248,2017,23.66
248,2018,38.07
248,2019,13.04
248,2020,3.6
248,2021,24.291852
248,2022,19.879259
248,2023,21.41
248,2024,34.415778
248,2025,36.302963
249,2018,20.24
249,2019,10.65
249,2020,4.21
249,2021,27.772222
250,2018,20.24
250,2019,35.03
250,2020,6.93
250,2021,22.718182
250,2022,30.933333
250,2023,21.60098
250,2024,59.836275
250,2025,28.207353
251,2017,19.52
251,2018,42.22
251,2019,22.95
251,2020,3.57
251,2021,30.76378
251,2022,12.108842
251,2023,27.869213
251,2024,36.110236
251,2025,27.562992
252,2017,33.64
252,2019,50.35
252,2020,3.79
252,2021,28.787952
252,2022,23.581446
252,2023,28.884458
252,2024,32.549398
252,2025,21.437349
253,2017,26.76
253,2019,51.14
253,2020,3.71
253,2021,24.343529
253,2022,23.553846
253,2023,25.995294
253,2024,38.96
253,2025,23.537647
254,2017,29.36
254,2018,32.81
254,2019,11.36
254,2020,8.35
254,2021,21.813514
254,2022,23.140541
254,2023,5.264189
254,2024,34.018784
254,2025,41.056081
255,2017,20.0
255,2018,10.0
255,2019,13.0
255,2020,25.0
255,2021,34.953571
255,2023,25.888661
255,2024,40.148214
255,2025,42.278571
256,2018,12.02
256,2019,33.71
256,2020,21.29
256,2021,34.889286
256,2022,0.178571
256,2023,10.053571
256,2024,59.772321
256,2025,37.389286
257,2017,20.32
257,2019,48.93
257,2020,4.55
257,2021,55.088889
257,2022,17.641667
257,2023,27.5025
257,2024,14.186667
257,2025,15.3
258,2017,15.33
258,2019,17.63
258,2020,12.77
258,2021,33.691011
258,2022,20.300787
258,2023,13.868539
258,2024,50.623596
258,2025,36.079775
259,2018,18.8
259,2020,18.13
259,2021,32.456022
259,2022,20.272213
259,2023,10.800308
259,2024,28.32056
259,2025,21.594958
260,2017,19.8
260,2018,12.01
260,2019,23.6
260,2020,4.52
260,2021,41.022
260,2022,37.374
260,2023,18.446
260,2024,32.132
260,2025,40.914
261,2017,26.91
261,2018,12.01
261,2019,20.36
261,2020,5.39
261,2021,53.874286
261,2022,40.085714
261,2023,28.538571
261,2024,41.227714
261,2025,47.802857
262,2017,14.61
262,2018,23.62
262,2020,20.65
262,2021,41.160526
262,2022,20.516842
262,2023,19.040658
262,2024,43.394737
263,2020,27.75
263,2021,37.79
263,2022,21.305
263,2023,11.5425
263,2024,23.17
263,2025,15.3
264,2020,29.15
264,2021,37.25
264,2022,43.37
264,2023,33.7975
264,2024,2.5
264,2025,15.3
265,2020,17.0
265,2021,30.63
265,2023,13.08
265,2024,5.0
265,2025,15.3
266,2020,6.3
266,2021,34.25
266,2023,11.466667
266,2024,7.01
266,2025,15.3
267,2021,37.25
267,2024,1.75
267,2025,15.3
268,2018,16.19
268,2019,29.01
268,2020,3.75
268,2021,35.04
268,2023,22.885
268,2024,47.72
268,2025,18.56
269,2017,24.51
269,2020,19.72
269,2021,34.65045
269,2022,20.861261
269,2023,17.825225
269,2024,42.508108
269,2025,30.008198
270,2017,24.22
270,2018,16.2
270,2019,22.07
270,2020,3.44
270,2021,48.913793
270,2022,36.175172
270,2023,29.015517
270,2024,43.827586
