standard_name,target_source,n,min_t_ha,median_t_ha,max_t_ha,unit_fixed_n,sowing_date_coverage
avena_spring,productivity_normalized,4,2.6,3.0,3.5420000000000003,4,0.0
barley_spring,physical_harvested_weight,16,1.1793749999999998,2.5049533667862747,4.5005,0,1.0
barley_spring,productivity_normalized,170,0.8559184,3.13412025,6.1521515,168,0.9
buckwheat,productivity_normalized,16,0.663913,2.3,2.7,16,0.5
lentil,productivity_normalized,35,0.3558333,1.28,1.9709091,35,1.0
maize,productivity_normalized,15,2.641,5.118,9.65,11,0.3333333333333333
medicago,productivity_normalized,1,1.0,1.0,1.0,1,0.0
oil_seed_raps_spring,productivity_normalized,38,0.46299999999999997,1.56908695,4.38,32,0.34210526315789475
oil_seed_raps_winter,productivity_normalized,34,0.612,1.5710000000000002,3.82,25,0.0
pea,physical_harvested_weight,4,1.3324255319148937,1.6394585897825933,1.8102027027027028,0,1.0
pea,productivity_normalized,92,0.5,1.9043983,4.2746154,85,0.9891304347826086
rye_winter,productivity_normalized,8,1.2108842,2.52434815,4.4990000000000006,8,1.0
soya,productivity_normalized,54,0.41100000000000003,1.468,4.0,40,0.24074074074074073
sunflower,physical_harvested_weight,42,1.0022222222222221,2.8107380952380954,3.3983823529411765,0,1.0
sunflower,productivity_normalized,497,0.5294118,2.634,5.1225000000000005,486,0.641851106639839
wheat_spring,physical_harvested_weight,40,0.9786995515695067,3.103225051975052,4.564745762711865,0,1.0
wheat_spring,productivity_normalized,699,0.3125,3.019802,6.59,671,0.8483547925608012
wheat_winter,physical_harvested_weight,27,0.8904065040650406,2.4169491525423727,5.519493927125506,0,1.0
wheat_winter,productivity_normalized,192,0.835,3.1842734999999998,7.144324299999999,178,0.5625
