field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,cropwise_pred_final
195,2010,17.763,19.64,16.092,17.17,17.763
195,2011,16.394,26.936,17.154,14.557,16.394
195,2012,20.692,27.464,27.844,25.186,20.692
195,2013,19.425,19.295,15.351,21.68,19.425
195,2014,27.474,25.206,24.958,27.196,27.474
195,2015,8.484,16.608,10.777,10.338,8.484
195,2016,23.569,21.242,25.458,21.069,23.569
195,2017,16.511,24.146,15.411,16.874,16.511
195,2018,29.441,22.029,27.432,27.156,29.441
195,2019,29.511,33.225,29.511,29.511,29.511
195,2020,14.514,16.466,14.514,14.514,14.514
195,2021,35.18,29.562,33.034,35.18,35.18
195,2022,24.872,24.328,24.872,24.872,24.872
195,2023,18.031,24.748,18.031,18.031,18.031
195,2024,33.274,25.282,31.813,32.249,33.274
195,2025,28.708,36.697,28.708,28.708,28.708
197,2010,22.141,21.921,27.964,19.725,22.141
197,2011,21.288,28.579,29.388,19.711,21.288
197,2012,15.663,29.745,25.741,17.502,15.663
197,2013,16.961,20.162,20.468,21.168,16.961
197,2014,22.187,25.807,24.627,21.878,22.187
197,2015,20.006,27.282,21.153,18.681,20.006
197,2016,24.004,29.807,33.13,23.142,24.004
197,2017,18.136,29.996,25.713,18.154,18.136
197,2018,30.602,21.039,25.421,31.079,30.602
197,2019,33.518,26.761,33.518,33.518,33.518
197,2020,15.651,17.875,15.651,15.651,15.651
197,2021,37.068,28.515,34.239,37.068,37.068
197,2022,32.342,24.525,32.342,32.342,32.342
197,2023,21.737,28.075,21.737,21.737,21.737
197,2024,32.481,24.313,33.829,32.267,32.481
197,2025,31.238,37.805,34.404,31.238,31.238
207,2010,21.087,16.805,22.816,21.894,21.087
207,2011,17.486,25.621,18.143,16.368,17.486
207,2012,20.149,28.788,31.296,19.426,20.149
207,2013,22.497,22.744,16.384,20.481,22.497
207,2014,22.424,24.439,18.939,21.967,22.424
207,2015,17.668,24.799,15.2,15.734,17.668
207,2016,19.816,24.129,19.376,18.721,19.816
207,2017,15.516,29.613,18.676,14.974,15.516
207,2018,22.995,17.426,23.009,22.908,22.995
207,2019,27.728,22.341,27.728,27.728,27.728
207,2020,11.702,13.694,11.95,10.497,11.702
207,2021,31.641,31.924,41.666,31.641,31.641
207,2022,29.544,28.612,29.544,29.544,29.544
207,2023,21.542,30.064,21.542,21.542,21.542
207,2024,30.323,23.039,28.787,28.238,30.323
207,2025,34.044,37.405,34.044,34.044,34.044
208,2010,24.501,25.624,26.796,20.485,24.501
208,2011,23.01,31.227,29.919,21.645,23.01
208,2012,20.003,20.651,21.846,23.048,20.003
208,2013,27.517,24.272,25.533,28.067,27.517
208,2014,29.195,29.009,27.198,28.088,29.195
208,2015,14.288,21.854,16.018,13.029,14.288
208,2016,21.872,23.843,29.378,22.904,21.872
208,2017,20.779,18.559,23.973,24.998,20.779
208,2018,16.354,21.259,16.93,17.312,16.354
208,2019,21.162,24.488,21.65,25.304,21.162
208,2020,13.906,12.673,13.906,13.906,13.906
208,2021,30.769,27.356,25.02,25.939,30.769
208,2022,34.204,18.747,25.443,36.425,34.204
208,2023,15.494,20.981,16.264,14.264,15.494
208,2024,28.781,23.794,22.707,24.902,28.781
208,2025,30.721,26.1,30.721,30.721,30.721
209,2010,20.058,19.285,21.111,18.982,20.058
209,2011,21.288,33.905,27.255,21.266,21.288
209,2012,21.412,28.738,26.936,19.834,21.412
209,2013,17.872,17.623,23.107,15.59,17.872
209,2014,27.874,25.416,29.414,24.148,27.874
209,2015,19.986,22.237,28.126,19.904,19.986
209,2016,25.161,26.996,25.447,25.771,25.161
209,2017,31.563,40.48,31.563,31.563,31.563
209,2018,23.351,21.047,24.931,20.557,23.351
209,2019,14.083,17.697,14.083,14.083,14.083
209,2020,28.142,43.353,26.306,28.203,28.142
209,2021,23.811,21.295,25.276,23.401,23.811
209,2022,34.979,31.563,30.277,35.056,34.979
209,2023,30.968,31.699,30.968,30.968,30.968
209,2024,56.417,50.459,56.417,56.417,56.417
209,2025,30.953,26.901,35.131,30.953,30.953
210,2010,24.812,21.991,24.423,22.615,24.812
210,2011,23.706,33.778,33.952,23.871,23.706
210,2012,18.137,17.574,23.93,17.593,18.137
210,2013,19.414,17.885,24.386,22.048,19.414
210,2014,29.256,28.52,28.678,27.142,29.256
210,2015,24.408,22.813,24.514,19.744,24.408
210,2016,28.707,21.116,15.82,20.128,28.707
210,2017,24.049,25.725,24.049,24.049,24.049
210,2018,17.359,15.386,17.359,17.359,17.359
210,2019,24.037,21.532,24.427,25.763,24.037
210,2020,21.218,21.024,21.218,21.218,21.218
210,2021,29.186,22.004,25.705,28.418,29.186
210,2022,34.1,38.599,31.882,31.305,34.1
210,2023,16.518,18.72,19.667,16.518,16.518
210,2024,57.541,56.729,57.541,57.541,57.541
210,2025,26.162,25.2,23.675,26.427,26.162
211,2017,18.834,21.353,18.834,18.834,18.834
211,2019,23.18,18.706,27.584,25.447,23.18
211,2020,24.044,23.897,24.044,24.044,24.044
211,2021,29.907,23.226,31.853,29.005,29.907
211,2022,34.704,37.712,34.704,34.704,34.704
212,2010,25.729,18.053,22.592,23.442,25.729
212,2011,21.887,21.433,23.82,23.102,21.887
212,2012,24.481,18.601,31.334,27.264,24.481
212,2013,21.99,27.774,26.847,25.546,21.99
212,2014,24.5,26.302,22.225,26.265,24.5
212,2015,16.854,18.017,18.347,18.09,16.854
212,2016,27.669,25.127,22.128,21.242,27.669
212,2017,16.862,20.044,25.7,23.022,16.862
212,2018,13.272,17.785,11.896,12.344,13.272
212,2019,24.78,24.862,21.024,21.277,24.78
212,2020,13.132,19.136,13.132,13.132,13.132
212,2021,32.197,21.821,27.846,29.642,32.197
212,2022,30.777,30.978,34.57,34.025,30.777
212,2023,16.78,17.012,26.809,20.73,16.78
212,2024,31.718,25.942,29.494,25.872,31.718
212,2025,28.967,23.391,28.967,28.967,28.967
213,2010,21.619,25.839,19.876,17.355,21.619
213,2011,19.84,29.207,24.335,20.503,19.84
213,2012,16.418,24.236,24.467,17.174,16.418
213,2013,20.484,18.847,22.335,20.963,20.484
213,2014,24.244,31.481,27.354,25.468,24.244
213,2015,21.305,23.436,24.709,18.489,21.305
213,2016,24.174,24.988,21.536,21.834,24.174
213,2017,24.459,23.379,24.356,25.056,24.459
213,2018,26.765,18.18,25.289,23.726,26.765
213,2019,19.759,17.961,19.759,19.759,19.759
213,2020,15.964,22.992,17.556,15.272,15.964
213,2021,33.956,18.895,32.506,31.08,33.956
213,2022,23.059,28.958,25.688,21.202,23.059
213,2023,16.769,19.405,16.769,16.769,16.769
213,2025,30.796,28.26,36.65,30.796,30.796
214,2010,19.55,20.89,21.026,19.641,19.55
214,2011,20.53,28.627,26.215,20.39,20.53
214,2012,16.657,24.436,24.437,16.885,16.657
214,2013,20.64,17.893,21.227,22.219,20.64
214,2014,26.513,29.068,25.549,25.914,26.513
214,2015,22.145,29.969,26.727,20.188,22.145
214,2016,23.114,20.332,18.359,21.849,23.114
214,2017,24.927,26.603,24.169,23.041,24.927
214,2018,26.65,19.807,26.526,25.342,26.65
214,2019,21.573,22.744,20.909,24.151,21.573
