field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,y_model_oof
195,2010,17.763,19.64,16.092,17.17,19.303534089962252
195,2011,16.394,26.936,17.154,14.557,17.392291578144825
195,2012,20.692,27.464,27.844,25.186,23.350847404929333
195,2013,19.425,19.295,15.351,21.68,17.652778421618372
195,2014,27.474,25.206,24.958,27.196,24.2692646146913
195,2015,8.484,16.608,10.777,10.338,13.878623721859894
195,2016,23.569,21.242,25.458,21.069,21.48576998829565
195,2017,16.511,24.146,15.411,16.874,20.406189309448397
195,2018,29.441,22.029,27.432,27.156,27.100438690970424
195,2019,29.511,33.225,29.511,29.511,32.65157918345649
195,2020,14.514,16.466,14.514,14.514,15.157695292749038
195,2021,35.18,29.562,33.034,35.18,32.79196985379977
195,2022,24.872,24.328,24.872,24.872,24.301596909525266
195,2023,18.031,24.748,18.031,18.031,19.177215567443334
195,2024,33.274,25.282,31.813,32.249,28.93831536295846
195,2025,28.708,36.697,28.708,28.708,31.509518442345204
197,2010,22.141,21.921,27.964,19.725,17.39245452126447
197,2011,21.288,28.579,29.388,19.711,24.05204357437783
197,2012,15.663,29.745,25.741,17.502,20.032448094752542
197,2013,16.961,20.162,20.468,21.168,23.38559222518279
197,2014,22.187,25.807,24.627,21.878,21.03693587277403
197,2015,20.006,27.282,21.153,18.681,21.74858350089804
197,2016,24.004,29.807,33.13,23.142,22.19872735715915
197,2017,18.136,29.996,25.713,18.154,22.34034755630821
197,2018,30.602,21.039,25.421,31.079,28.26940102920103
197,2019,33.518,26.761,33.518,33.518,35.86397379565752
197,2020,15.651,17.875,15.651,15.651,16.38626017457964
197,2021,37.068,28.515,34.239,37.068,34.34825960805155
197,2022,32.342,24.525,32.342,32.342,29.70632130958582
197,2023,21.737,28.075,21.737,21.737,23.08843319828456
197,2024,32.481,24.313,33.829,32.267,29.56957177249692
197,2025,31.238,37.805,34.404,31.238,33.211486096522
207,2010,21.087,16.805,22.816,21.894,19.46438671167104
207,2011,17.486,25.621,18.143,16.368,21.8196370674402
207,2012,20.149,28.788,31.296,19.426,21.59718987683384
207,2013,22.497,22.744,16.384,20.481,25.7983619226789
207,2014,22.424,24.439,18.939,21.967,21.004333161517245
207,2015,17.668,24.799,15.2,15.734,16.535396230648743
207,2016,19.816,24.129,19.376,18.721,16.58427036638678
207,2017,15.516,29.613,18.676,14.974,19.23822123989831
207,2018,22.995,17.426,23.009,22.908,28.971221100076708
207,2019,27.728,22.341,27.728,27.728,30.767892042298623
207,2020,11.702,13.694,11.95,10.497,16.00353727268001
207,2021,31.641,31.924,41.666,31.641,32.47829200722904
207,2022,29.544,28.612,29.544,29.544,20.771963625105844
207,2023,21.542,30.064,21.542,21.542,17.78403145838201
207,2024,30.323,23.039,28.787,28.238,26.62496276597764
207,2025,34.044,37.405,34.044,34.044,29.82148102404216
208,2010,24.501,25.624,26.796,20.485,21.130396427679845
208,2011,23.01,31.227,29.919,21.645,25.896256773529792
208,2012,20.003,20.651,21.846,23.048,23.76138235872309
208,2013,27.517,24.272,25.533,28.067,26.26945067026336
208,2014,29.195,29.009,27.198,28.088,22.274167796165816
208,2015,14.288,21.854,16.018,13.029,14.387221468378089
208,2016,21.872,23.843,29.378,22.904,21.56444617588512
208,2017,20.779,18.559,23.973,24.998,23.5755094964164
208,2018,16.354,21.259,16.93,17.312,21.39171583955737
208,2019,21.162,24.488,21.65,25.304,23.12231572777741
208,2020,13.906,12.673,13.906,13.906,17.966542473074252
208,2021,30.769,27.356,25.02,25.939,27.056224609078274
208,2022,34.204,18.747,25.443,36.425,24.86489369636436
