field_id,year,crop_id,target_yield_t_ha,model_pred_oof_t_ha,model_pred_train_t_ha
195,2010,40.0,17.763,19.303534089962255,20.336385118680234
195,2011,40.0,16.394,17.392291578144825,16.92213656400559
195,2012,40.0,20.692,23.350847404929333,20.990877715473474
195,2013,40.0,19.425,17.652778421618372,17.940065824359316
195,2014,40.0,27.474,24.2692646146913,25.726567618425396
195,2015,40.0,8.484,13.878623721859894,9.86092149267773
195,2016,40.0,23.569,21.485769988295655,24.177163081242497
195,2017,40.0,16.511,20.406189309448393,17.027404150630037
195,2018,40.0,29.441,27.100438690970424,28.667676188556587
195,2019,43.0,29.511,32.65157918345649,30.968927535064445
195,2020,20.0,14.514,15.157695292749038,13.44210202076386
195,2021,3.0,35.18,32.79196985379977,35.17396950717788
195,2022,44.0,24.872,24.301596909525266,25.840011145547958
195,2023,44.0,18.031,19.177215567443334,18.89551643733782
195,2024,40.0,33.274,28.93831536295846,32.278370939409385
195,2025,43.0,28.708,31.509518442345204,30.842277528327255
197,2010,40.0,22.141,17.39245452126447,19.212795447955124
197,2011,40.0,21.288,24.05204357437783,22.27559847511486
197,2012,40.0,15.663,20.032448094752542,16.798439490727805
197,2013,40.0,16.961,23.38559222518279,20.258870872272247
197,2014,40.0,22.187,21.03693587277403,22.11886252040839
197,2015,40.0,20.006,21.748583500898036,19.263640058857256
197,2016,40.0,24.004,22.19872735715915,23.479653101523304
197,2017,40.0,18.136,22.34034755630821,19.973043449875444
197,2018,40.0,30.602,28.26940102920103,28.81097209180646
197,2019,43.0,33.518,35.86397379565752,34.71273132268767
197,2020,20.0,15.651,16.38626017457964,14.238027579579096
197,2021,3.0,37.068,34.34825960805155,36.32199095463349
197,2022,44.0,32.342,29.70632130958582,32.53739233155291
197,2023,44.0,21.737,23.08843319828456,23.285869619114468
197,2024,40.0,32.481,29.569571772496918,32.86554290143561
197,2025,43.0,31.238,33.211486096522,31.771763040227363
207,2010,40.0,21.087,19.464386711671036,20.550416796150706
207,2011,40.0,17.486,21.819637067440198,18.7683380410554
207,2012,40.0,20.149,21.59718987683384,19.464528910186615
207,2013,40.0,22.497,25.7983619226789,22.92718386786622
207,2014,40.0,22.424,21.004333161517245,22.224295819697026
207,2015,40.0,17.668,16.535396230648743,15.890503652954445
207,2016,40.0,19.816,16.58427036638678,19.187321126719713
207,2017,40.0,15.516,19.23822123989831,16.77270600064887
207,2018,40.0,22.995,28.971221100076708,27.098972711202627
207,2019,43.0,27.728,30.767892042298623,28.134358565319307
207,2020,20.0,11.702,16.00353727268001,12.665934601001684
207,2021,3.0,31.641,32.47829200722904,33.60317184337276
207,2022,44.0,29.544,20.771963625105844,26.557845461257795
207,2023,44.0,21.542,17.78403145838201,19.696363923247493
207,2024,40.0,30.323,26.62496276597764,30.685471207751345
207,2025,43.0,34.044,29.82148102404216,32.8262333443143
208,2010,40.0,24.501,21.130396427679845,23.65477769637284
208,2011,40.0,23.01,25.896256773529792,23.468013492441884
208,2012,40.0,20.003,23.76138235872309,21.29442307767499
208,2013,40.0,27.517,26.269450670263357,26.205874987184245
208,2014,40.0,29.195,22.274167796165816,26.48822175134183
208,2015,40.0,14.288,14.387221468378087,13.558787461970146
208,2016,40.0,21.872,21.56444617588512,23.14136266330297
208,2017,40.0,20.779,23.575509496416398,21.056806048832055
208,2018,40.0,16.354,21.39171583955737,17.967613319426647
208,2019,40.0,21.162,23.12231572777741,21.159280231600736
208,2020,43.0,13.906,17.966542473074252,14.916963842961353
208,2021,40.0,30.769,27.056224609078274,28.736733871428825
208,2022,43.0,34.204,24.86489369636436,33.12520423925086
208,2023,43.0,15.494,17.0331666337446,15.478812035059613
208,2024,40.0,28.781,28.686227400932403,28.41619833094996
208,2025,43.0,30.721,32.872801290264796,32.94069272473788
209,2010,40.0,20.058,20.580575005782915,21.327720096181746
209,2011,40.0,21.288,28.270373520324327,23.24414330360171
