field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
195,2010,40.0,17.763,phases,allcrops,19.7599375599964,20.193696402232685
195,2011,40.0,16.394,phases,allcrops,17.615989005521072,16.317737055801167
195,2012,40.0,20.692,phases,allcrops,22.69395773990384,20.5904155197966
195,2013,40.0,19.425,phases,allcrops,17.27344066006204,17.944017243144636
195,2014,40.0,27.474,phases,allcrops,24.43007808185178,25.27460412949184
195,2015,40.0,8.484,phases,allcrops,13.904803551329364,10.134224219968589
195,2016,40.0,23.569,phases,allcrops,20.916634366531163,23.489822284470417
195,2017,40.0,16.511,phases,allcrops,19.429234410757445,17.262829558466905
195,2018,40.0,29.441,phases,allcrops,27.130173956384773,28.98716059728368
195,2019,43.0,29.511,phases,allcrops,34.535652089069806,31.328681904010587
195,2020,20.0,14.514,phases,allcrops,15.140039169729924,13.687915523910286
195,2021,3.0,35.18,phases,allcrops,32.82848800642377,34.701193448778405
195,2022,44.0,24.872,phases,allcrops,24.559291774760467,26.218916165867025
195,2023,44.0,18.031,phases,allcrops,20.91566734790544,18.805960234098343
195,2024,40.0,33.274,phases,allcrops,30.27283556614389,32.42446679153439
195,2025,43.0,28.708,phases,allcrops,30.75564537045521,30.431104981803518
197,2010,40.0,22.141,phases,allcrops,17.273292277175667,19.252806121211783
197,2011,40.0,21.288,phases,allcrops,22.889635782375176,21.93174031817462
197,2012,40.0,15.663,phases,allcrops,19.96583222939544,17.18479307358854
197,2013,40.0,16.961,phases,allcrops,23.43860491672178,19.836162193770328
197,2014,40.0,22.187,phases,allcrops,20.933878722124454,22.185345391000737
197,2015,40.0,20.006,phases,allcrops,21.560028981949003,19.506902303994803
197,2016,40.0,24.004,phases,allcrops,22.93971824900889,23.396473288456782
197,2017,40.0,18.136,phases,allcrops,22.828735910127385,19.650799843672957
197,2018,40.0,30.602,phases,allcrops,27.803773229576457,28.73529654002375
197,2019,43.0,33.518,phases,allcrops,36.828356107203795,33.99105951739266
197,2020,20.0,15.651,phases,allcrops,15.615506871650782,14.061989649047796
197,2021,3.0,37.068,phases,allcrops,33.76317587566688,36.00464090978459
197,2022,44.0,32.342,phases,allcrops,29.540397977613132,33.02365209552634
197,2023,44.0,21.737,phases,allcrops,23.417216006856236,23.048499108588135
197,2024,40.0,32.481,phases,allcrops,30.93411762859903,33.08921917405387
197,2025,43.0,31.238,phases,allcrops,31.843845200943115,31.088550852583662
207,2010,40.0,21.087,phases,allcrops,19.32480947775473,20.15025494750106
207,2011,40.0,17.486,phases,allcrops,21.51247011006783,18.884523288688207
207,2012,40.0,20.149,phases,allcrops,21.391295819109565,19.179391099124334
207,2013,40.0,22.497,phases,allcrops,23.83231699389725,22.5745205055283
207,2014,40.0,22.424,phases,allcrops,21.901618914892556,22.380071495068577
207,2015,40.0,17.668,phases,allcrops,15.740085862636493,16.435400644349293
207,2016,40.0,19.816,phases,allcrops,16.803046764281536,18.57429731956993
207,2017,40.0,15.516,phases,allcrops,19.537226485705816,16.86361578272438
207,2018,40.0,22.995,phases,allcrops,30.019741883341418,27.40363530529597
207,2019,43.0,27.728,phases,allcrops,32.68101228462623,28.8045816654285
