field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
195,2010,40.0,17.763,phases,sunflower,19.174454003033436,19.177344164530695
195,2011,40.0,16.394,phases,sunflower,18.14138160467449,15.70852029928849
195,2012,40.0,20.692,phases,sunflower,21.86066841225445,21.54248212906801
195,2013,40.0,19.425,phases,sunflower,17.000114751451502,18.781409991684683
195,2014,40.0,27.474,phases,sunflower,22.73873627510817,26.907608012674604
195,2015,40.0,8.484,phases,sunflower,15.588170117401647,9.730589298255062
195,2016,40.0,23.569,phases,sunflower,17.579491878961527,23.596455368878217
195,2017,40.0,16.511,phases,sunflower,20.036543758944788,16.92140482783456
195,2018,40.0,29.441,phases,sunflower,29.395366748491252,28.94050196803953
195,2024,40.0,33.274,phases,sunflower,31.12169987863026,32.98827549923486
197,2010,40.0,22.141,phases,sunflower,17.895180604510454,20.534307700778793
197,2011,40.0,21.288,phases,sunflower,22.503857348647475,21.647780731796008
197,2012,40.0,15.663,phases,sunflower,19.832669586642,16.752446876481237
197,2013,40.0,16.961,phases,sunflower,22.296035303766082,18.3466760151938
197,2014,40.0,22.187,phases,sunflower,19.353304802403784,21.806075982207044
197,2015,40.0,20.006,phases,sunflower,22.266508742710936,19.405509138098044
197,2016,40.0,24.004,phases,sunflower,21.353294229825437,23.968514380147525
197,2017,40.0,18.136,phases,sunflower,24.655664918136463,18.431065866320022
197,2018,40.0,30.602,phases,sunflower,29.34980259502678,29.554817599321712
197,2024,40.0,32.481,phases,sunflower,31.977856428711977,32.96160679084427
207,2010,40.0,21.087,phases,sunflower,18.067094308379893,20.57302269044395
207,2011,40.0,17.486,phases,sunflower,20.754375697251536,18.057369941452343
207,2012,40.0,20.149,phases,sunflower,19.830153875437798,19.050359941262588
207,2013,40.0,22.497,phases,sunflower,21.7107297378572,22.142804294023055
207,2014,40.0,22.424,phases,sunflower,19.73638970188986,22.725520777385487
207,2015,40.0,17.668,phases,sunflower,17.800641928990974,17.03039465899865
207,2016,40.0,19.816,phases,sunflower,14.65637231396947,19.037538648065638
207,2017,40.0,15.516,phases,sunflower,18.62308149283507,16.190372863504724
207,2018,40.0,22.995,phases,sunflower,31.518618079372832,25.42896097850955
207,2024,40.0,30.323,phases,sunflower,28.75683438802925,30.10144571807395
208,2010,40.0,24.501,phases,sunflower,20.428857726863594,23.822103354058807
208,2011,40.0,23.01,phases,sunflower,26.41656467747763,23.449419074668235
208,2012,40.0,20.003,phases,sunflower,22.338470793938203,20.346981696553627
208,2013,40.0,27.517,phases,sunflower,25.937339694973527,27.20067535442029
208,2014,40.0,29.195,phases,sunflower,22.019760652334508,27.899181915338954
208,2015,40.0,14.288,phases,sunflower,15.554281518744807,13.090042536056782
208,2016,40.0,21.872,phases,sunflower,21.395211720494185,22.45904730679748
208,2017,40.0,20.779,phases,sunflower,24.88201631625331,21.775832071122284
208,2018,40.0,16.354,phases,sunflower,20.68309990906223,16.942415090918832
208,2019,40.0,21.162,phases,sunflower,26.05597084503101,22.48748700766506
208,2021,40.0,30.769,phases,sunflower,27.265605514571963,30.588928485121766
208,2024,40.0,28.781,phases,sunflower,28.88733490075237,28.969043118751436
209,2010,40.0,20.058,phases,sunflower,18.790278467946404,19.94997137717162
209,2011,40.0,21.288,phases,sunflower,24.207076219550103,21.67759262618644
209,2012,40.0,21.412,phases,sunflower,22.3393842657088,20.98406027854207
209,2013,40.0,17.872,phases,sunflower,20.577127351464092,18.33550803504123
209,2014,40.0,27.874,phases,sunflower,19.29822018630359,25.99125136785465
209,2015,40.0,19.986,phases,sunflower,25.786412746391182,20.268400905163983
209,2016,40.0,25.161,phases,sunflower,21.177009856008677,25.63226967443272
209,2018,40.0,23.351,phases,sunflower,25.317395732558694,23.685207209332305
209,2021,40.0,23.811,phases,sunflower,22.410946198817292,24.216625740836424
209,2025,40.0,30.953,phases,sunflower,27.51952976309229,30.270224829983324
210,2010,40.0,24.812,phases,sunflower,21.990312987702392,23.90821418740409
210,2011,40.0,23.706,phases,sunflower,25.173369577174878,23.419555797810343
210,2012,40.0,18.137,phases,sunflower,17.995451397190738,17.527028223956382
210,2013,40.0,19.414,phases,sunflower,25.163412139506185,20.32431978883956
210,2014,40.0,29.256,phases,sunflower,25.184965164999515,29.514284009794864
210,2015,40.0,24.408,phases,sunflower,27.40028561470789,24.24328039326704
210,2016,40.0,28.707,phases,sunflower,20.79910481146544,27.826897739236365
210,2019,40.0,24.037,phases,sunflower,27.960306893202297,24.080051568041174
210,2021,40.0,29.186,phases,sunflower,24.853758202450077,28.671890120823186
210,2025,40.0,26.162,phases,sunflower,26.62341596400659,27.114867821836125
211,2019,40.0,23.18,phases,sunflower,26.062220361888944,22.795133561413213
211,2021,40.0,29.907,phases,sunflower,25.48912282567681,29.34178710606495
212,2010,40.0,25.729,phases,sunflower,22.910920751462292,24.64043114811215
212,2011,40.0,21.887,phases,sunflower,26.70797661443139,23.827466988159735
212,2012,40.0,24.481,phases,sunflower,22.136827249375184,23.341671902921238
212,2013,40.0,21.99,phases,sunflower,20.808745788954806,22.024630133880997
212,2014,40.0,24.5,phases,sunflower,24.253421619024373,25.35988142861292
212,2015,40.0,16.854,phases,sunflower,22.984364397871914,17.97237707451695
212,2016,40.0,27.669,phases,sunflower,16.354613527657616,25.515047427951142
212,2017,40.0,16.862,phases,sunflower,19.53682103308371,17.482276352749437
212,2018,40.0,13.272,phases,sunflower,17.184339827370113,14.019160709531734
212,2019,40.0,24.78,phases,sunflower,25.639992220350898,23.697141445614413
212,2021,40.0,32.197,phases,sunflower,29.1777559925095,32.01548935417681
212,2024,40.0,31.718,phases,sunflower,31.01148837402745,31.4724183476891
213,2010,40.0,21.619,phases,sunflower,20.15022142953784,21.230728083189007
213,2011,40.0,19.84,phases,sunflower,21.952321563572266,19.506947057182902
213,2012,40.0,16.418,phases,sunflower,20.590202464295913,18.058399338085856
213,2013,40.0,20.484,phases,sunflower,24.05495240191622,20.705872475624528
213,2014,40.0,24.244,phases,sunflower,22.721569516501063,24.982132414519057
213,2015,40.0,21.305,phases,sunflower,24.646214247253944,21.512075969680804
213,2016,40.0,24.174,phases,sunflower,17.60503889493038,23.86423326544397
213,2017,40.0,24.459,phases,sunflower,19.355375074035344,23.569298603247272
213,2018,40.0,26.765,phases,sunflower,21.829305632384337,25.487148188664616
213,2022,40.0,23.059,phases,sunflower,27.484807291769,23.630019556115816
214,2010,40.0,19.55,phases,sunflower,19.931068789857708,20.846593738471565
214,2011,40.0,20.53,phases,sunflower,22.422361629494674,20.249681035242467
214,2012,40.0,16.657,phases,sunflower,20.573034438640605,17.30742144620581
214,2013,40.0,20.64,phases,sunflower,24.362327861051597,20.780471701761453
214,2014,40.0,26.513,phases,sunflower,22.814609206216314,26.22952019603993
214,2015,40.0,22.145,phases,sunflower,26.306137594247506,22.31699002848919
214,2016,40.0,23.114,phases,sunflower,16.73548997536888,22.51874579846214
214,2017,40.0,24.927,phases,sunflower,19.11891966372042,24.073741443474702
214,2018,40.0,26.65,phases,sunflower,22.446628260190337,25.274238472579956
214,2019,40.0,21.573,phases,sunflower,25.91182519947423,22.439902825189687
214,2022,40.0,23.271,phases,sunflower,26.94894219757266,23.728332433413442
215,2010,40.0,25.285,phases,sunflower,19.736261421950424,23.680817837327208
215,2011,40.0,22.013,phases,sunflower,23.65405726078061,22.4493952172391
215,2012,40.0,19.233,phases,sunflower,20.122685460878024,17.99190295713606
215,2013,40.0,11.653,phases,sunflower,15.749862195914783,12.50312779682821
215,2014,40.0,26.138,phases,sunflower,24.21726519665019,25.44194860023562
215,2015,40.0,14.253,phases,sunflower,13.971720451916472,13.837425266384614
215,2016,40.0,19.726,phases,sunflower,22.360906716583823,21.730780144243422
215,2018,40.0,23.53,phases,sunflower,23.28999569541158,23.570340401895983
215,2019,40.0,21.773,phases,sunflower,26.99670508831476,22.244014823028532
215,2021,40.0,26.547,phases,sunflower,23.096457936536638,25.79502689804686
215,2025,40.0,25.924,phases,sunflower,24.292509375919582,26.7773123145248
216,2010,40.0,28.838,phases,sunflower,25.163371665717104,28.694853196865335
216,2011,40.0,24.407,phases,sunflower,25.71687857060294,24.734786745110295
216,2012,40.0,24.394,phases,sunflower,24.91798346635867,24.20970988990122
216,2013,40.0,24.091,phases,sunflower,27.495326948883267,24.599299839066514
216,2014,40.0,29.909,phases,sunflower,24.68614850253559,29.39458482528181
216,2015,40.0,27.174,phases,sunflower,27.434291783406895,26.03119201460444
216,2016,40.0,26.756,phases,sunflower,24.341366166469584,26.816064363478947
216,2018,40.0,21.175,phases,sunflower,26.16481171267102,22.139535573932648
216,2019,40.0,21.598,phases,sunflower,26.560401834438558,22.266052365320263
216,2021,40.0,26.041,phases,sunflower,24.179873047654812,26.247147223556322
216,2025,40.0,28.421,phases,sunflower,27.255086582865193,28.553476847233835
217,2010,40.0,20.382,phases,sunflower,23.230955265737293,20.881322404070833
217,2011,40.0,24.75,phases,sunflower,23.528871543858514,24.535781155247168
217,2012,40.0,16.152,phases,sunflower,18.163448018996334,15.820002122379458
217,2013,40.0,22.975,phases,sunflower,20.202848673806024,21.472992075834526
