field_id,year,crop_id,target_yield_t_ha,dataset_tag,subset_tag,model_pred_oof_t_ha,model_pred_train_t_ha
195,2019,43.0,29.511,phases,wheat,38.473167264635386,29.58096332961174
195,2025,43.0,28.708,phases,wheat,30.161506341378995,28.842790302501395
197,2019,43.0,33.518,phases,wheat,38.79573514684413,33.502548770592924
197,2025,43.0,31.238,phases,wheat,33.686354482913735,31.193428672050825
207,2019,43.0,27.728,phases,wheat,38.19121072858521,27.935574033490056
207,2025,43.0,34.044,phases,wheat,31.165742114782596,33.82753661713495
208,2020,43.0,13.906,phases,wheat,19.188031256188744,14.263872236468151
208,2022,43.0,34.204,phases,wheat,28.166889634704205,33.73025751677228
208,2023,43.0,15.494,phases,wheat,15.617512644135948,15.361373289612429
208,2025,43.0,30.721,phases,wheat,35.16796213492642,30.926592197916694
209,2022,43.0,34.979,phases,wheat,24.987308234829793,35.157047087180125
210,2022,43.0,34.1,phases,wheat,24.10688087260426,34.15046571956042
211,2022,43.0,34.704,phases,wheat,23.827718265894823,34.61808672829336
212,2020,43.0,13.132,phases,wheat,17.200413040637997,13.224596046649292
212,2022,43.0,30.777,phases,wheat,25.164027883985483,30.755411587226973
212,2023,43.0,16.78,phases,wheat,18.1759413968368,17.000343788581777
212,2025,43.0,28.967,phases,wheat,30.441693049485455,28.66626151637516
213,2020,43.0,15.964,phases,wheat,19.544141514033672,16.082372651420318
213,2021,43.0,33.956,phases,wheat,27.097015140999023,33.39420447483914
213,2023,43.0,16.769,phases,wheat,18.71322876931993,16.93717144439828
214,2020,43.0,15.097,phases,wheat,17.81757035384295,15.042730336776515
214,2021,43.0,28.408,phases,wheat,27.351662425619743,28.694006147834838
214,2023,43.0,16.104,phases,wheat,17.057722599706217,15.93067496621229
215,2020,43.0,15.953,phases,wheat,22.22576269542772,16.025188060058262
215,2022,43.0,27.345,phases,wheat,24.955302427317353,27.5243073312971
216,2020,43.0,21.373,phases,wheat,24.78178531268484,21.413960214043392
216,2022,43.0,39.809,phases,wheat,35.23123875797715,39.87780325630284
217,2020,43.0,19.61,phases,wheat,18.604589771579366,19.248189708903
217,2022,43.0,34.127,phases,wheat,25.329502379063545,34.02852998772786
217,2025,43.0,27.186,phases,wheat,33.29002044554153,27.561640671907135
218,2020,43.0,17.929,phases,wheat,15.723580640048759,17.386420054074517
218,2022,43.0,25.543,phases,wheat,24.808568471761436,25.70402483750364
218,2024,43.0,34.0,phases,wheat,30.64678024362089,34.36261770047133
218,2025,43.0,26.461,phases,wheat,31.65977947307532,26.610938890753417
219,2020,43.0,11.434,phases,wheat,19.874220058028293,11.733330136836951
219,2022,43.0,34.281,phases,wheat,24.047330239496358,33.69391509892877
219,2024,43.0,33.588,phases,wheat,31.186837487524627,33.80530698212819
220,2020,43.0,17.675,phases,wheat,29.61959409277783,17.910364737635984
220,2022,43.0,32.34,phases,wheat,26.41437464290713,32.37422011818739
220,2024,43.0,39.769,phases,wheat,30.642602621549255,39.544522327699234
220,2025,43.0,36.214,phases,wheat,32.35979915628076,36.04768068389184
221,2020,43.0,28.632,phases,wheat,29.341703918226585,29.156108616842136
221,2022,43.0,41.328,phases,wheat,36.57739402252323,41.42745571233359
222,2020,43.0,9.872,phases,wheat,18.968871716920578,10.40490673400752
222,2022,43.0,34.904,phases,wheat,23.68074169623203,34.42107184923745
222,2024,43.0,42.83,phases,wheat,31.80148098420685,42.587337492468926
223,2020,43.0,11.26,phases,wheat,20.43955176604059,11.258950042481466
223,2022,43.0,28.408,phases,wheat,25.444905811073976,28.617088196178102
223,2024,43.0,42.385,phases,wheat,29.816350746696827,42.101096371871805
224,2020,43.0,17.282,phases,wheat,18.322310628506905,17.07328600535859
224,2022,43.0,33.052,phases,wheat,32.06308082920696,32.994743791641326
225,2020,43.0,35.471,phases,wheat,27.76449559169044,34.40862008288388
225,2022,43.0,45.8,phases,wheat,39.47516469482463,45.78646778665222
226,2020,43.0,15.046,phases,wheat,18.136994066774026,15.027638101012402
226,2022,43.0,29.26,phases,wheat,29.062533476628847,29.448665653749917
228,2022,43.0,32.991,phases,wheat,29.567323722787528,32.98324670564475
228,2025,43.0,35.23,phases,wheat,34.08002933240588,35.17453502251566
229,2022,43.0,26.656,phases,wheat,18.42025224959767,26.601849862671745
229,2025,43.0,31.488,phases,wheat,31.033455619268867,31.486554863970245
230,2023,43.0,15.378,phases,wheat,16.001987021452592,15.320801903742508
230,2025,43.0,29.788,phases,wheat,31.79577718538628,29.833994052644222
231,2017,43.0,22.209,phases,wheat,24.780984256031033,22.272524900459107
231,2024,43.0,36.423,phases,wheat,30.351326068694412,36.589596485944426
232,2017,43.0,27.603,phases,wheat,30.036840328858837,27.833359132838023
232,2024,43.0,41.416,phases,wheat,32.41533676019288,41.00645656292494
233,2020,43.0,17.5,phases,wheat,23.166017145954036,17.445884570235894
234,2022,43.0,35.318,phases,wheat,33.61415534730994,35.45627053490706
