feature,importance
ndvi_max_season,0.2989795829861312
crop_id,0.2989068218112492
ndvi_early,0.07827116948067941
field_lat,0.03211307446762284
ndvi_mid,0.03160624044560526
weather_precip_sum_early,0.031028523339191223
ndvi_mean_season,0.025094492593349057
ndvi_late,0.024903899365803034
weather_gdd_season,0.017290771037179253
ndvi_wheat_p2_max,0.01404887843040553
weather_hot_days,0.013800900645155814
ndvi_sunflower_p1_mean,0.01142694558173476
weather_precip_sum_season,0.009979162494326633
field_soil_pH,0.009256728850470965
ndvi_sunflower_p1_max,0.007286063934664725
wx_sunflower_p1_hot_days,0.0070043990458611505
ndvi_observations,0.006738952122396522
field_soil_OM,0.0066043748708022425
field_soil_Mg,0.006578853512498862
field_soil_N,0.006025845647362478
field_soil_P,0.005861215132099376
ndvi_wheat_p3_mean,0.00564412309632793
ndvi_sunflower_p2_mean,0.005372042852698745
field_soil_K,0.005135520206596151
ndvi_sunflower_p2_max,0.005050947318423182
field_long,0.004799428887456173
weather_temp_avg_season,0.004757154037566449
prev_crop_id,0.004005170672091463
ndvi_wheat_p2_mean,0.0036324322997570127
wx_wheat_p3_precip_sum,0.002842877834983522
field_calculated_area,0.0027563430177065477
ndvi_sunflower_p3_max,0.002487790224088338
ndvi_wheat_p1_max,0.002122803293732132
field_tillable_area,0.0018063394123957889
missingindicator_ndvi_sunflower_p1_mean,0.00175705191272357
wx_sunflower_p3_hot_days,0.001334151333750977
ndvi_wheat_p3_max,0.000781598578010125
ndvi_sunflower_p3_mean,0.00054699694679356
missingindicator_field_soil_N,0.0005165953786635971
ndvi_wheat_p1_mean,0.0004033075482059761
missingindicator_weather_hot_days,0.0003169066886882367
missingindicator_wx_sunflower_p1_hot_days,0.000216133515920733
wx_wheat_p2_precip_sum,0.00018785387206518328
missingindicator_weather_precip_sum_early,0.0001679633251732534
missingindicator_weather_precip_sum_season,0.00016766791174153557
missingindicator_wx_sunflower_p3_hot_days,0.00016152232685223158
wx_wheat_p1_precip_sum,0.0001340252102658652
missingindicator_ndvi_sunflower_p2_mean,8.835650273223985e-05
missingindicator_field_soil_pH,0.0
missingindicator_ndvi_mid,0.0
missingindicator_ndvi_early,0.0
missingindicator_ndvi_max_season,0.0
missingindicator_ndvi_mean_season,0.0
field_group_id,0.0
wx_sunflower_p2_hot_days,0.0
field_soil_N_NO3,0.0
missingindicator_ndvi_late,0.0
missingindicator_field_soil_Mg,0.0
missingindicator_weather_temp_avg_season,0.0
missingindicator_weather_gdd_season,0.0
missingindicator_field_soil_OM,0.0
missingindicator_field_soil_P,0.0
missingindicator_field_soil_K,0.0
missingindicator_wx_sunflower_p2_hot_days,0.0
missingindicator_wx_wheat_p3_precip_sum,0.0
missingindicator_wx_wheat_p2_precip_sum,0.0
missingindicator_wx_wheat_p1_precip_sum,0.0
missingindicator_field_soil_N_NO3,0.0
missingindicator_ndvi_wheat_p1_max,0.0
missingindicator_ndvi_wheat_p2_max,0.0
missingindicator_ndvi_wheat_p3_max,0.0
missingindicator_ndvi_sunflower_p1_max,0.0
missingindicator_ndvi_wheat_p3_mean,0.0
missingindicator_ndvi_wheat_p2_mean,0.0
missingindicator_ndvi_wheat_p1_mean,0.0
missingindicator_ndvi_sunflower_p2_max,0.0
missingindicator_ndvi_sunflower_p3_max,0.0
missingindicator_ndvi_sunflower_p3_mean,0.0
missingindicator_prev_crop_id,0.0
