scenario,asof_tag,asof_label,model,n,r2,rmse,mae,mape
sunflower,07_01,1 Jul,ML v2,97,-0.1375462527629427,0.6752366671499311,0.5563823980409077,23.12869456535557
sunflower,07_01,1 Jul,Cropwise,97,-0.2904234355748165,0.7191800082743631,0.5752547080831735,26.29414829844063
sunflower,08_01,1 Aug,ML v2,97,0.0849836655963638,0.6056000592729507,0.495136736351957,21.492387832955785
sunflower,08_01,1 Aug,Cropwise,97,0.1338627200222356,0.5892028669979168,0.4713336111396262,21.520577947778246
sunflower,09_01,1 Sep,ML v2,97,0.1969302618029855,0.567346155037847,0.4589848048952975,20.67126556501459
sunflower,09_01,1 Sep,Cropwise,97,0.2769209342782445,0.5383495813182279,0.4105622374968066,18.595014958950852
wheat_combined,07_01,1 Jul,ML v2,62,0.0200311557702258,1.1320378100077495,0.9408371450963288,41.90051010117144
wheat_combined,07_01,1 Jul,Cropwise,62,0.4846584872369888,0.8209228840339121,0.6355434397547611,31.47711517477588
wheat_combined,08_01,1 Aug,ML v2,62,0.0358296727744056,1.1228756888195566,0.9354492685392088,41.434342142871934
wheat_combined,08_01,1 Aug,Cropwise,62,0.5708991131431091,0.7490908707210737,0.5762939520797022,27.9729569881503
wheat_combined,09_01,1 Sep,ML v2,62,0.083671513748059,1.0946628818706337,0.898563933554554,40.32005897670455
wheat_combined,09_01,1 Sep,Cropwise,62,0.5294503233014711,0.7844360387430597,0.6140211048049852,29.685478675413872
all_crops,07_01,1 Jul,ML v2,251,-0.1854920946369196,1.1547665305241246,0.8516564664475447,34.73057254285184
all_crops,07_01,1 Jul,Cropwise,251,-0.0217342434429845,1.0720470134355866,0.7412642025063135,33.06552987867542
all_crops,08_01,1 Aug,ML v2,251,-0.0750817592141903,1.099678168924061,0.8114142731952734,34.66791308321605
all_crops,08_01,1 Aug,Cropwise,251,0.1908491351229724,0.954024676354434,0.661355169396243,29.659306877108133
all_crops,09_01,1 Sep,ML v2,251,-0.023526486243665,1.0729868501472193,0.7887830868252236,35.31308280162445
all_crops,09_01,1 Sep,Cropwise,251,0.1817721453628885,0.9593608392296762,0.6506049582565546,28.769724920429425
sunflower,07_01,1 Jul,ML v2b (agronomic),97,-0.0932922066629589,0.6619719871835886,0.5422525923416943,22.500027413995333
sunflower,08_01,1 Aug,ML v2b (agronomic),97,0.1638092825879175,0.5789274691224153,0.4790662069311073,20.98995591350797
sunflower,09_01,1 Sep,ML v2b (agronomic),97,0.1860816194691977,0.5711654298455605,0.4726517475729925,20.941365525378856
wheat_combined,07_01,1 Jul,ML v2b (agronomic),62,0.0957754107499639,1.087409079031898,0.895303557930397,40.337651810499466
wheat_combined,08_01,1 Aug,ML v2b (agronomic),62,-0.0161961515123967,1.152772403239778,0.9451657539970952,42.92009321095441
wheat_combined,09_01,1 Sep,ML v2b (agronomic),62,0.0948023616854951,1.0879940099732206,0.8807841739080118,41.13554642012463
all_crops,07_01,1 Jul,ML v2b (agronomic),252,-0.1346549382015673,1.1340228896691529,0.8333817970728751,34.183488812196934
all_crops,08_01,1 Aug,ML v2b (agronomic),252,-0.1159175093702471,1.1246204148390235,0.8295826842074812,35.64608557312907
all_crops,09_01,1 Sep,ML v2b (agronomic),252,-0.059380066234808,1.0957609398660806,0.7966887607706742,34.986355285199814
