scenario,asof_tag,asof_label,variant,config,n,r2,rmse,mae,mape
sunflower,07_01,1 Jul,v12_no_mgmt,l30,25,-0.37091778716366663,0.6828473836803172,0.6090367071339795,25.597599671030046
sunflower,07_01,1 Jul,v12_no_mgmt,nofield,25,-0.3455169701922527,0.676491795643169,0.6041848339762698,25.605696286922473
sunflower,07_01,1 Jul,v13_full,l30,25,-0.44996452105983353,0.702257897561872,0.6300509117056156,26.241782534829138
sunflower,07_01,1 Jul,v13_full,nofield,25,-0.4379943023129542,0.6993531361442359,0.6190810039676488,26.426637863464652
sunflower,07_01,1 Jul,counts,l30,25,-0.3930407095641679,0.6883349927034496,0.6149886396300863,25.77556200570375
sunflower,07_01,1 Jul,counts,nofield,25,-0.46003553932043406,0.7046925136129008,0.6170510278885073,26.502025627976263
sunflower,07_01,1 Jul,rates,l30,25,-0.47301519314090257,0.7078179260174603,0.6328472733944142,26.373611608404314
sunflower,07_01,1 Jul,rates,nofield,25,-0.4402034545364837,0.6998901287497322,0.6212845620440987,26.464632767767487
sunflower,07_01,1 Jul,nutrients,l30,25,-0.4004524476256972,0.6901637226846336,0.6150934506154248,25.817665663629956
sunflower,07_01,1 Jul,nutrients,nofield,25,-0.4341293254114278,0.6984126587037077,0.6079353474941891,26.40405884285741
sunflower,07_01,1 Jul,counts_rates,l30,25,-0.37423782631566915,0.6836737312360451,0.6098598514394049,25.639869856444275
sunflower,07_01,1 Jul,counts_rates,nofield,25,-0.20579953095908343,0.640406158100187,0.5726931555192809,24.105205822534874
sunflower,07_01,1 Jul,counts_rates_nutrients,l30,25,-0.3941770803387241,0.6886156895661112,0.6148828202507808,25.796974234608815
sunflower,07_01,1 Jul,counts_rates_nutrients,nofield,25,-0.33304807607455866,0.6733499780947411,0.6052754289145013,25.19976010551893
sunflower,08_01,1 Aug,v12_no_mgmt,l30,25,-0.4491944440982272,0.7020713880152407,0.6209979265869721,26.52143706772933
sunflower,08_01,1 Aug,v12_no_mgmt,nofield,25,-0.22635891884592385,0.6458426791428376,0.56619523307204,24.62366050170878
sunflower,08_01,1 Aug,v13_full,l30,25,-0.27792620006731084,0.6592814118698833,0.5796362589349852,25.192887499800857
sunflower,08_01,1 Aug,v13_full,nofield,25,-0.4317129211682671,0.6978240232255416,0.6153218812462639,26.592388791775413
sunflower,08_01,1 Aug,counts,l30,25,-0.37536316913954604,0.683953599054844,0.6078397783705205,25.904454896194277
sunflower,08_01,1 Aug,counts,nofield,25,-0.2976663036647158,0.6643538526635588,0.5857646819377847,25.23126158779935
sunflower,08_01,1 Aug,rates,l30,25,-0.39381530290329536,0.6885263387277967,0.6101767068556493,26.089695608233505
sunflower,08_01,1 Aug,rates,nofield,25,-0.27586011901065755,0.658748251255712,0.5776250244900331,25.02578234903698
sunflower,08_01,1 Aug,nutrients,l30,25,-0.35106163966931825,0.6778842221937166,0.5977705542185034,25.749534338049884
sunflower,08_01,1 Aug,nutrients,nofield,25,-0.2929288064537201,0.6631400381545284,0.5855273467199676,24.932196294555027
sunflower,08_01,1 Aug,counts_rates,l30,25,-0.5142851414698311,0.7176650133459369,0.6343890496697552,27.07364028666261
sunflower,08_01,1 Aug,counts_rates,nofield,25,-0.418837135159398,0.6946790752308567,0.6154048736026644,26.301190235143153
sunflower,08_01,1 Aug,counts_rates_nutrients,l30,25,-0.3562697573675606,0.6791895308784637,0.600424505302406,25.87250969561418
sunflower,08_01,1 Aug,counts_rates_nutrients,nofield,25,-0.33672619520698754,0.6742782849750504,0.5956606033094066,25.704200113994602
sunflower,09_01,1 Sep,v12_no_mgmt,l30,25,-0.2892453874055918,0.6621947560892665,0.5766142660982131,25.348304132418203
sunflower,09_01,1 Sep,v12_no_mgmt,nofield,25,-0.31367334411833414,0.6684387801099312,0.5639048896503117,25.552422288054018
sunflower,09_01,1 Sep,v13_full,l30,25,-0.26633449008039145,0.6562845220523076,0.5759965516246004,25.111625142201614
sunflower,09_01,1 Sep,v13_full,nofield,25,-0.29948008222435707,0.664817982002369,0.5788565460334311,25.483762916408452
sunflower,09_01,1 Sep,counts,l30,25,-0.28023263269177656,0.6598760873201106,0.5746614073196061,25.278419036377116
sunflower,09_01,1 Sep,counts,nofield,25,-0.3308768428462614,0.6728013873593861,0.5736984081760954,25.703557035548897
sunflower,09_01,1 Sep,rates,l30,25,-0.26158088349347364,0.6550515730629596,0.5689815793724347,25.122687858709885
sunflower,09_01,1 Sep,rates,nofield,25,-0.26459927769190705,0.6558347264330612,0.5719690587573073,25.14916249554578
sunflower,09_01,1 Sep,nutrients,l30,25,-0.27328751530661033,0.6580837766349538,0.5784268537518358,25.18130721845357
