scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,07_01,1 Jul,v12,v12_default,25,25,24.042394593173128,0.6351878289880649,0.5686482055728603,-0.18622875518913196,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12,v12_shallow_l10,25,25,25.5257420584143,0.6874612534499938,0.6055287361053634,-0.38950643667675844,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12,v12_shallow_l30,25,25,25.597599671030046,0.6828473836803172,0.6090367071339795,-0.37091778716366663,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12,v12_no_field_id,25,25,25.605696286922473,0.676491795643169,0.6041848339762698,-0.3455169701922527,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v14,v14_shallow_l10,25,25,25.918688419641335,0.6875902510963433,0.6007755711182573,-0.39002794934650753,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v14,v14_shallow_l30,25,25,25.462202638484076,0.6771737601615382,0.6041047931724088,-0.3482311415908408,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v14,v14_no_field_id,25,25,25.404254802583694,0.6796007699540176,0.608189720138743,-0.35791265659031435,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v15_rates,v15_rates_shallow_l10,25,25,26.39597646765757,0.6985310762576702,0.6158331836091274,-0.4346156868250597,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v15_rates,v15_rates_shallow_l30,25,25,25.6548032182063,0.6850824852344988,0.6090439855336516,-0.37990707330500806,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v15_rates,v15_rates_no_field_id,25,25,25.072042477318433,0.6576648575848364,0.5831415088548553,-0.2716669477142326,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,08_01,1 Aug,v12,v12_default,25,25,24.93175294801318,0.6582459906657252,0.5788006395434515,-0.2739153094071136,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12,v12_shallow_l10,25,25,25.434550265045335,0.6645659284949134,0.582936181606512,-0.29849492107842557,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12,v12_shallow_l30,25,25,26.52143706772933,0.7020713880152407,0.6209979265869721,-0.4491944440982272,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12,v12_no_field_id,25,25,24.62366050170878,0.6458426791428376,0.56619523307204,-0.22635891884592385,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v14,v14_shallow_l10,25,25,25.869764030794585,0.6836602607399346,0.6000274748289559,-0.3741836733415824,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v14,v14_shallow_l30,25,25,25.02303924294862,0.6675809274065546,0.5709103263507916,-0.31030365604790444,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v14,v14_no_field_id,25,25,25.33197295225138,0.6621062395094841,0.583235635418498,-0.2889007396599721,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v15_rates,v15_rates_shallow_l10,25,25,25.900135008573937,0.686276444838801,0.6030117227498173,-0.3847210599828741,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v15_rates,v15_rates_shallow_l30,25,25,26.167476519143317,0.6874898124757821,0.6079275382474806,-0.38962188689079813,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v15_rates,v15_rates_no_field_id,25,25,25.49109466938157,0.6735934343897367,0.5869692664011323,-0.3340122035753619,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,09_01,1 Sep,v12,v12_default,25,25,25.205728857550387,0.6537131193760051,0.5659644210543522,-0.256430624960559,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12,v12_shallow_l10,25,25,26.26200792469912,0.6872999540207446,0.5881039927588717,-0.38885447178252397,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12,v12_shallow_l30,25,25,25.348304132418203,0.6621947560892665,0.5766142660982131,-0.2892453874055918,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12,v12_no_field_id,25,25,25.552422288054018,0.6684387801099312,0.5639048896503117,-0.31367334411833414,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v14,v14_shallow_l10,25,25,25.387441352564345,0.6626361529283744,0.5700210972717137,-0.2909646957954939,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v14,v14_shallow_l30,25,25,24.926279182055453,0.6512132684371484,0.5709125902521466,-0.24683961728655346,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v14,v14_no_field_id,25,25,25.214535663263526,0.6611898169622559,0.5514131990462272,-0.28533526876318427,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
