scenario,asof_tag,asof_label,variant,model,model_type,n,r2,rmse,mae,mape
sunflower,07_01,1 Jul,strict,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,07_01,1 Jul,strict,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,07_01,1 Jul,strict,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,07_01,1 Jul,strict,catboost_fast_l10,ml,13416,0.38760092442631777,0.4277073413610209,0.3449339371381547,16.4482779423619
sunflower,07_01,1 Jul,strict,catboost_fast_l10_residual,ml,13416,0.38760092411736735,0.4277073414689084,0.344933937196014,16.448277952080385
sunflower,07_01,1 Jul,strict,catboost_shallow_l30,ml,13416,0.3901360865749155,0.4268211284179069,0.3453443620802741,16.496011116632797
sunflower,07_01,1 Jul,strict,catboost_shallow_l30_residual,ml,13416,0.39013608646052433,0.426821128457936,0.3453443620761333,16.496011121265248
sunflower,07_01,1 Jul,strict,catboost_mae_l20,ml,13416,0.38644788109228656,0.4281098021094989,0.3451117970098019,16.393039345835128
sunflower,07_01,1 Jul,strict,catboost_mae_l20_residual,ml,13416,0.38664911146763836,0.42803959147999393,0.34499566683099214,16.369525103301942
sunflower,08_01,1 Aug,strict,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,08_01,1 Aug,strict,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,08_01,1 Aug,strict,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,08_01,1 Aug,strict,catboost_fast_l10,ml,13416,0.5668451637030412,0.3597087691739218,0.2870518349073179,13.589821518898168
sunflower,08_01,1 Aug,strict,catboost_fast_l10_residual,ml,13416,0.5668698618281092,0.3596985138817379,0.28704905473937775,13.590199413022832
sunflower,08_01,1 Aug,strict,catboost_shallow_l30,ml,13416,0.5672617241709486,0.3595357634921543,0.2870501436324806,13.603771305706424
sunflower,08_01,1 Aug,strict,catboost_shallow_l30_residual,ml,13416,0.5672617237215231,0.35953576367885437,0.28705014376410387,13.60377131819632
sunflower,08_01,1 Aug,strict,catboost_mae_l20,ml,13416,0.5652625883477941,0.3603652863880462,0.2872824160283154,13.549567973841192
sunflower,08_01,1 Aug,strict,catboost_mae_l20_residual,ml,13416,0.5638144942596612,0.36096496908075265,0.2878215393753672,13.574163969147953
sunflower,09_01,1 Sep,strict,global_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,09_01,1 Sep,strict,crop_mean,naive,13416,-0.011679669401946757,0.5497319173843737,0.44616753545327453,22.40440959362707
sunflower,09_01,1 Sep,strict,crop_year_trend,naive,13416,-0.013619949589959601,0.5502588247895149,0.4466298457377405,22.666800010876546
sunflower,09_01,1 Sep,strict,catboost_fast_l10,ml,13416,0.5693277153014589,0.35867648383737916,0.28590064406511323,13.610812027552162
sunflower,09_01,1 Sep,strict,catboost_fast_l10_residual,ml,13416,0.5693277150855569,0.35867648392728396,0.28590064408611565,13.610812024489993
sunflower,09_01,1 Sep,strict,catboost_shallow_l30,ml,13416,0.5694456422073062,0.35862737398596,0.2859811521425252,13.623599345575633
sunflower,09_01,1 Sep,strict,catboost_shallow_l30_residual,ml,13416,0.5694456424667763,0.35862737387789806,0.28598115200430063,13.623599338440293
sunflower,09_01,1 Sep,strict,catboost_mae_l20,ml,13416,0.5651986453972964,0.36039178741119876,0.28700102162019175,13.591131357037325
sunflower,09_01,1 Sep,strict,catboost_mae_l20_residual,ml,13416,0.5651126301914968,0.3604274331612316,0.2871043579155082,13.605121303389932
wheat_combined,07_01,1 Jul,strict,global_mean,naive,7144,-0.03366617249925041,0.9750840467789831,0.7969742292538612,31.490155979403095
wheat_combined,07_01,1 Jul,strict,crop_mean,naive,7144,0.047129243447252,0.9362005641129914,0.7665726292272597,29.338181904077924
wheat_combined,07_01,1 Jul,strict,crop_year_trend,naive,7144,0.02829029660982063,0.9454099503522506,0.7740621911661972,29.632933220821716
wheat_combined,07_01,1 Jul,strict,catboost_fast_l10,ml,7144,0.6539604187480919,0.5641762346801279,0.44606688194686916,16.381245992968406
