filter,scenario,asof_tag,asof_label,method,n,mape,mae,rmse,r2,cw_mape,cw_mae,cw_rmse,cw_r2,naive_mape,naive_mae,naive_rmse,naive_r2
all,all_crops,07_01,1 Jul,cat_all_no_field,180,75.58694717214394,0.8152767938464224,1.0231271116614895,0.23041444010032275,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,cat_all_with_field,180,75.22930698066514,0.810572998506642,1.0169704105848285,0.23964858575085057,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,cat_core_d2,180,74.54295641081512,0.8205987370623452,1.030457943486105,0.21934657962459303,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,cat_core_d3,180,74.45181928491844,0.8084460241499165,1.0196573426416498,0.2356254372218568,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,peer_raw,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,residual_crop,180,80.42311435702165,0.8821253308671264,1.0902445335842443,0.1261325566209337,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,residual_global,180,76.53171561372818,0.847763876360951,1.0482101823659302,0.1922174404241198,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,ridge_all_no_field,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,07_01,1 Jul,ridge_core,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,08_01,1 Aug,cat_all_no_field,180,66.0316755058883,0.7743837631758205,1.0048896335011888,0.2576059951758852,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,08_01,1 Aug,cat_all_with_field,180,65.80610140255328,0.7692065328200903,0.9959538748225968,0.2707504409210306,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,08_01,1 Aug,cat_core_d2,180,62.55994411140853,0.7629500432643914,0.9911991949177995,0.27769668965432237,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all,all_crops,08_01,1 Aug,cat_core_d3,180,65.0930366965669,0.7709422060561824,0.9996650646360662,0.26530555846779313,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
