scenario,asof_tag,asof,model,n,r2,wcy_r2,rmse,mae,mape
all_crops,07_01,1 Jul,v22_core,151,0.10217996845895927,-0.016372614042782008,1.1290166185284285,0.9147366544573878,96.01520011831089
all_crops,07_01,1 Jul,v22_core_history,151,-0.09475076124360915,-0.4097443265562748,1.2467038971223077,0.9920028677758168,103.35027075645426
all_crops,07_01,1 Jul,cropwise,180,0.11047174094320678,-0.1236469223403438,1.0999704360750782,0.8032490633883965,78.5710498096336
all_crops,08_01,1 Aug,v22_core,151,0.048470979416447846,0.15677243171971889,1.162295906589992,0.9247817559560442,98.3082527655572
all_crops,08_01,1 Aug,v22_core_history,151,-0.126077908886721,-0.4117698801580183,1.264415783614491,1.001168889469263,104.42285825702986
all_crops,08_01,1 Aug,cropwise,180,0.4405770068147986,0.005849520914271156,0.8723108900376432,0.7047903561071314,68.54218449436469
all_crops,09_01,1 Sep,v22_core,151,-0.19593596109448175,-0.02565192129272109,1.3030457127423707,1.039293428226779,118.72230058367039
all_crops,09_01,1 Sep,v22_core_history,151,-0.1923530997139189,-0.5006096620533365,1.3010923748515903,1.0362618986914087,105.84081583780144
all_crops,09_01,1 Sep,cropwise,180,0.43249045896328775,-0.07105956750297726,0.8785929653378668,0.7003625616845661,67.83754864186227
wheat_combined,07_01,1 Jul,v22_core,65,0.19590722761347312,-0.07394679928410941,0.9987725472162048,0.7638796020543624,27.41797070143398
wheat_combined,07_01,1 Jul,v22_core_history,65,-0.087029564964757,-0.24398169376826595,1.1612726438029324,0.9028290612983989,30.938919037800467
wheat_combined,07_01,1 Jul,cropwise,88,0.49983252637696496,-0.08728274980545181,0.9776092999297237,0.7846395297282829,96.22824691713461
wheat_combined,08_01,1 Aug,v22_core,65,0.23159873448014778,0.05523906767291986,0.976354546840415,0.7593989627236037,27.839787617662758
wheat_combined,08_01,1 Aug,v22_core_history,65,-0.1297595141485408,-0.482598572355893,1.1838768303234737,0.9080454148657968,31.206544891559844
wheat_combined,08_01,1 Aug,cropwise,88,0.5443163489000138,0.03482299528691979,0.9331239258741458,0.7594881400702408,85.88253410635527
wheat_combined,09_01,1 Sep,v22_core,65,0.11752696729452417,0.14860102703138844,1.0463193060795424,0.8206106517332713,29.46457595097587
wheat_combined,09_01,1 Sep,v22_core_history,65,-0.37975366295470314,-0.3958134816255676,1.3083209483651035,1.028752047382541,36.338173848250335
wheat_combined,09_01,1 Sep,cropwise,88,0.5385423048135961,-0.05907591564822612,0.939017200974181,0.7773413613085083,86.23237892227564
sunflower,07_01,1 Jul,v22_core,25,-0.5557823201881209,0.047859610140050024,0.7253532621970679,0.624693682415207,24.16864847718395
sunflower,07_01,1 Jul,v22_core_history,25,-0.28871414712518995,-0.09703338054611943,0.6601664518300175,0.5631917546500952,23.850761437612555
sunflower,07_01,1 Jul,cropwise,59,-0.47672943177740223,-0.3380411930191045,0.7595094845174608,0.6193085878655563,26.147494061682192
sunflower,08_01,1 Aug,v22_core,25,-0.6872006501138468,-0.17319967304569706,0.7553678904414249,0.6559469819326101,26.815958604745425
sunflower,08_01,1 Aug,v22_core_history,25,-0.4490258504501694,-0.38756474407060293,0.7000244665287012,0.546908237336011,25.01044264256327
sunflower,08_01,1 Aug,cropwise,59,-0.17353486110102412,-0.24199207631715636,0.6770655765553913,0.5573874623820972,24.410829084746492
sunflower,09_01,1 Sep,v22_core,25,-0.246118729221263,-0.15608583741443427,0.6491646528979348,0.5326407258660556,23.601422883951727
sunflower,09_01,1 Sep,v22_core_history,25,-0.48305111797906797,-0.31942090427478886,0.708195581682947,0.564778174154898,25.709950256968302
sunflower,09_01,1 Sep,cropwise,59,-0.0002026567136235169,-0.08417415917825632,0.625067240253298,0.4988836785964446,21.86621814022737
