scenario,asof_tag,asof,model,n,r2,wcy_r2,rmse,mae,mape
all_crops,07_01,1 Jul,v24_pruned_full,1531,0.21270633308270037,0.11901715422322956,1.2402235447022636,0.8140866929374205,33.57743576280349
all_crops,07_01,1 Jul,v24_pruned_no_field,1531,0.20349976483844434,0.11260045416143527,1.2474540204364155,0.8126779119702808,33.28140420140927
all_crops,07_01,1 Jul,cropwise,1497,0.21521916058222346,0.008952697825717504,1.2445159021727936,0.7560899524577075,28.74000094494625
all_crops,08_01,1 Aug,v24_pruned_full,1531,0.1896201944684155,0.09594885803599884,1.2582759559156889,0.8000128825232408,32.05900133228457
all_crops,08_01,1 Aug,v24_pruned_no_field,1531,0.16293536331158542,0.07350030768899563,1.2788249189036907,0.8086689776690748,32.162865711822896
all_crops,08_01,1 Aug,cropwise,1497,0.28942556341788306,0.07114187651819981,1.1842163268900339,0.6863109383866801,27.354868974356872
all_crops,09_01,1 Sep,v24_pruned_full,1531,0.21516849580184494,0.10944901844765087,1.238282703877829,0.7833638088621913,31.749126379079247
all_crops,09_01,1 Sep,v24_pruned_no_field,1531,0.21984454859010505,0.12748816781210826,1.234588327624795,0.7893801398576572,31.697411240004207
all_crops,09_01,1 Sep,cropwise,1497,0.29122091711368925,0.059507474607360944,1.1827193466272985,0.6812673795103967,27.07955038721809
wheat_combined,07_01,1 Jul,v24_pruned_full,719,0.15840741701470562,0.084176112229438,1.4906260517011043,0.8683134818810887,31.06411701924149
wheat_combined,07_01,1 Jul,v24_pruned_no_field,719,0.15122621316051943,0.08263459919431682,1.4969722052051302,0.874821401945383,31.2677406371753
wheat_combined,07_01,1 Jul,cropwise,698,0.15309481500813016,0.009397564323028962,1.509379914571985,0.801324324328216,28.27257450614965
wheat_combined,08_01,1 Aug,v24_pruned_full,719,0.1652807381429584,0.08954484589666512,1.484526570453026,0.8567580310333603,31.58069231658053
wheat_combined,08_01,1 Aug,v24_pruned_no_field,719,0.1481459506464501,0.07792114339595901,1.499686056373692,0.8623245494987057,31.18804787540724
wheat_combined,08_01,1 Aug,cropwise,698,0.20130020756727662,0.030317761471463922,1.4657940566065761,0.7411896350771534,27.462875085270277
wheat_combined,09_01,1 Sep,v24_pruned_full,719,0.16561766262009892,0.06253855034693856,1.484226934489266,0.8467085745169706,30.871920375712286
wheat_combined,09_01,1 Sep,v24_pruned_no_field,719,0.12366366248534766,0.03425943492108896,1.521083893032091,0.8548252551502032,30.556146985787546
wheat_combined,09_01,1 Sep,cropwise,698,0.18811248585002704,0.010564046268782046,1.477845732699307,0.7626010819047501,28.443604047843067
sunflower,07_01,1 Jul,v24_pruned_full,372,0.05587196233396374,0.08104155815729297,0.7459782810201236,0.5901219239205198,25.376561794979445
sunflower,07_01,1 Jul,v24_pruned_no_field,372,0.05688034909719941,0.11285134934161622,0.7455797992677761,0.5906824611657583,25.283792088026313
sunflower,07_01,1 Jul,cropwise,367,-0.22887851026864392,-0.07114366906372127,0.8349087610981265,0.6742984388637009,26.50769396794381
sunflower,08_01,1 Aug,v24_pruned_full,372,0.13068619827440298,0.14885328746734916,0.7158120798657225,0.5595648515830424,23.594334993303374
sunflower,08_01,1 Aug,v24_pruned_no_field,372,0.13136482133584615,0.15293843978045818,0.7155326287494567,0.5623731167755341,23.898950688441527
sunflower,08_01,1 Aug,cropwise,367,0.10567322911791188,0.14000748808067054,0.7122503299348666,0.5706552310323015,23.399087936217057
sunflower,09_01,1 Sep,v24_pruned_full,372,0.09546004302910849,0.09330751571908036,0.7301710564806805,0.5833042621421662,24.76351752377786
sunflower,09_01,1 Sep,v24_pruned_no_field,372,0.09251253279238192,0.09484850795675248,0.7313597470592144,0.5860209007703536,24.72877835793742
sunflower,09_01,1 Sep,cropwise,367,0.24715954314102118,0.22202421145982976,0.6534855943517831,0.5112054199755957,21.157947531246492
