scenario,asof_tag,asof,model,n,r2,wcy_r2,rmse,mae,mape
all_crops,07_01,1 Jul,v26_full,954,0.11176710915876786,0.11986298822702335,1.1239088658597711,0.9191371837367744,44.24218771511466
all_crops,07_01,1 Jul,v26_no_field,954,0.10395540454346441,0.12328978822124892,1.128840244270205,0.9206019899408076,43.60681538997466
all_crops,07_01,1 Jul,cropwise_asof,951,0.3369227905967247,0.03212138231341033,0.9703576261057204,0.7496635382423587,29.286180471507034
all_crops,07_01,1 Jul,cropwise_final,951,0.505994585915327,0.21307609357859725,0.8375594193477611,0.6445972650699224,25.8263650347276
all_crops,08_01,1 Aug,v26_full,906,0.26406775965279994,0.19114453555082356,0.9835350020149338,0.7906569321723962,35.67337947479475
all_crops,08_01,1 Aug,v26_no_field,906,0.20435697037065825,0.18478473885187963,1.0226570973648057,0.8304145398755207,38.137845928158505
all_crops,08_01,1 Aug,cropwise_asof,903,0.44034556803641867,0.1807704038414284,0.8570031554158677,0.6661387677361641,27.81829859526224
all_crops,08_01,1 Aug,cropwise_final,903,0.46050287869799844,0.20364310802620122,0.8414281032632036,0.6483507962958223,26.275253930870463
all_crops,09_01,1 Sep,v26_full,635,0.006633086465538951,0.14771943293906153,1.0145621875428041,0.8343331347024371,37.25733596591766
all_crops,09_01,1 Sep,v26_no_field,635,0.01445242796556967,0.15039495673719716,1.0105612078812392,0.8299448522565335,37.17264978578652
all_crops,09_01,1 Sep,cropwise_asof,632,0.23467994958480476,0.042681713726119286,0.889044254534875,0.6830080012515384,28.959832137935326
all_crops,09_01,1 Sep,cropwise_final,632,0.26167253509276556,0.10803323378513918,0.8732253721279958,0.6644987996523868,27.19346866072457
wheat_combined,07_01,1 Jul,v26_full,495,0.3397452725877901,0.14441754479929025,1.0084465800470312,0.8185725707165447,32.63979422660909
wheat_combined,07_01,1 Jul,v26_no_field,495,0.26660050216674847,0.12314094733783765,1.0628389016000408,0.8652539509113455,34.712671678709086
wheat_combined,07_01,1 Jul,cropwise_asof,495,0.3397922226789982,0.022040329204236597,1.0084107245668128,0.7694779392281015,28.303065458079907
wheat_combined,07_01,1 Jul,cropwise_final,495,0.4874817127209867,0.1589436122814507,0.8884885202359976,0.6930023636381092,25.69922015646774
wheat_combined,08_01,1 Aug,v26_full,457,0.30618560205666157,0.1756478068733237,0.972349116569566,0.7938631041575799,33.82244574504627
wheat_combined,08_01,1 Aug,v26_no_field,457,0.26501843535388236,0.17201949371790792,1.0007804038568442,0.8260043498979287,35.877067920655236
wheat_combined,08_01,1 Aug,cropwise_asof,457,0.45549933484199456,0.1991672944007672,0.8613899039802765,0.6752121317107153,26.39273159637019
wheat_combined,08_01,1 Aug,cropwise_final,457,0.41287069734136816,0.15039928905894873,0.8944734368550444,0.6998851873999673,26.373572448883614
wheat_combined,09_01,1 Sep,v26_full,344,0.010047004472895082,0.14813961155116884,1.1081381854025116,0.9169438520407774,37.30303210052398
wheat_combined,09_01,1 Sep,v26_no_field,344,0.044415343518259265,0.16439571484480364,1.0887325752542734,0.9020982219978501,37.25507476792627
wheat_combined,09_01,1 Sep,cropwise_asof,344,0.22611819667802535,-0.012086687312459876,0.9797695791977644,0.7652192613742537,30.475353296517955
wheat_combined,09_01,1 Sep,cropwise_final,344,0.27525808701538546,0.07363449608944084,0.9481527793518333,0.7382168312080492,27.7086206107139
sunflower,07_01,1 Jul,v26_full,210,0.10112250459672811,0.11045883662816325,0.7160748751055018,0.5480076083383361,23.26740203005587
sunflower,07_01,1 Jul,v26_no_field,210,0.10217827391867629,0.1176289290333169,0.7156542215620453,0.5538153283030146,23.172359846249936
sunflower,07_01,1 Jul,cropwise_asof,210,-0.33505122857982883,0.002556882303235253,0.872684269285317,0.7096808102834636,25.657441045813133
sunflower,07_01,1 Jul,cropwise_final,210,0.16767649241002525,0.23185406520302698,0.6890555935955432,0.5211002460359999,19.814869208545733
sunflower,08_01,1 Aug,v26_full,210,0.16138481427070317,0.15976659887804956,0.6916550359660217,0.5353196295059288,22.24803125767282
sunflower,08_01,1 Aug,v26_no_field,210,0.14860076073674144,0.1601204310158284,0.6969069748743603,0.5424810708894819,22.14650513087127
sunflower,08_01,1 Aug,cropwise_asof,210,-0.04030573292410122,0.10804415759104125,0.7703510486819657,0.6141257398742204,23.733941070237233
sunflower,08_01,1 Aug,cropwise_final,210,0.16767649241002525,0.23185406520302698,0.6890555935955432,0.5211002460359999,19.814869208545733
sunflower,09_01,1 Sep,v26_full,210,0.08548003702829954,0.07411680559802825,0.722278649354905,0.5612477737095741,23.79180242224307
sunflower,09_01,1 Sep,v26_no_field,210,0.08076295470694206,0.08578010880924347,0.7241390055540494,0.5653747851344357,23.756316822472034
sunflower,09_01,1 Sep,cropwise_asof,210,0.17667903459844436,0.22196060907154247,0.6853189952868225,0.5352990491635434,20.968624827632276
sunflower,09_01,1 Sep,cropwise_final,210,0.16767649241002525,0.23185406520302698,0.6890555935955432,0.5211002460359999,19.814869208545733
barley,07_01,1 Jul,v26_full,84,0.05229018935995522,0.11559307223591142,1.3819083831454013,1.1714735028490633,42.10699758413538
barley,07_01,1 Jul,v26_no_field,84,0.10187443983278865,0.1434773560335365,1.3452719638676034,1.1441358478701797,40.763513880215385
barley,07_01,1 Jul,cropwise_asof,84,0.11338076567368904,0.12580223849882322,1.3366267164221057,1.110567191704244,42.20668603486277
barley,07_01,1 Jul,cropwise_final,84,0.37728240931451895,0.38067709823475804,1.120178235212667,0.8988817501386948,34.741710046853576
barley,08_01,1 Aug,v26_full,84,0.05732126740657473,0.17183919091641742,1.3782354547128775,1.1562293518675957,40.96083899788538
barley,08_01,1 Aug,v26_no_field,84,0.10988199633022044,0.1968047485438006,1.33926141226437,1.1299114654940763,39.53258409131434
barley,08_01,1 Aug,cropwise_asof,84,0.2424030103217525,0.24525877712819033,1.235551019418339,0.9864885286843658,40.14869000534649
barley,08_01,1 Aug,cropwise_final,84,0.37728240931451895,0.38067709823475804,1.120178235212667,0.8988817501386948,34.741710046853576
barley,09_01,1 Sep,v26_full,0,,,,,
barley,09_01,1 Sep,v26_no_field,0,,,,,
barley,09_01,1 Sep,cropwise_asof,0,,,,,
barley,09_01,1 Sep,cropwise_final,0,,,,,
