scenario,asof_tag,asof,model,n,r2,wcy_r2,rmse,mae,mape
all_crops,07_01,1 Jul,v27_s2,946,0.15457982712295237,0.14053174943773683,1.0952748213450647,0.9012859122153586,42.29083793001845
all_crops,07_01,1 Jul,v28_mgmt,946,0.14980049602898093,0.14631877869671084,1.0983663631833644,0.8978150177572721,41.89490357732325
all_crops,07_01,1 Jul,cropwise_asof,943,0.33255528533414025,0.025421147263643973,0.9724596139335823,0.7511887256088832,29.348474389656314
all_crops,08_01,1 Aug,v27_s2,904,-0.050528911189445136,0.040027733640401464,1.1752147235144048,0.965971529329856,46.975681339747545
all_crops,08_01,1 Aug,v28_mgmt,904,0.11923607422411098,0.1562708940788763,1.076076082482416,0.8778428197544571,41.44956456308852
all_crops,08_01,1 Aug,cropwise_asof,901,0.4404393554622791,0.18035642552657138,0.8570185955390738,0.6660603739410972,27.82924704654611
all_crops,09_01,1 Sep,v27_s2,63,0.14649225856184978,0.14868798952363238,0.7621198630162265,0.6114982333893987,22.12345052256466
all_crops,09_01,1 Sep,v28_mgmt,63,0.16821325279880084,0.17071545821220824,0.752359738256715,0.5922322071801861,21.93906332836494
all_crops,09_01,1 Sep,cropwise_asof,63,0.08287839301984345,0.06821005747710851,0.7900107684780793,0.6287034696170415,24.71349176773664
wheat_combined,07_01,1 Jul,v27_s2,490,0.3075584325661087,0.12412044038915382,1.0347897242325277,0.8352569519215162,33.80143813275045
wheat_combined,07_01,1 Jul,v28_mgmt,490,0.21147073981431486,0.10777368779744012,1.1042551890032397,0.9056706629865041,37.167831781590934
wheat_combined,07_01,1 Jul,cropwise_asof,490,0.33794670857346665,0.01425528504580642,1.0118287529380674,0.7721074981974887,28.36706434139748
wheat_combined,08_01,1 Aug,v27_s2,456,0.1941724029931059,0.15266650350494348,1.0473840131489685,0.8765081790736953,38.4951909534391
wheat_combined,08_01,1 Aug,v28_mgmt,456,0.29909507668259194,0.14209553038223255,0.9768197407214937,0.8043327712990087,33.76128174419256
wheat_combined,08_01,1 Aug,cropwise_asof,456,0.45384186660975134,0.19761086992246701,0.8622715859935786,0.6762074244980422,26.439534365737778
sunflower,07_01,1 Jul,v27_s2,210,0.032862322666660115,0.0770684335382179,0.7427665435041252,0.5723139257371955,24.070931106505153
sunflower,07_01,1 Jul,v28_mgmt,210,0.07468253531437963,0.10593498154919834,0.7265300164914891,0.5571975885464422,23.972013382368143
sunflower,07_01,1 Jul,cropwise_asof,210,-0.33505122857982883,0.002556882303235253,0.872684269285317,0.7096808102834636,25.657441045813133
sunflower,08_01,1 Aug,v27_s2,209,0.17863128567839814,0.14715064235886066,0.6861064074754252,0.5263851671979122,22.60417489909373
sunflower,08_01,1 Aug,v28_mgmt,209,0.17987345495627116,0.14085474847290558,0.6855874062330387,0.5255390680499682,22.605726913803093
sunflower,08_01,1 Aug,cropwise_asof,209,-0.028757466644700802,0.11077731948160363,0.7678544349263006,0.6114107830117145,23.652661487707256
barley,07_01,1 Jul,v27_s2,83,0.08253977255870582,0.28856125178882763,1.3551717394002312,1.1485821132854612,39.37391831707695
barley,07_01,1 Jul,v28_mgmt,83,0.002530922382047107,0.252027549715651,1.4130269131979845,1.180355812338914,41.1615612750376
barley,07_01,1 Jul,cropwise_asof,83,0.10646529907099989,0.11596317247965915,1.3373849289152095,1.1086207640180878,42.43797466260793
barley,08_01,1 Aug,v27_s2,84,-0.0072737923889252265,0.16062333075994628,1.4246734483774182,1.1948086936275917,40.35997857189728
barley,08_01,1 Aug,v28_mgmt,84,-0.2307487712056051,0.1705709613905787,1.5748031275372134,1.3423308717816436,43.5515375106385
barley,08_01,1 Aug,cropwise_asof,84,0.2424030103217525,0.24525877712819033,1.235551019418339,0.9864885286843658,40.14869000534649
