scenario,asof_tag,asof_label,n_ml,n_all,ml_mape,ml_r2,ml_rmse,ml_a_mape,ml_a_rmse,ml_a_r2,cw_mape,cw_r2,cw_rmse
sunflower,07_01,1 Jul,25,25,25.245055868920492,-0.3828367946434277,0.6838496295946863,25.245055868920492,0.6838496295946863,-0.3828367946434277,31.708269836322962,-1.1110125903923742,0.8449296770287452
sunflower,08_01,1 Aug,25,25,22.02236483580328,-0.062064139451089906,0.599308621257509,22.02236483580328,0.599308621257509,-0.062064139451089906,26.257288863396234,-0.4872820056791931,0.709205041843858
sunflower,09_01,1 Sep,25,25,24.127141138581834,-0.2271587662217136,0.6442071336657853,24.127141138581834,0.6442071336657853,-0.2271587662217136,18.21458519522712,0.2641926845494955,0.498835328275463
wheat_combined,07_01,1 Jul,67,67,38.446596436772076,0.05011970856901904,1.102164807947981,38.446596436772076,1.102164807947981,0.05011970856901904,31.967262629919723,0.4070838576203921,0.8707805875479628
wheat_combined,08_01,1 Aug,67,67,39.841155625627636,0.0812439204340607,1.0839573997081933,39.841155625627636,1.0839573997081933,0.0812439204340607,32.73780288443596,0.4363858516722381,0.848990918715285
wheat_combined,09_01,1 Sep,67,67,41.31361921023598,0.013367976143612847,1.1232843425386834,41.31361921023598,1.1232843425386834,0.013367976143612847,33.787085193917285,0.41938534616056156,0.8617000096174864
wheat_winter,07_01,1 Jul,19,19,79.09332351227064,-0.09450535772678981,1.6894484243684558,79.09332351227064,1.6894484243684558,-0.09450535772678981,53.69499014032911,0.6273725913447157,0.985764991132404
wheat_winter,08_01,1 Aug,19,19,73.68275966098749,0.0631773227206407,1.5630205561609267,73.68275966098749,1.5630205561609267,0.0631773227206407,45.85120297681492,0.6751270343794258,0.9204342669263795
wheat_winter,09_01,1 Sep,19,19,76.72840227472322,-0.08615035508673596,1.682987794944513,76.72840227472322,1.682987794944513,-0.08615035508673596,45.85120297681492,0.6751270343794258,0.9204342669263795
all_crops,07_01,1 Jul,155,154,34.55795749364786,-0.24570759965060596,1.228258111944724,34.496647612842885,1.2222473991131433,-0.2416857628390079,33.478074104550956,-0.0045084626665563565,1.0993350403738946
all_crops,08_01,1 Aug,155,154,34.57816490674563,-0.11773215112948376,1.1634573185715684,34.590275906515956,1.16140682762296,-0.12114609243722119,34.14514329063533,-0.07336595867741891,1.1363894151933849
all_crops,09_01,1 Sep,155,154,35.893900626453664,-0.16228888581865486,1.186420457358218,35.849627351625166,1.18051799390113,-0.15834700544240587,33.32522832630724,-0.06059724336579553,1.1296099730636677
