,importance
ndvi_max_season,14.2839639356365
crop_id,8.130254049599651
ndvi_mid,7.176250257278097
ndvi_mean_season,6.612140665943613
ndvi_early,5.723516048371753
ndvi_late,4.9407309299157784
prev_crop_id,4.502982352451415
ndvi_sunflower_p1_mean,2.770812982494996
weather_gdd_season,2.754088219690128
weather_precip_sum_season,2.631027644539879
weather_precip_sum_early,2.609823280844435
field_soil_Mg,2.4625181937641214
weather_hot_days,2.408141595425775
field_soil_pH,2.300543056646367
ndvi_observations,2.2407721321797904
ndvi_wheat_p1_mean,2.0909995191573745
weather_temp_avg_season,2.024790688120541
ndvi_sunflower_p2_mean,1.9740396412927257
ndvi_sunflower_p1_max,1.8593069926800108
field_id,1.7371767907260611
wx_sunflower_p1_hot_days,1.698001744400667
field_soil_K,1.658137933777066
field_soil_P,1.5360873325236946
field_soil_OM,1.5270025338315525
ndvi_sunflower_p2_max,1.4761106380259645
field_soil_N,1.3608703632321177
ndvi_wheat_p2_mean,1.277790122887045
field_calculated_area,1.1277384665339023
wx_sunflower_p2_hot_days,1.1186460630979076
ndvi_wheat_p1_max,1.1053942666465058
field_tillable_area,1.0455281525189664
ndvi_wheat_p3_max,0.736257650830885
wx_wheat_p2_precip_sum,0.6378622386150684
wx_wheat_p1_precip_sum,0.5868997758215859
ndvi_sunflower_p3_max,0.4132806786801903
ndvi_sunflower_p3_mean,0.3399839899663796
wx_sunflower_p3_hot_days,0.3270691299389315
wx_wheat_p3_precip_sum,0.29150626537773916
ndvi_wheat_p3_mean,0.26402077851135153
ndvi_wheat_p2_max,0.23793289802346054
