,importance
ndvi_max_season,19.847075510745174
ndvi_mean_season,10.111489508918957
ndvi_early,9.833051916150545
ndvi_mid,8.752188021452627
ndvi_late,8.67394191072217
ndvi_sunflower_p2_mean,3.4733413731399025
ndvi_sunflower_p1_mean,3.2025077282488037
ndvi_sunflower_p2_max,3.0583599074357197
ndvi_observations,2.577861389824878
prev_crop_id,1.943763959335911
field_soil_Mg,1.8900660734233958
field_soil_pH,1.7801252918301396
ndvi_sunflower_p1_max,1.7781242213367556
weather_precip_sum_early,1.6733921145844253
wx_sunflower_p1_hot_days,1.6485159072442592
field_id,1.5639443604985535
wx_sunflower_p2_hot_days,1.5042710113446098
field_soil_N,1.4954831965525075
ndvi_sunflower_p3_mean,1.446852092851289
field_soil_OM,1.3799766795313517
weather_gdd_season,1.3646797894132738
field_soil_K,1.3630657177095151
weather_precip_sum_season,1.337120136819436
weather_hot_days,1.2913442525191674
weather_temp_avg_season,1.2892694562886133
field_soil_P,1.269355988840968
field_calculated_area,1.2640040390467977
ndvi_sunflower_p3_max,1.2182294861333247
wx_sunflower_p3_hot_days,1.1193666588125157
field_tillable_area,0.8492322992444131
wx_wheat_p3_precip_sum,0.0
wx_wheat_p2_precip_sum,0.0
ndvi_wheat_p1_max,0.0
ndvi_wheat_p2_max,0.0
ndvi_wheat_p3_max,0.0
ndvi_wheat_p1_mean,0.0
ndvi_wheat_p2_mean,0.0
ndvi_wheat_p3_mean,0.0
wx_wheat_p1_precip_sum,0.0
crop_id,0.0
