,importance
field_soil_K,8.732814653959226
ndvi_wheat_p1_mean,7.352148192100043
prev_crop_id,7.081650761617326
ndvi_mean_season,6.627661460896268
ndvi_max_season,6.1848363944713345
ndvi_mid,5.261854228824833
field_id,4.8553085923629755
ndvi_late,4.239211072690866
weather_precip_sum_early,3.8638780348768917
weather_hot_days,3.769599604787537
weather_precip_sum_season,3.5555756164717445
field_tillable_area,3.4000769680262932
field_soil_Mg,3.2191404039281792
field_soil_N,3.1439430082818953
ndvi_early,3.0318234635481036
ndvi_wheat_p3_mean,2.7778423389050593
ndvi_observations,2.4271018635270174
ndvi_wheat_p1_max,2.410922995563955
field_soil_P,2.236323610106536
field_soil_pH,2.1169933931185674
ndvi_wheat_p3_max,1.9057546676865766
weather_temp_avg_season,1.843496990773938
wx_wheat_p2_precip_sum,1.6810189575505476
wx_wheat_p1_precip_sum,1.4852798870573078
field_calculated_area,1.4761531942862012
field_soil_OM,1.4673267878575755
ndvi_wheat_p2_max,1.4040551607153882
weather_gdd_season,1.0233700282101745
ndvi_wheat_p2_mean,0.7348674842997229
wx_wheat_p3_precip_sum,0.689970183497916
ndvi_sunflower_p3_mean,0.0
ndvi_sunflower_p2_mean,0.0
ndvi_sunflower_p3_max,0.0
ndvi_sunflower_p1_mean,0.0
wx_sunflower_p2_hot_days,0.0
ndvi_sunflower_p2_max,0.0
ndvi_sunflower_p1_max,0.0
wx_sunflower_p3_hot_days,0.0
wx_sunflower_p1_hot_days,0.0
crop_id,0.0
