,nan_count
field_soil_CEC,441
field_soil_Ca_saturation,441
field_soil_N_NO3,436
weather_precip_sum_early,82
weather_temp_avg_season,82
weather_gdd_season,82
weather_hot_days,82
weather_precip_sum_season,82
field_soil_N,15
field_soil_OM,10
field_soil_P,10
field_soil_Mg,10
field_soil_pH,10
field_soil_K,10
prev_crop_id,6
ndvi_max_season,1
ndvi_early,1
ndvi_mean_season,1
ndvi_late,1
ndvi_mid,1
ndvi_observations,0
field_calculated_area,0
field_tillable_area,0
crop_id,0
field_lat,0
field_long,0
