,nan_count
field_soil_CEC,67
field_soil_Ca_saturation,67
field_soil_N_NO3,66
field_soil_N,5
field_soil_P,4
field_soil_K,4
field_soil_pH,4
field_soil_OM,4
field_soil_Mg,4
crop_id,0
ndvi_early,0
ndvi_max_season,0
ndvi_mean_season,0
ndvi_observations,0
field_long,0
field_lat,0
field_calculated_area,0
field_tillable_area,0
prev_crop_id,0
ndvi_mid,0
ndvi_late,0
weather_temp_avg_season,0
weather_gdd_season,0
weather_precip_sum_season,0
weather_precip_sum_early,0
weather_hot_days,0
