standard_name,year,low_rows,target_mean,ndvi_max_mean,cropwise_mean
wheat_spring,2020,32,0.44903125,0.54696875,1.722675
soya,2018,22,0.5476363636363636,0.6683636363636364,1.5266863636363637
sunflower,2020,22,0.5854090909090909,0.6160909090909091,1.7524363636363638
wheat_winter,2020,15,0.5167333333333333,0.5003333333333333,2.2468733333333333
pea,2024,12,0.3482572199404836,0.7710833333333333,3.170066666666667
lentil,2024,10,0.6421829861521293,0.7637,1.39713
oil_seed_raps_winter,2020,8,0.28462499999999996,0.515125,1.6127375
pea,2023,7,0.5570626559935504,0.6050000000000001,1.595
wheat_spring,2024,7,0.3869052606969427,0.7557142857142857,3.039942857142857
oil_seed_raps_spring,2017,6,0.6708333333333333,0.7023333333333334,1.6939333333333335
wheat_spring,2023,6,0.7163679056531813,0.5753333333333334,1.8884999999999998
oil_seed_raps_spring,2019,5,0.688,0.6978,1.6278199999999998
soya,2020,5,0.314,0.5115999999999999,1.42622
sunflower,2025,5,0.5936074733133008,0.6728,2.18736
wheat_spring,2025,5,0.5962559428938323,0.7093999999999999,2.6078200000000002
barley_spring,2024,4,0.8182526028704165,0.72025,2.504325
oil_seed_raps_winter,2018,4,0.91825,0.688,1.634875
sunflower,2019,4,0.805,0.7085,2.1431
wheat_winter,2023,4,0.8340505450618287,0.51225,2.1668250000000002
maize,2020,3,0.7476666666666666,0.526,4.1834
oil_seed_raps_spring,2020,3,0.6373333333333333,0.6256666666666667,1.4687999999999999
sunflower,2017,3,0.8133333333333334,0.698,2.118933333333333
sunflower,2018,3,0.7321553159053025,0.6686666666666667,2.21325
sunflower,2024,3,0.7766594835022476,0.7306666666666667,2.4836333333333336
wheat_spring,2017,3,0.8563333333333333,0.5756666666666667,1.7851666666666668
lentil,2023,2,0.700505451803735,0.649,1.2397999999999998
wheat_spring,2022,2,0.02029220779220775,0.7575000000000001,3.7178500000000003
barley_spring,2020,1,0.599,0.533,1.7167000000000001
buckwheat,2023,1,0.7123684210526315,0.644,
buckwheat,2024,1,0.6639130434782609,0.666,
medicago,2025,1,0.2302631578947368,0.705,
oil_seed_raps_spring,2018,1,0.8140000000000001,0.579,1.7044000000000001
oil_seed_raps_winter,2017,1,0.905,0.719,1.9184999999999999
oil_seed_raps_winter,2019,1,0.612,0.67,1.7510000000000001
pea,2025,1,0.9704878048780488,0.689,2.0519
rye_winter,2022,1,0.9057795275590552,0.663,2.041
soya,2017,1,0.917,0.749,1.7094999999999998
soya,2023,1,0.7297058823529411,0.577,1.1628
soya,2024,1,0.4971199999999999,0.79,2.6117999999999997
sunflower,2022,1,0.5820416540613007,0.677,
wheat_spring,2021,1,0.7253572509031374,0.729,
