scenario,feature,spearman,n
all,prev_crop_id,-0.095481426925315,177
all,field_tillable_area,-0.11669284459013603,180
all,field_soil_pH,-0.1265147715122335,174
all,field_soil_OM,0.05335041497262327,174
all,field_soil_P,0.03543255117852668,174
all,field_soil_K,-0.0005271768162026858,174
all,field_soil_N,-0.025940267306829377,171
all,field_soil_Mg,0.08783998483777615,174
all,ndvi_n_obs_asof,0.24109628557636142,180
all,ndvi_mean_asof,0.46521356446228507,180
all,ndvi_max_asof,0.5398772127466414,180
all,ndvi_min_asof,-0.06716834201261541,180
all,ndvi_std_asof,0.4249704079334813,180
all,ndvi_p25_asof,0.00802355262826456,180
all,ndvi_p75_asof,0.5512465887286306,180
all,ndvi_slope_asof,0.19984330735808215,180
all,ndvi_last_value_asof,0.008435278265642235,180
all,ndvi_integral_asof,0.5267601953179832,180
all,ndvi_peak_doy_asof,-0.2901187184451572,180
all,ndvi_amplitude_asof,0.4803756597929488,180
all,ndvi_above_05_days_asof,0.5178585136212147,180
all,years_since_sunflower,0.09988583705645952,180
all,years_since_wheat,-0.07453379162269232,180
all,wx_temp_mean_to_asof,-0.14454334975350674,180
all,wx_temp_max_to_asof,-0.23161727939941368,180
all,wx_precip_sum_to_asof,0.4583000217938913,180
all,wx_srad_sum_to_asof,-0.24957500630874457,180
all,wx_vpd_max_to_asof,-0.3669312811386642,180
all,wx_vpd_mean_to_asof,-0.32931901450353646,180
all,wx_vpd_days_high_to_asof,-0.31929203832553005,180
all,wx_et0_sum_to_asof,-0.35479600651936843,180
all,wx_water_balance_to_asof,0.46678754828231617,180
all,wx_gdd_sunflower_to_asof,-0.18085445270781592,180
all,wx_hot_d30_to_asof,0.046056465959552616,180
all,wx_dry_days_to_asof,-0.3593889337419512,180
all,wx_drought_run_to_asof,-0.2893651341301104,180
all,wx_heat_run_to_asof,-0.1477169177343786,180
all,wx_apr_precip,0.2671325831320422,180
all,wx_apr_srad,0.02829058233974174,180
all,wx_apr_et0,-0.18803675708912393,180
all,wx_may_precip,0.48700770939040283,180
all,wx_may_temp_mean,-0.1952668886728967,180
all,wx_may_temp_max,0.019422038423311243,180
all,wx_may_srad,-0.4629017067055992,180
all,wx_may_et0,-0.3299609242853033,180
all,wx_may_vpd_max,-0.003826536673397206,180
all,wx_jun_precip,0.4066280660776081,180
all,wx_jun_temp_mean,0.10895080967802802,180
all,wx_jun_temp_max,0.18725079650913434,180
all,wx_jun_srad,0.012556320104720717,180
all,wx_jun_et0,-0.14208681094122547,180
all,wx_jun_vpd_max,-0.013177731821566766,180
all,wx_jun_hot_d30,0.21214490574927317,180
all,wx_jul_precip,0.2045217314819021,180
all,wx_jul_temp_mean,-0.0933462593666927,180
all,wx_jul_temp_max,-0.34558147873043127,180
all,wx_jul_srad,-0.1824562920193635,180
all,wx_jul_et0,-0.4338902773697632,180
all,wx_jul_vpd_max,-0.419940351754536,180
all,wx_jul_hot_d30,-0.2773929070150461,180
all,ndvi_anom_mean_asof,0.557931780574244,180
all,ndvi_anom_max_asof,0.4599376624635709,180
all,ndvi_anom_min_asof,0.28300255204452357,180
all,ndvi_anom_last_value_asof,0.16412808466241816,180
all,ndvi_anom_last30d_mean_asof,0.3905103725308032,180
all,ndvi_baseline_n_years,0.3653833028027621,180
all,sowing_date_valid,,180
all,days_after_sowing_asof,-0.13406706928661344,130
all,sowing_doy,0.09463652705101804,130
all,gdd_base_temp,,130
all,gdd_from_sowing_asof,-0.11173840501973033,130
all,wx_sow_precip_sum,0.19820361660346755,130
all,wx_sow_et0_sum,-0.24401535574388414,130
all,wx_sow_water_balance,0.39831205237621536,130
all,wx_sow_srad_sum,-0.1729609997036036,130
all,wx_sow_vpd_max,-0.3211754436266623,130
all,wx_sow_vpd_days_high,-0.40545433321072694,130
all,wx_sow_hot_d30,-0.2362823323457269,130
all,wx_sow_dry_days,-0.2505900461113996,130
all,wx_sow_drought_run,-0.3028689276988289,130
all,ndvi_sow_n_obs,-0.080942041683273,130
all,ndvi_sow_mean,0.41877512672765876,130
all,ndvi_sow_max,0.389228466634783,130
all,ndvi_sow_last,-0.06400495980407095,130
all,ndvi_sow_peak_das,-0.274212813483116,130
all,ndvi_at_das_30,0.3628518950958271,130
all,ndvi_at_das_45,0.3359120126401662,130
all,ndvi_at_das_60,0.22659319090251012,128
all,ndvi_at_das_75,-0.05500307222816631,101
all,ndvi_at_das_90,0.3940615835777126,32
all,ndvi_at_das_120,0.6923076923076923,26
all,ndvi_sow_peak_gdd,-0.49700048478439324,130
all,ndvi_at_sow_gdd_200,0.3580585780471316,130
all,ndvi_at_sow_gdd_400,0.4181551520728758,130
all,ndvi_at_sow_gdd_600,0.49295905436296417,130
all,ndvi_at_sow_gdd_800,0.35763740395210136,129
all,ndvi_at_sow_gdd_1000,0.003007504065518525,107
all,ndvi_at_sow_gdd_1200,0.434065934065934,27
all,ndvi_growth_per_100gdd_from_sow,0.2644314805113865,130
all,scout_n_reports_asof,0.3122562548315043,180
all,scout_has_report_asof,,180
all,soil_sample_n_asof,-0.01889599998541417,180
all,soil_sample_has_asof,,180
all,soil_sample_days_since_latest,0.4097842515303458,132
all,soil_sample_n_tests_asof,,132
all,soil_sample_latest_soil_K,0.041770752823508964,132
all,soil_sample_mean_soil_K,0.020944105521204518,132
all,soil_sample_latest_soil_P,0.1753129171649678,132
all,soil_sample_mean_soil_P,0.17567573255223692,132
all,soil_sample_latest_soil_S,0.06991896243725142,132
all,soil_sample_mean_soil_S,0.027738410938913313,132
all,soil_sample_latest_soil_Cu,0.12231107762898724,132
all,soil_sample_mean_soil_Cu,0.09238530883139773,132
all,soil_sample_latest_soil_Fe,0.1735016769592702,132
all,soil_sample_mean_soil_Fe,0.20786623746278715,132
all,soil_sample_latest_soil_Mg,0.15264478130119521,132
all,soil_sample_mean_soil_Mg,0.13796147566846428,132
all,soil_sample_latest_soil_Mn,0.05533594426947884,132
all,soil_sample_mean_soil_Mn,0.1089385827558564,132
all,soil_sample_latest_soil_Mo,-0.06680994439651733,132
all,soil_sample_mean_soil_Mo,-0.00966581203812142,132
all,soil_sample_latest_soil_Zn,0.23988184074841898,132
all,soil_sample_mean_soil_Zn,0.24585389833067509,132
all,soil_sample_latest_soil_pH,0.033560476716200424,132
all,soil_sample_mean_soil_pH,-0.0027981194460793076,132
