feature,importance,scenario,asof_tag
crop_id,0.0,sunflower,08_01
prev_crop_id,1.495510520187175,sunflower,08_01
field_tillable_area,0.604460106112604,sunflower,08_01
field_soil_pH,1.3574702893166137,sunflower,08_01
field_soil_OM,0.1943812991228148,sunflower,08_01
field_soil_P,2.218613844634273,sunflower,08_01
field_soil_K,1.8726289649488372,sunflower,08_01
field_soil_N,0.5767459593679224,sunflower,08_01
field_soil_Mg,1.2000127628404342,sunflower,08_01
ndvi_n_obs_asof,1.3629674177939095,sunflower,08_01
ndvi_mean_asof,1.1296345040929552,sunflower,08_01
ndvi_max_asof,1.6929103935587417,sunflower,08_01
ndvi_min_asof,1.3533261553478952,sunflower,08_01
ndvi_std_asof,0.951482368811618,sunflower,08_01
ndvi_p25_asof,1.734553966649324,sunflower,08_01
ndvi_p75_asof,1.0719503040907463,sunflower,08_01
ndvi_slope_asof,0.9809034392332246,sunflower,08_01
ndvi_last_value_asof,0.748946502829072,sunflower,08_01
ndvi_integral_asof,2.8171493351498693,sunflower,08_01
ndvi_peak_doy_asof,1.160234892462519,sunflower,08_01
ndvi_amplitude_asof,1.0388469526920463,sunflower,08_01
ndvi_above_05_days_asof,2.5170559394167333,sunflower,08_01
years_since_sunflower,0.01255706929060183,sunflower,08_01
years_since_wheat,0.0002925241802285703,sunflower,08_01
rotation_pair,1.9010809568700453,sunflower,08_01
wx_temp_mean_to_asof,0.4960408947957207,sunflower,08_01
wx_temp_max_to_asof,0.11475301164380211,sunflower,08_01
wx_precip_sum_to_asof,3.321934506623447,sunflower,08_01
wx_srad_sum_to_asof,0.1425365799329342,sunflower,08_01
wx_vpd_max_to_asof,0.40483463882683685,sunflower,08_01
wx_vpd_mean_to_asof,0.004333135092838765,sunflower,08_01
wx_vpd_days_high_to_asof,0.13527932713374416,sunflower,08_01
wx_et0_sum_to_asof,0.5967625801850507,sunflower,08_01
wx_water_balance_to_asof,0.7438605081025317,sunflower,08_01
wx_gdd_sunflower_to_asof,0.04768316145133794,sunflower,08_01
wx_hot_d30_to_asof,0.04538290156952495,sunflower,08_01
wx_dry_days_to_asof,0.8175428934053546,sunflower,08_01
wx_drought_run_to_asof,0.006023079270394152,sunflower,08_01
wx_heat_run_to_asof,0.6514463539953426,sunflower,08_01
wx_apr_precip,0.7363259206875291,sunflower,08_01
wx_apr_srad,0.9057312146716872,sunflower,08_01
wx_apr_et0,1.1950359277941744,sunflower,08_01
wx_may_precip,0.010561881750679762,sunflower,08_01
wx_may_temp_mean,0.31119275301915883,sunflower,08_01
wx_may_temp_max,0.19486440074389777,sunflower,08_01
wx_may_srad,0.5603733618787581,sunflower,08_01
wx_may_et0,0.6204792723652145,sunflower,08_01
wx_may_vpd_max,0.0065863446211668775,sunflower,08_01
wx_jun_precip,0.8764193576252873,sunflower,08_01
wx_jun_temp_mean,0.7144970417755137,sunflower,08_01
wx_jun_temp_max,0.0006763186297616901,sunflower,08_01
wx_jun_srad,0.13480784977197394,sunflower,08_01
wx_jun_et0,2.494576442962546,sunflower,08_01
wx_jun_vpd_max,0.34202298380134477,sunflower,08_01
wx_jun_hot_d30,0.6634387987911742,sunflower,08_01
wx_jul_precip,0.5158765976871975,sunflower,08_01
wx_jul_temp_mean,0.11555916894764333,sunflower,08_01
wx_jul_temp_max,0.056889294256578515,sunflower,08_01
wx_jul_srad,0.7054056745750503,sunflower,08_01
wx_jul_et0,1.9870718513968122,sunflower,08_01
wx_jul_vpd_max,0.0017882224050275132,sunflower,08_01
wx_jul_hot_d30,0.6735898554136573,sunflower,08_01
ndvi_anom_mean_asof,0.8570570700142304,sunflower,08_01
ndvi_anom_max_asof,4.412578626414173,sunflower,08_01
ndvi_anom_min_asof,2.819244982233085,sunflower,08_01
ndvi_anom_last_value_asof,9.550801501104592,sunflower,08_01
ndvi_anom_last30d_mean_asof,0.39891215042987466,sunflower,08_01
ndvi_baseline_n_years,0.7200864917115466,sunflower,08_01
sowing_date_valid,0.0,sunflower,08_01
days_after_sowing_asof,0.27771432481989455,sunflower,08_01
sowing_doy,0.5816277569171053,sunflower,08_01
gdd_base_temp,0.0,sunflower,08_01
gdd_from_sowing_asof,0.399087052722893,sunflower,08_01
wx_sow_precip_sum,0.014590438322911473,sunflower,08_01
wx_sow_et0_sum,0.37251360558441005,sunflower,08_01
wx_sow_water_balance,0.5722419807146635,sunflower,08_01
wx_sow_srad_sum,0.0,sunflower,08_01
wx_sow_vpd_max,0.6601188395918192,sunflower,08_01
wx_sow_vpd_days_high,0.2512543094660773,sunflower,08_01
wx_sow_hot_d30,0.0,sunflower,08_01
wx_sow_dry_days,0.18561339602085153,sunflower,08_01
wx_sow_drought_run,0.1647505894263544,sunflower,08_01
ndvi_sow_n_obs,0.03715840165889796,sunflower,08_01
ndvi_sow_mean,0.11395097933867715,sunflower,08_01
ndvi_sow_max,0.5690592060644379,sunflower,08_01
ndvi_sow_last,0.12167836977102628,sunflower,08_01
ndvi_sow_peak_das,0.1730656997667895,sunflower,08_01
ndvi_at_das_30,0.3440134549194269,sunflower,08_01
ndvi_at_das_45,0.23731953493334276,sunflower,08_01
ndvi_at_das_60,0.5809698127178695,sunflower,08_01
ndvi_at_das_75,0.23997442139825684,sunflower,08_01
ndvi_at_das_90,0.0,sunflower,08_01
ndvi_at_das_120,0.0,sunflower,08_01
ndvi_sow_peak_gdd,0.20686503625221483,sunflower,08_01
ndvi_at_sow_gdd_200,0.5779323572096305,sunflower,08_01
ndvi_at_sow_gdd_400,1.900954168631658,sunflower,08_01
ndvi_at_sow_gdd_600,0.3616583117407967,sunflower,08_01
ndvi_at_sow_gdd_800,0.005151128364239442,sunflower,08_01
ndvi_at_sow_gdd_1000,0.0874679372645366,sunflower,08_01
ndvi_at_sow_gdd_1200,0.0,sunflower,08_01
ndvi_growth_per_100gdd_from_sow,0.015710462622793915,sunflower,08_01
scout_n_reports_asof,0.35257621674676987,sunflower,08_01
scout_has_report_asof,0.0,sunflower,08_01
soil_sample_n_asof,0.38294560089456187,sunflower,08_01
soil_sample_has_asof,0.11083139887577234,sunflower,08_01
soil_sample_days_since_latest,0.12587603355485144,sunflower,08_01
soil_sample_n_tests_asof,1.2633079184471745,sunflower,08_01
soil_sample_latest_soil_K,0.5007668955466787,sunflower,08_01
soil_sample_mean_soil_K,0.703145019314159,sunflower,08_01
soil_sample_latest_soil_P,0.47787767077342075,sunflower,08_01
soil_sample_mean_soil_P,0.24466735783107632,sunflower,08_01
soil_sample_latest_soil_S,0.21335648440025193,sunflower,08_01
soil_sample_mean_soil_S,0.37785044673852375,sunflower,08_01
soil_sample_latest_soil_Cu,1.4509418069273707,sunflower,08_01
soil_sample_mean_soil_Cu,1.0130408708561855,sunflower,08_01
soil_sample_latest_soil_Fe,0.902965572925735,sunflower,08_01
soil_sample_mean_soil_Fe,0.13088243774482572,sunflower,08_01
soil_sample_latest_soil_Mg,0.024808441540761065,sunflower,08_01
soil_sample_mean_soil_Mg,0.16703803138989423,sunflower,08_01
soil_sample_latest_soil_Mn,0.8354234484416999,sunflower,08_01
soil_sample_mean_soil_Mn,0.9596945320853008,sunflower,08_01
soil_sample_latest_soil_Mo,0.025592486687814914,sunflower,08_01
soil_sample_mean_soil_Mo,0.4986092760868281,sunflower,08_01
soil_sample_latest_soil_Zn,0.42730471691167493,sunflower,08_01
soil_sample_mean_soil_Zn,0.0,sunflower,08_01
soil_sample_latest_soil_pH,0.38179736760916155,sunflower,08_01
soil_sample_mean_soil_pH,1.1184541311066611,sunflower,08_01
soil_sample_latest_soil_N_NO3,0.44526499463514074,sunflower,08_01
soil_sample_mean_soil_N_NO3,0.38467792803747564,sunflower,08_01
soil_sample_latest_soil_organic_matter,0.2961909927884008,sunflower,08_01
soil_sample_mean_soil_organic_matter,1.0539190384487167,sunflower,08_01
soil_sample_latest_soil_B,0.0,sunflower,08_01
soil_sample_mean_soil_B,0.006591590011519287,sunflower,08_01
soil_sample_latest_soil_N,0.07394570111656266,sunflower,08_01
soil_sample_mean_soil_N,0.007016709427680269,sunflower,08_01
scout_last_report_doy,0.5920740431303122,sunflower,08_01
scout_days_since_last_report,1.2009162792690606,sunflower,08_01
scout_growth_stage_max,0.5693157645513556,sunflower,08_01
scout_growth_stage_last,0.33740009264474674,sunflower,08_01
scout_risk_yield_decreasing_n,0.0,sunflower,08_01
scout_risk_yield_decreasing_any,0.0,sunflower,08_01
scout_condition_score_min,0.7356838498465302,sunflower,08_01
scout_condition_score_last,0.08284792416809726,sunflower,08_01
scout_condition_bad_n,0.0,sunflower,08_01
scout_condition_not_good_n,0.6573766008776379,sunflower,08_01
scout_threat_reports_n,0.7539874672520104,sunflower,08_01
scout_threat_total_n,0.5100303979375473,sunflower,08_01
scout_threat_disease_any,0.1710670817893179,sunflower,08_01
scout_threat_insect_any,0.0,sunflower,08_01
scout_threat_weed_any,0.2749164058807323,sunflower,08_01
field_id,0.0,sunflower,08_01
crop_id,0.0,wheat_combined,08_01
prev_crop_id,0.07344162507726917,wheat_combined,08_01
field_tillable_area,0.0,wheat_combined,08_01
field_soil_pH,0.17225616106336455,wheat_combined,08_01
field_soil_OM,0.00017407417668353564,wheat_combined,08_01
field_soil_P,0.2667471724696165,wheat_combined,08_01
field_soil_K,0.17241833405185963,wheat_combined,08_01
field_soil_N,0.0,wheat_combined,08_01
field_soil_Mg,0.6794571589324706,wheat_combined,08_01
ndvi_n_obs_asof,0.3492713493274997,wheat_combined,08_01
ndvi_mean_asof,3.3966969243300356,wheat_combined,08_01
ndvi_max_asof,4.533672289534507,wheat_combined,08_01
ndvi_min_asof,0.4225283953696844,wheat_combined,08_01
ndvi_std_asof,8.05623710054451,wheat_combined,08_01
ndvi_p25_asof,0.4990066628583525,wheat_combined,08_01
ndvi_p75_asof,9.099877807221917,wheat_combined,08_01
ndvi_slope_asof,0.2089466930697433,wheat_combined,08_01
ndvi_last_value_asof,0.00019620789112786489,wheat_combined,08_01
ndvi_integral_asof,2.137933083875354,wheat_combined,08_01
ndvi_peak_doy_asof,2.355106789254749,wheat_combined,08_01
ndvi_amplitude_asof,2.580190416646506,wheat_combined,08_01
ndvi_above_05_days_asof,4.456819891485918,wheat_combined,08_01
years_since_sunflower,0.13089614881235667,wheat_combined,08_01
years_since_wheat,0.0,wheat_combined,08_01
rotation_pair,2.2947305087570067,wheat_combined,08_01
wx_temp_mean_to_asof,0.0,wheat_combined,08_01
wx_temp_max_to_asof,0.7225768407984791,wheat_combined,08_01
wx_precip_sum_to_asof,5.359163581931299,wheat_combined,08_01
wx_srad_sum_to_asof,1.1912451295628086,wheat_combined,08_01
wx_vpd_max_to_asof,0.0,wheat_combined,08_01
wx_vpd_mean_to_asof,0.2059476890128655,wheat_combined,08_01
wx_vpd_days_high_to_asof,0.4422768955169437,wheat_combined,08_01
wx_et0_sum_to_asof,0.9716821269095256,wheat_combined,08_01
wx_water_balance_to_asof,4.973915359215879,wheat_combined,08_01
wx_gdd_sunflower_to_asof,0.0,wheat_combined,08_01
wx_hot_d30_to_asof,0.02549285456439607,wheat_combined,08_01
wx_dry_days_to_asof,0.6804969162321706,wheat_combined,08_01
wx_drought_run_to_asof,0.10803734984446949,wheat_combined,08_01
wx_heat_run_to_asof,0.0,wheat_combined,08_01
wx_apr_precip,0.39938209328648827,wheat_combined,08_01
wx_apr_srad,0.8113336186552823,wheat_combined,08_01
wx_apr_et0,1.5685583758359865,wheat_combined,08_01
wx_may_precip,0.8496787795319303,wheat_combined,08_01
wx_may_temp_mean,0.6897730393044293,wheat_combined,08_01
wx_may_temp_max,0.0,wheat_combined,08_01
wx_may_srad,3.021560333913212,wheat_combined,08_01
wx_may_et0,2.4947849791526,wheat_combined,08_01
wx_may_vpd_max,0.7485096010201037,wheat_combined,08_01
wx_jun_precip,3.520620023903687,wheat_combined,08_01
wx_jun_temp_mean,0.0,wheat_combined,08_01
wx_jun_temp_max,0.10846761377687957,wheat_combined,08_01
wx_jun_srad,0.0,wheat_combined,08_01
wx_jun_et0,0.0,wheat_combined,08_01
wx_jun_vpd_max,0.11920933357987952,wheat_combined,08_01
wx_jun_hot_d30,0.0,wheat_combined,08_01
wx_jul_precip,0.45277962113610193,wheat_combined,08_01
wx_jul_temp_mean,0.05435167236967923,wheat_combined,08_01
wx_jul_temp_max,1.9388917296171617,wheat_combined,08_01
wx_jul_srad,0.14874821296869184,wheat_combined,08_01
wx_jul_et0,0.3467005806825744,wheat_combined,08_01
wx_jul_vpd_max,3.6253061140423863,wheat_combined,08_01
wx_jul_hot_d30,0.0,wheat_combined,08_01
ndvi_anom_mean_asof,5.702182784874651,wheat_combined,08_01
ndvi_anom_max_asof,0.9505964962434351,wheat_combined,08_01
ndvi_anom_min_asof,0.8861698605323426,wheat_combined,08_01
ndvi_anom_last_value_asof,0.2553608769478537,wheat_combined,08_01
ndvi_anom_last30d_mean_asof,1.5273738660207512,wheat_combined,08_01
ndvi_baseline_n_years,0.33833010221701293,wheat_combined,08_01
