scenario,asof_tag,year,n,n_ml,n_cw,target_mean,ml_mape,ml_mae,cw_mape,cw_mae
sunflower,07_01,2018,3,0,3,2.6163333333333334,,,28.330334117892825,0.8269000000000002
sunflower,07_01,2019,14,0,14,2.4838571428571425,,,16.910514712934326,0.4681357142857142
sunflower,07_01,2021,17,0,17,2.412310178406928,,,25.19159972920096,0.5929183905516527
sunflower,07_01,2022,3,3,3,1.9136235081974988,79.47624026401023,1.0838181035430712,119.8089581677128,1.6774229790969706
sunflower,07_01,2023,4,4,4,2.597954778050645,9.108110473427768,0.24252358529583073,32.01013351263957,0.8344297780506449
sunflower,07_01,2024,10,10,10,2.9223278808965927,20.419265427521868,0.6109120006257178,18.026132464072624,0.5266883333852799
sunflower,07_01,2025,8,8,8,2.9973629437237888,19.28362971082268,0.5902560163290798,15.622251589206398,0.4735153326679294
sunflower,08_01,2018,3,0,3,2.6163333333333334,,,33.469789741562444,0.8492333333333334
sunflower,08_01,2019,14,0,14,2.4838571428571425,,,21.859747274395588,0.5685928571428569
sunflower,08_01,2021,17,0,17,2.412310178406928,,,22.19769784405364,0.4737114483416511
sunflower,08_01,2022,3,3,3,1.9136235081974988,79.5214411543381,1.0809655307617099,87.62379852162802,1.179589645763637
sunflower,08_01,2023,4,4,4,2.597954778050645,9.137746288575306,0.24348499412042302,20.812631289055872,0.5425047780506448
sunflower,08_01,2024,10,10,10,2.9223278808965927,19.920534399806915,0.5893013237757172,14.787088174260997,0.39150684614122644
sunflower,08_01,2025,8,8,8,2.9973629437237888,20.190027652552867,0.6180513875016809,20.304927390148546,0.5876136434787401
sunflower,09_01,2018,3,0,3,2.6163333333333334,,,19.90421837946014,0.5687666666666668
sunflower,09_01,2019,14,0,14,2.4838571428571425,,,26.903896481963095,0.667242857142857
sunflower,09_01,2021,17,0,17,2.412310178406928,,,23.433825559227824,0.4797942753185956
sunflower,09_01,2022,3,3,3,1.9136235081974988,91.12029616853468,1.2044880699453462,56.44627521474076,0.742989645763637
sunflower,09_01,2023,4,4,4,2.597954778050645,9.088668289970673,0.24182994645149247,10.544803387564956,0.2805547780506449
