field_id,year,crop_id,productivity,harvested_weight,standard_name,field_name,tillable_area,physical_t_ha,abnormally_low,abnormally_high
197,2021,3.0,25.965868,867.26,barley_spring,Казачий увал,343.0,2.5284548104956266,False,False
195,2021,3.0,20.222764,248.74,barley_spring,Коновалиха 1,123.0,2.022276422764228,False,False
207,2021,3.0,35.541818,390.96,barley_spring,Александров ключ,110.91,3.525020286718961,False,False
208,2021,40.0,28.434021,275.81,sunflower,Карелкино,130.0,2.1216153846153847,False,False
209,2021,40.0,22.579538,684.16,sunflower,Козлов Увал левый,301.65,2.268059008785016,False,False
210,2021,40.0,24.023026,365.15,sunflower,Козлов увал правый,247.0,1.4783400809716598,False,False
211,2021,40.0,21.389247,198.92,sunflower,Козлов ув.пр(низ) 05-080-025-208,93.0,2.1389247311827955,False,False
212,2021,40.0,36.392126,462.18,sunflower,Костенькина стрелка,136.0,3.3983823529411765,False,False
213,2021,43.0,13.155714,18.418,wheat_spring,Лесополосы (Козлов увал левый) 05-080-025-182,14.0,1.3155714285714286,False,False
214,2021,43.0,15.857778,14.272,wheat_spring,Лесополосы (Козлов увал правый) 05-080-025-208,9.0,1.5857777777777777,False,False
215,2021,40.0,29.865823,235.94,sunflower,Лоскутиха,79.0,2.9865822784810128,False,False
216,2021,40.0,29.259459,108.26,sunflower,Никитушкин,37.0,2.925945945945946,False,False
217,2021,40.0,26.894762,1129.58,sunflower,Овчинников увал,408.0,2.768578431372549,False,False
218,2021,40.0,25.95625,83.06,sunflower,Палатьи,39.0,2.12974358974359,False,False
219,2021,40.0,28.189524,591.98,sunflower,Подхозный увал 1,210.0,2.818952380952381,False,False
220,2021,40.0,20.264,50.66,sunflower,Сапог,25.0,2.0263999999999998,False,False
221,2021,40.0,17.475,13.98,sunflower,Сметанина пасека (низ огород) 05-080-025-120,8.0,1.7475,False,False
222,2021,40.0,29.396774,182.26,sunflower,Соколки 1,62.0,2.9396774193548385,False,False
223,2021,40.0,28.625714,200.38,sunflower,Соколки 2,70.0,2.8625714285714285,False,False
