scenario,asof_tag,test_year,n_train,n_train_years,n_test,test_target_mean,train_target_mean,test_target_std,train_target_std
sunflower,07_01,2018,0,0,3,2.6163333333333334,,0.8780047456211917,
sunflower,07_01,2019,3,1,14,2.4838571428571425,2.6163333333333334,0.7354397802197473,0.8780047456211917
sunflower,07_01,2021,17,2,17,2.412310178406928,2.507235294117647,0.5292988405493854,0.7338458224834904
sunflower,07_01,2022,34,3,3,1.9136235081974988,2.459772736262287,1.18800159453146,0.6318703086645905
sunflower,07_01,2023,37,4,4,2.597954778050645,2.415490366419196,0.2153115751556359,0.68354795489169
sunflower,07_01,2024,41,5,10,2.9223278808965927,2.433291772432021,0.46415348793526673,0.6534489041971204
sunflower,07_01,2025,51,6,8,2.9973629437237888,2.5291812054642895,0.2903166266823228,0.6471691303084679
sunflower,08_01,2018,0,0,3,2.6163333333333334,,0.8780047456211917,
sunflower,08_01,2019,3,1,14,2.4838571428571425,2.6163333333333334,0.7354397802197473,0.8780047456211917
sunflower,08_01,2021,17,2,17,2.412310178406928,2.507235294117647,0.5292988405493854,0.7338458224834904
sunflower,08_01,2022,34,3,3,1.9136235081974988,2.459772736262287,1.18800159453146,0.6318703086645905
sunflower,08_01,2023,37,4,4,2.597954778050645,2.415490366419196,0.2153115751556359,0.68354795489169
sunflower,08_01,2024,41,5,10,2.9223278808965927,2.433291772432021,0.46415348793526673,0.6534489041971204
sunflower,08_01,2025,51,6,8,2.9973629437237888,2.5291812054642895,0.2903166266823228,0.6471691303084679
sunflower,09_01,2018,0,0,3,2.6163333333333334,,0.8780047456211917,
sunflower,09_01,2019,3,1,14,2.4838571428571425,2.6163333333333334,0.7354397802197473,0.8780047456211917
sunflower,09_01,2021,17,2,17,2.412310178406928,2.507235294117647,0.5292988405493854,0.7338458224834904
sunflower,09_01,2022,34,3,3,1.9136235081974988,2.459772736262287,1.18800159453146,0.6318703086645905
sunflower,09_01,2023,37,4,4,2.597954778050645,2.415490366419196,0.2153115751556359,0.68354795489169
sunflower,09_01,2024,41,5,10,2.9223278808965927,2.433291772432021,0.46415348793526673,0.6534489041971204
sunflower,09_01,2025,51,6,8,2.9973629437237888,2.5291812054642895,0.2903166266823228,0.6471691303084679
wheat_combined,07_01,2019,0,0,4,3.9475,,0.5370937224234397,
wheat_combined,07_01,2020,4,1,19,0.8161052631578948,3.9475,0.8079298577047145,0.5370937224234397
wheat_combined,07_01,2021,23,2,10,2.9011168621396424,1.360695652173913,1.1700282657688041,1.430450387903392
wheat_combined,07_01,2022,33,3,23,2.7222242258797276,1.8274899582241342,0.7753727698137444,1.519407930511706
wheat_combined,07_01,2023,56,4,10,1.7122344553445346,2.1949701038683957,0.8645963393176517,1.3345205663599493
wheat_combined,07_01,2024,66,5,12,4.191540696863256,2.121828338940538,0.8409944683097956,1.2809670624001646
wheat_combined,07_01,2025,78,6,10,3.220576387311232,2.4402456247748026,0.7318230185123247,1.4321589064314844
wheat_combined,08_01,2019,0,0,4,3.9475,,0.5370937224234397,
wheat_combined,08_01,2020,4,1,19,0.8161052631578948,3.9475,0.8079298577047145,0.5370937224234397
wheat_combined,08_01,2021,23,2,10,2.9011168621396424,1.360695652173913,1.1700282657688041,1.430450387903392
wheat_combined,08_01,2022,33,3,23,2.7222242258797276,1.8274899582241342,0.7753727698137444,1.519407930511706
wheat_combined,08_01,2023,56,4,10,1.7122344553445346,2.1949701038683957,0.8645963393176517,1.3345205663599493
wheat_combined,08_01,2024,66,5,12,4.191540696863256,2.121828338940538,0.8409944683097956,1.2809670624001646
wheat_combined,08_01,2025,78,6,10,3.220576387311232,2.4402456247748026,0.7318230185123247,1.4321589064314844
wheat_combined,09_01,2019,0,0,4,3.9475,,0.5370937224234397,
wheat_combined,09_01,2020,4,1,19,0.8161052631578948,3.9475,0.8079298577047145,0.5370937224234397
wheat_combined,09_01,2021,23,2,10,2.9011168621396424,1.360695652173913,1.1700282657688041,1.430450387903392
wheat_combined,09_01,2022,33,3,23,2.7222242258797276,1.8274899582241342,0.7753727698137444,1.519407930511706
wheat_combined,09_01,2023,56,4,10,1.7122344553445346,2.1949701038683957,0.8645963393176517,1.3345205663599493
wheat_combined,09_01,2024,66,5,12,4.191540696863256,2.121828338940538,0.8409944683097956,1.2809670624001646
wheat_combined,09_01,2025,78,6,10,3.220576387311232,2.4402456247748026,0.7318230185123247,1.4321589064314844
all_crops,07_01,2018,0,0,8,2.160125,,1.1537725001675405,
all_crops,07_01,2019,8,1,21,2.602904761904762,2.160125,0.9995500440078977,1.1537725001675405
all_crops,07_01,2020,29,2,24,0.7197916666666666,2.480758620689655,0.7432175630422715,1.0425946909778374
all_crops,07_01,2021,53,3,30,2.6032064391431007,1.6833396226415092,0.8200721046297063,1.2699431686768845
all_crops,07_01,2022,83,4,26,2.6289241430702392,2.0158216045095543,0.8434296154411124,1.2075766797378307
all_crops,07_01,2023,109,5,23,2.2746206211887063,2.1620662467350393,0.9145104103864251,1.1579122398933763
all_crops,07_01,2024,132,6,23,3.5882394372051323,2.1816779937989357,0.9258402928788348,1.1169820682745357
all_crops,07_01,2025,155,7,25,2.878497782810581,2.3903935628205004,0.8816517518073425,1.1980812165203392
all_crops,08_01,2018,0,0,8,2.160125,,1.1537725001675405,
all_crops,08_01,2019,8,1,21,2.602904761904762,2.160125,0.9995500440078977,1.1537725001675405
all_crops,08_01,2020,29,2,24,0.7197916666666666,2.480758620689655,0.7432175630422715,1.0425946909778374
all_crops,08_01,2021,53,3,30,2.6032064391431007,1.6833396226415092,0.8200721046297063,1.2699431686768845
all_crops,08_01,2022,83,4,26,2.6289241430702392,2.0158216045095543,0.8434296154411124,1.2075766797378307
all_crops,08_01,2023,109,5,23,2.2746206211887063,2.1620662467350393,0.9145104103864251,1.1579122398933763
all_crops,08_01,2024,132,6,23,3.5882394372051323,2.1816779937989357,0.9258402928788348,1.1169820682745357
