field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
213,2020,wheat_spring,,5.78,,5.78,,,,15.964,1.5964,Пшеница яровая,0.5780000000000001,1.5964,,,wheat_spring,5.78,productivity_normalized,5.202,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
209,2020,maize,,5.78,,5.78,,,,28.142,2.8142,Кукуруза,0.5780000000000001,2.8142,,,maize,5.78,productivity_normalized,5.202,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
227,2020,wheat_winter,,5.65,,5.65,,,,22.098,2.2098,Пшеница озимая,0.5650000000000001,2.2098,,,wheat_winter,5.65,productivity_normalized,5.085,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
220,2020,wheat_spring,,5.13,,5.13,,,,17.675,1.7675,Пшеница яровая,0.513,1.7675,,,wheat_spring,5.13,productivity_normalized,4.617,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
208,2020,wheat_spring,,5.05,,5.05,,,,13.906,1.3906,Пшеница яровая,0.505,1.3906,,,wheat_spring,5.05,productivity_normalized,4.545,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
226,2020,wheat_spring,,5.02,,5.02,,,,15.046,1.5046,Пшеница яровая,0.502,1.5046,,,wheat_spring,5.02,productivity_normalized,4.518,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
207,2020,oil_seed_raps_spring,,4.38,,4.38,,,,11.702,1.1702,Рапс яровой,0.438,1.1702,,,oil_seed_raps_spring,4.38,productivity_normalized,3.9419999999999997,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
219,2020,wheat_spring,,4.25,,4.25,,,,11.434,1.1434,Пшеница яровая,0.425,1.1434,,,wheat_spring,4.25,productivity_normalized,3.825,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
221,2020,wheat_spring,,3.8,,3.8,,,,28.632,2.8632,Пшеница яровая,0.38,2.8632,,,wheat_spring,3.8,productivity_normalized,3.42,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
231,2020,oil_seed_raps_winter,,3.62,,3.62,,,,16.897,1.6896999999999998,Рапс озимый,0.362,1.6896999999999998,,,oil_seed_raps_winter,3.62,productivity_normalized,3.258,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
228,2018,maize,,3.312,,33.12,,,,64.855,6.4855,Кукуруза,3.312,6.4855,,,maize,3.312,productivity_normalized,3.1735,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
