field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
195,2000,sunflower,,,,,,,,,,,,,,,,,
195,2001,sunflower,,,,,,,,,,,,,,,,,
195,2002,sunflower,,,,,,,,,,,,,,,,,
195,2003,sunflower,,,,,,,,,,,,,,,,,
195,2004,sunflower,,,,,,,,,,,,,,,,,
195,2005,sunflower,,,,,,,,,,,,,,,,,
195,2006,sunflower,,,,,,,,,,,,,,,,,
195,2007,sunflower,,,,,,,,,,,,,,,,,
195,2008,sunflower,,,,,,,,,,,,,,,,,
195,2009,sunflower,,,,,,,,,,,,,,,,,
195,2010,sunflower,,,,,,,,17.763,1.7763000000000002,,,,,,,,
195,2011,sunflower,,,,,,,,16.394,1.6393999999999997,,,,,,,,
195,2012,sunflower,,,,,,,,20.692,2.0692,,,,,,,,
195,2013,sunflower,,,,,,,,19.425,1.9425000000000001,,,,,,,,
195,2014,sunflower,,,,,,,,27.474,2.7474,,,,,,,,
195,2015,sunflower,,,,,,,,8.484,0.8484,,,,,,,,
195,2016,sunflower,,,,,,,,23.569,2.3569,,,,,,,,
195,2017,sunflower,,,,,,,,16.511,1.6511,,,,,,,,
195,2018,sunflower,,,,,,,,29.441,2.9440999999999997,Подсолнечник,,2.9440999999999997,,,,,
195,2019,wheat_spring,,,,,,,,29.511,2.9511,Пшеница яровая,,2.9511,,,,,
195,2020,oil_seed_raps_spring,,,,,,,,14.514,1.4514,Рапс яровой,,1.4514,,,,,
195,2021,barley_spring,2.022276422764228,2.0222764,2.022276422764228,20.222764,,,,35.18,3.518,Ячмень яровой,2.0222764,3.518,,,barley_spring,2.022276422764228,physical_harvested_weight
195,2022,wheat_winter,2.1216260162601626,2.121626,2.1216260162601626,21.21626,,,,24.872,2.4872,Пшеница озимая,2.121626,2.4872,1.447265625,1.0,wheat_winter,2.1216260162601626,physical_harvested_weight
195,2023,wheat_winter,0.8904065040650406,0.8904064999999999,0.8904065040650406,8.904065,,,,18.031,1.8031,Пшеница озимая,0.8904064999999999,1.8031,3.16,4.0,wheat_winter,0.8904065040650406,physical_harvested_weight
195,2024,sunflower,2.7365853658536587,2.7365854,2.7365853658536587,27.365854,,,,33.274,3.3274,Подсолнечник,2.7365854,3.3274,3.04,2.0,sunflower,2.7365853658536587,physical_harvested_weight
195,2025,wheat_spring,2.7195121951219514,2.7195122,2.7195121951219514,27.195122,,,,28.708,2.8708,Пшеница яровая,2.7195122,2.8708,,,wheat_spring,2.7195121951219514,physical_harvested_weight
195,2026,barley_spring,,,,,,,,,,,,,,,,,
195,2027,wheat_spring,,,,,,,,,,,,,,,,,
195,2028,,,,,,,,,,,,,,,,,,
195,2029,,,,,,,,,,,,,,,,,,
195,2030,,,,,,,,,,,,,,,,,,
197,2000,sunflower,,,,,,,,,,,,,,,,,
197,2001,sunflower,,,,,,,,,,,,,,,,,
197,2002,sunflower,,,,,,,,,,,,,,,,,
197,2003,sunflower,,,,,,,,,,,,,,,,,
197,2004,sunflower,,,,,,,,,,,,,,,,,
197,2005,sunflower,,,,,,,,,,,,,,,,,
197,2006,sunflower,,,,,,,,,,,,,,,,,
197,2007,sunflower,,,,,,,,,,,,,,,,,
197,2008,sunflower,,,,,,,,,,,,,,,,,
197,2009,sunflower,,,,,,,,,,,,,,,,,
197,2010,sunflower,,,,,,,,22.141,2.2140999999999997,,,,,,,,
197,2011,sunflower,,,,,,,,21.288,2.1288,,,,,,,,
197,2012,sunflower,,,,,,,,15.663,1.5663,,,,,,,,
197,2013,sunflower,,,,,,,,16.961,1.6961,,,,,,,,
197,2014,sunflower,,,,,,,,22.187,2.2187,,,,,,,,
197,2015,sunflower,,,,,,,,20.006,2.0006,,,,,,,,
197,2016,sunflower,,,,,,,,24.004,2.4004000000000003,,,,,,,,
197,2017,sunflower,,,,,,,,18.136,1.8135999999999999,,,,,,,,
197,2018,sunflower,,,,,,,,30.602,3.0602,Подсолнечник,,3.0602,,,,,
197,2019,wheat_spring,,,,,,,,33.518,3.3518,Пшеница яровая,,3.3518,,,,,
197,2020,oil_seed_raps_spring,,,,,,,,15.651,1.5651,Рапс яровой,,1.5651,,,,,
197,2021,barley_spring,2.5284548104956266,2.5965868,2.5284548104956266,25.965868,,,,37.068,3.7068,Ячмень яровой,2.5965868,3.7068,,,barley_spring,2.5284548104956266,physical_harvested_weight
