Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Лесополосы (Козлов увал левый) 05-080-025-182,ВКО,2020,Пшеница яровая,5.78,15.964,True,лесополосы козлов увал левый 05 080 025 182,213,Лесополосы (Козлов увал левый) 05-080-025-182,50.39439495003087,82.4009559934276,14.0,0.5780000000000001,1.5964,wheat_spring,5.78,productivity_normalized,-5.202,5.202
Козлов Увал левый,ВКО,2020,Кукуруза,5.78,28.142,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,0.5780000000000001,2.8142,maize,5.78,productivity_normalized,-5.202,5.202
Большая Семёниха СК,ВКО,2020,Пшеница озимая,5.65,22.098,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,0.5650000000000001,2.2098,wheat_winter,5.65,productivity_normalized,-5.085,5.085
Сапог,ВКО,2020,Пшеница яровая,5.13,17.675,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,0.513,1.7675,wheat_spring,5.13,productivity_normalized,-4.617,4.617
Карелкино,ВКО,2020,Пшеница яровая,5.05,13.906,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,0.505,1.3906,wheat_spring,5.05,productivity_normalized,-4.545,4.545
Штаны,ВКО,2020,Пшеница яровая,5.02,15.046,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,0.502,1.5046,wheat_spring,5.02,productivity_normalized,-4.518,4.518
Александров ключ,ВКО,2020,Рапс яровой,4.38,11.702,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,0.438,1.1702,oil_seed_raps_spring,4.38,productivity_normalized,-3.9419999999999997,3.9419999999999997
Подхозный увал 1,ВКО,2020,Пшеница яровая,4.25,11.434,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,0.425,1.1434,wheat_spring,4.25,productivity_normalized,-3.825,3.825
Сметанина пасека (низ огород) 05-080-025-120,ВКО,2020,Пшеница яровая,3.8,28.632,True,сметанина пасека низ огород 05 080 025 120,221,Сметанина пасека (низ огород) 05-080-025-120,50.45758769417813,82.53181450973824,8.0,0.38,2.8632,wheat_spring,3.8,productivity_normalized,-3.42,3.42
Давыдкин увал левый,ВКО,2020,Рапс озимый,3.62,16.897,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,0.362,1.6896999999999998,oil_seed_raps_winter,3.62,productivity_normalized,-3.258,3.258
Овчинников увал,ВКО,2020,Пшеница яровая,3.37,19.61,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,0.337,1.9609999999999999,wheat_spring,3.37,productivity_normalized,-3.033,3.033
Козлов ув.пр(низ) 05-080-025-208,ВКО,2020,Пшеница озимая,3.19,24.044,True,козлов ув пр низ 05 080 025 208,211,Козлов ув.пр(низ) 05-080-025-208,50.4147461642427,82.40217837488487,93.0,0.319,2.4044,wheat_winter,3.19,productivity_normalized,-2.871,2.871
Лесополосы (Козлов увал правый) 05-080-025-208,ВКО,2020,Пшеница яровая,3.19,15.097,True,лесополосы козлов увал правый 05 080 025 208,214,Лесополосы (Козлов увал правый) 05-080-025-208,50.39509947120296,82.40013226517021,9.0,0.319,1.5097,wheat_spring,3.19,productivity_normalized,-2.871,2.871
Давыдкин увал правый,ВКО,2020,Рапс озимый,2.23,18.421,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,0.223,1.8420999999999998,oil_seed_raps_winter,2.23,productivity_normalized,-2.007,2.007
Козлов увал правый,ВКО,2020,Пшеница озимая,2.11,21.218,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,0.211,2.1218,wheat_winter,2.11,productivity_normalized,-1.8989999999999998,1.8989999999999998
Соколки 2,ВКО,2020,Пшеница яровая,2.1,11.26,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,0.21000000000000002,1.126,wheat_spring,2.1,productivity_normalized,-1.8900000000000001,1.8900000000000001
Соколки 1,ВКО,2020,Пшеница яровая,2.1,9.872,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,0.21000000000000002,0.9872,wheat_spring,2.1,productivity_normalized,-1.8900000000000001,1.8900000000000001
Козлов Увал левый,ВКО,2024,Пшеница озимая,63.839486,56.417,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,6.3839486,5.6417,wheat_winter,4.5289739764627885,physical_harvested_weight,1.8549746235372115,1.8549746235372115
Бригадная стрелка,ВКО,2020,Рапс озимый,1.68,12.317,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,0.16799999999999998,1.2317,oil_seed_raps_winter,1.68,productivity_normalized,-1.512,1.512
Штаны,ВКО,2023,Ячмень яровой,24.828947,21.623,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,2.4828947,2.1623,barley_spring,1.1793749999999998,physical_harvested_weight,1.3035197000000003,1.3035197000000003
Александров ключ,ВКО,2025,Пшеница яровая,26.312281,34.044,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,2.6312281,3.4044,wheat_spring,1.3522676043638986,physical_harvested_weight,1.2789604956361014,1.2789604956361014
Козлов Увал левый,ВКО,2025,Подсолнечник,32.871963,30.953,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,3.2871963,3.0953,sunflower,2.332040444223438,physical_harvested_weight,0.955155855776562,0.955155855776562
Козлов увал правый,ВКО,2021,Подсолнечник,24.023026,29.186,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,2.4023026,2.9186,sunflower,1.4783400809716598,physical_harvested_weight,0.9239625190283403,0.9239625190283403
Карелкино,ВКО,2021,Подсолнечник,28.434021,30.769,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,2.8434021,3.0768999999999997,sunflower,2.1216153846153847,physical_harvested_weight,0.7217867153846154,0.7217867153846154
Палатьи,ВКО,2021,Подсолнечник,25.95625,25.34,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,2.595625,2.534,sunflower,2.12974358974359,physical_harvested_weight,0.46588141025641017,0.46588141025641017
Костенькина стрелка,ВКО,2021,Подсолнечник,36.392126,32.197,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,3.6392125999999996,3.2197000000000005,sunflower,3.3983823529411765,physical_harvested_weight,0.24083024705882305,0.24083024705882305
Бригадная стрелка,ВКО,2023,Пшеница яровая,11.861413,15.378,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,1.1861413,1.5378,wheat_spring,0.9786995515695068,physical_harvested_weight,0.20744174843049323,0.20744174843049323
Давыдкин увал левый,ВКО,2021,Пшеница озимая,35.988646,34.016,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,3.5988646,3.4015999999999997,wheat_winter,3.5069787234042553,physical_harvested_weight,0.09188587659574488,0.09188587659574488
Холодный ключ,ВКО,2021,Подсолнечник,21.762,24.671,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,2.1762,2.4671,sunflower,2.0925,physical_harvested_weight,0.08370000000000033,0.08370000000000033
