field_id,field_name,year,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_n,yield_map_mean_t_ha,yield_map_std_t_ha,yield_map_min_t_ha,yield_map_max_t_ha,yield_map_values,diff_prod_minus_map,abs_diff,conflict_gt_1t,in_high_yield_miss_audit
209,Козлов Увал левый,2024,Пшеница озимая,6.3839486,5.6417,2,3.31,0.0,3.31,3.31,3.31;3.31,3.0739486,3.0739486,True,True
195,Коновалиха 1,2023,Пшеница озимая,0.8904064999999999,1.8031,4,3.16,0.0,3.16,3.16,3.16;3.16;3.16;3.16,-2.2695935,2.2695935,True,False
224,Холодный ключ,2022,Пшеница яровая,3.0794231,3.3052,2,1.753303917832358,0.7740440524408879,1.2059721194142905,2.3006357162504254,2.30;1.21,1.3261191821676421,1.3261191821676421,True,False
230,Бригадная стрелка,2022,Подсолнечник,3.2572197000000003,3.192,2,1.945001251303441,1.402332398838864,0.953402502606882,2.9366,0.95;2.94,1.3122184486965593,1.3122184486965593,True,False
228,Бонн 1,2022,Пшеница яровая,4.5647458,3.2991,1,3.2843750000000003,,3.2843750000000003,3.2843750000000003,3.28,1.2803707999999996,1.2803707999999996,True,True
225,Холодный ключ (сенокос) 05-080-025-120,2021,Подсолнечник,1.85,2.1724,1,0.582375,,0.582375,0.582375,0.58,1.2676250000000002,1.2676250000000002,True,False
234,Красный яр,2022,Пшеница яровая,3.9754286,3.5317999999999996,1,2.8842857142857143,,2.8842857142857143,2.8842857142857143,2.88,1.0911428857142855,1.0911428857142855,True,False
214,Лесополосы (Козлов увал правый) 05-080-025-208,2021,Пшеница яровая,1.5857778,2.8408,1,0.6312242268041237,,0.6312242268041237,0.6312242268041237,0.63,0.9545535731958763,0.9545535731958763,False,False
207,Александров ключ,2022,Пшеница озимая,1.9018182,2.9544,1,1.094122807017544,,1.094122807017544,1.094122807017544,1.09,0.807695392982456,0.807695392982456,False,False
232,Давыдкин увал правый,2022,Пшеница озимая,1.8478378,1.8508,2,2.5862499999999997,0.0300520382004281,2.565,2.6075,2.61;2.56,-0.7384121999999997,0.7384121999999997,False,False
219,Подхозный увал 1,2024,Пшеница яровая,3.6718381,3.3588,2,2.99,0.0,2.99,2.99,2.99;2.99,0.6818380999999998,0.6818380999999998,False,False
195,Коновалиха 1,2022,Пшеница озимая,2.121626,2.4872,1,1.447265625,,1.447265625,1.447265625,1.45,0.674360375,0.674360375,False,False
213,Лесополосы (Козлов увал левый) 05-080-025-182,2022,Подсолнечник,1.4814285999999999,2.3059000000000003,1,0.9052631578947368,,0.9052631578947368,0.9052631578947368,0.91,0.5761654421052631,0.5761654421052631,False,False
229,Бонн 2,2024,Подсолнечник,3.2544167,2.0838,2,2.69,0.0,2.69,2.69,2.69;2.69,0.5644167000000002,0.5644167000000002,False,False
215,Лоскутиха,2022,Пшеница яровая,2.8589873,2.7344999999999997,1,2.3376146788990826,,2.3376146788990826,2.3376146788990826,2.34,0.5213726211009173,0.5213726211009173,False,False
232,Давыдкин увал правый,2024,Пшеница яровая,3.3303041,4.1415999999999995,2,2.87,0.0,2.87,2.87,2.87;2.87,0.4603041000000001,0.4603041000000001,False,False
227,Большая Семёниха СК,2022,Пшеница озимая,2.2175145,3.2383,1,1.8283035714285711,,1.8283035714285711,1.8283035714285711,1.83,0.3892109285714289,0.3892109285714289,False,False
230,Бригадная стрелка,2024,Подсолнечник,3.2521794,3.1277999999999997,2,2.89,0.0,2.89,2.89,2.89;2.89,0.36217940000000004,0.36217940000000004,False,False
197,Казачий увал,2022,Пшеница озимая,1.5206997,3.2342,1,1.1920785219399537,,1.1920785219399537,1.1920785219399537,1.19,0.3286211780600463,0.3286211780600463,False,False
195,Коновалиха 1,2024,Подсолнечник,2.7365854,3.3274,2,3.04,0.0,3.04,3.04,3.04;3.04,-0.3034146,0.3034146,False,False
