scenario,asof_tag,model,field_id,field_name_csv,year,standard_name,prod_crop_ru,target_yield_t_ha,ml_pred,cropwise_asof_t_ha,ml_error,cw_error,ml_abs_error,cw_abs_error,ml_mape_row,cw_mape_row,ml_wins,tillable_area,underprediction,field_tillable_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_mean_asof,ndvi_max_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_anom_mean_asof,ndvi_anom_last_value_asof,wx_precip_sum_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_vpd_max_to_asof,wx_hot_d30_to_asof,wx_dry_days_to_asof,wx_sow_precip_sum,wx_sow_water_balance,sowing_date_valid,days_after_sowing_asof,gdd_from_sowing_asof,scout_n_reports_asof,scout_risk_yield_decreasing_any,scout_condition_bad_n,scout_threat_total_n,soil_sample_has_asof,soil_sample_latest_soil_pH,soil_sample_latest_soil_P,soil_sample_latest_soil_K,soil_sample_latest_soil_N_NO3,soil_sample_latest_soil_organic_matter,ops_n_asof,ops_completed_area_sum,ops_application_n,ops_sowing_n,ops_harvesting_n_asof,ops_type_list,ops_last_date,mix_fertilizer_n,mix_fertilizer_rate_sum,mix_seed_n,mix_seed_rate_sum,mix_chemical_n,mix_chemical_rate_sum,mix_applicable_types,yield_map_n,yield_map_mean,yield_map_values
all_crops,07_01,v12_shallow_l30,209,Козлов Увал левый,2024,wheat_winter,Пшеница озимая,6.3839486,2.756624935525297,5.0459000000000005,-3.627323664474703,-1.3380485999999996,3.627323664474703,1.3380485999999996,56.819437181475784,20.9595766482205,False,301.65,3.627323664474703,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,0.6452142857142859,0.792,0.763,27.099000000000004,163.0,0.3153678372140425,0.1567093731431966,255.0,333.58000000000004,-78.58000000000004,3.24,7,55,795.4000000000001,252.86000000000013,1,304.0,1088.6999999999996,2,0.0,0.0,0.0,1,6.184615384615385,16.492307692307694,422.15384615384613,8.205384615384615,5.653846153846154,14,2161.0,7,0,0,application;soil;other,2024-06-13,5,400.3674179952355,6,289.3457943925234,7,0.9876168224299064,Chemical;Seed;Fertilizer,2,3.31,3.31;3.31
all_crops,08_01,v12_no_field_id,209,Козлов Увал левый,2024,wheat_winter,Пшеница озимая,6.3839486,2.9297500267660475,5.6417,-3.4541985732339526,-0.7422485999999999,3.4541985732339526,0.7422485999999999,54.107556148461974,11.62679473954411,False,301.65,3.4541985732339526,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,0.6001785714285715,0.792,0.352,33.61,163.0,0.1989366188305159,-0.2456882098293862,409.30000000000007,466.73,-57.42999999999995,3.24,8,72,949.7,274.01,1,335.0,1573.1,3,0.0,0.0,0.0,1,6.184615384615385,16.492307692307694,422.15384615384613,8.205384615384615,5.653846153846154,15,2375.0,7,0,1,application;soil;other;harvesting,2024-07-27,5,400.3674179952355,6,289.3457943925234,7,0.9876168224299064,Chemical;Seed;Fertilizer,2,3.31,3.31;3.31
all_crops,09_01,v12_no_field_id,209,Козлов Увал левый,2024,wheat_winter,Пшеница озимая,6.3839486,3.0960328026869184,5.6417,-3.2879157973130817,-0.7422485999999999,3.2879157973130817,0.7422485999999999,51.502855103079646,11.62679473954411,False,301.65,3.2879157973130817,301.65,7.042857142857143,3.5357142857142856,171.9557142857143,277.5815457142857,7.35,437.1428571428572,0.5287638888888888,0.792,0.225,38.071,163.0,0.0925334696763158,-0.2386766041148394,446.6,601.3,-154.7,3.24,11,93,987.0,176.74000000000012,1,366.0,2042.7999999999995,3,0.0,0.0,0.0,1,6.184615384615385,16.492307692307694,422.15384615384613,8.205384615384615,5.653846153846154,15,2375.0,7,0,1,application;soil;other;harvesting,2024-07-27,5,400.3674179952355,6,289.3457943925234,7,0.9876168224299064,Chemical;Seed;Fertilizer,2,3.31,3.31;3.31
all_crops,09_01,v12_no_field_id,234,Красный яр,2021,wheat_winter,Пшеница озимая,5.3891429,2.3006315855868005,3.8293,-3.0885113144132,-1.5598429000000005,3.0885113144132,1.5598429000000005,57.30987972898621,28.944174035540986,False,35.0,3.0885113144132,35.0,6.5,3.73,181.31,492.74302,14.32,480.0,0.5485147058823528,0.726,0.483,37.29899999999999,181.0,0.0287461341377071,-0.0187141620284478,298.49999999999994,604.52,-306.02000000000004,3.73,10,113,752.5,-32.65000000000009,1,363.0,1724.5,1,0.0,0.0,0.0,0,,,,,,5,175.0,4,0,1,application;harvesting,2021-08-05,2,56.57142857142857,1,0.0,13,2.367142857142857,Chemical;Fertilizer;Seed,0,,
all_crops,08_01,v12_no_field_id,222,Соколки 1,2023,barley_spring,Ячмень яровой,4.500500000000001,1.6923142751430953,2.53,-2.808185724856905,-1.9705000000000004,2.808185724856905,1.9705000000000004,62.397194197464835,43.784023997333634,False,62.0,2.808185724856905,62.0,6.9,3.725,206.315,278.80506,4.845,420.0,0.4068771929824561,0.617,0.541,23.192,184.0,-0.0426452984757058,-0.0268677522130645,158.1,550.18,-392.0799999999999,5.01,12,95,113.8,-310.99999999999994,1,80.0,1048.9,1,0.0,0.0,0.0,1,5.45,27.25,337.0,9.465,5.6,12,496.0,5,0,0,application;soil;other,2023-06-19,3,50.2,6,206.0,8,2.095,Chemical;Seed;Fertilizer,0,,
all_crops,09_01,v12_no_field_id,222,Соколки 1,2023,barley_spring,Ячмень яровой,4.500500000000001,1.7085726606548537,2.0631,-2.791927339345147,-2.4374000000000007,2.791927339345147,2.4374000000000007,62.03593688134978,54.158426841462074,False,62.0,2.791927339345147,62.0,6.9,3.725,206.315,278.80506,4.845,420.0,0.406611111111111,0.617,0.361,29.275999999999996,184.0,-0.0496050402521969,-0.0273683830058829,254.1,664.02,-409.92,5.01,13,115,209.8,-328.84000000000003,1,111.0,1444.2999999999995,1,0.0,0.0,0.0,1,5.45,27.25,337.0,9.465,5.6,14,558.0,6,0,1,application;soil;other;harvesting,2023-08-24,3,50.2,6,206.0,10,2.095,Chemical;Seed;Fertilizer,0,,
all_crops,07_01,v12_shallow_l30,210,Козлов увал правый,2024,wheat_winter,Пшеница озимая,5.5194939,2.7356508105429023,5.6729,-2.783843089457098,0.1534061000000006,2.783843089457098,0.1534061000000006,50.43656429182932,2.7793508386702026,False,247.0,2.7838430894570974,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,0.6617674418604651,0.806,0.77,28.456,173.0,0.3041114565495747,0.1501099354893472,255.0,333.58000000000004,-78.58000000000004,3.24,7,55,800.6999999999999,247.2299999999999,1,307.0,1130.2999999999993,3,0.0,0.0,0.0,1,5.791666666666667,21.91166666666666,420.0,7.993333333333332,5.086666666666667,14,2733.0,9,0,0,application;soil;other,2024-06-12,5,387.0081797901347,6,263.1578947368421,12,3.353425101214575,Chemical;Seed;Fertilizer,0,,
all_crops,08_01,v12_no_field_id,234,Красный яр,2021,wheat_winter,Пшеница озимая,5.3891429,2.624975805053845,3.8293,-2.764167094946155,-1.5598429000000005,2.764167094946155,1.5598429000000005,51.29140470456175,28.944174035540986,False,35.0,2.7641670949461554,35.0,6.5,3.73,181.31,492.74302,14.32,480.0,0.5635454545454546,0.726,0.504,30.995,181.0,0.0516742312940097,-0.0967392857142858,243.2,480.29,-237.09000000000003,3.73,9,90,697.2,36.27999999999997,1,332.0,1306.6,1,0.0,0.0,0.0,0,,,,,,4,140.0,4,0,0,application,2021-07-08,2,56.57142857142857,1,0.0,13,2.367142857142857,Chemical;Fertilizer;Seed,0,,
all_crops,08_01,v12_no_field_id,210,Козлов увал правый,2024,wheat_winter,Пшеница озимая,5.5194939,2.9026841801870313,5.754099999999999,-2.6168097198129683,0.2346060999999997,2.6168097198129683,0.2346060999999997,47.41031998989922,4.250500213434419,False,247.0,2.6168097198129683,247.0,7.2125,3.72,230.06625,480.10587375,9.455,423.75,0.6008666666666668,0.806,0.369,36.05200000000001,173.0,0.1665882529581077,-0.2577167833800187,409.30000000000007,466.73,-57.42999999999995,3.24,8,72,955.0,268.38,1,338.0,1614.6999999999998,4,0.0,0.0,0.0,1,5.791666666666667,21.91166666666666,420.0,7.993333333333332,5.086666666666667,15,2980.0,9,0,1,application;soil;other;harvesting,2024-07-24,5,387.0081797901347,6,263.1578947368421,12,3.353425101214575,Chemical;Seed;Fertilizer,0,,
all_crops,07_01,v12_shallow_l30,234,Красный яр,2021,wheat_winter,Пшеница озимая,5.3891429,2.785285999654955,2.7121,-2.6038569003450456,-2.6770429000000004,2.6038569003450456,2.6770429000000004,48.316716566284505,49.67474326947241,True,35.0,2.6038569003450456,35.0,6.5,3.73,181.31,492.74302,14.32,480.0,0.5394,0.726,0.702,21.576,181.0,0.0758412696876112,0.0652542800453515,149.10000000000002,336.92999999999995,-187.82999999999993,3.73,4,67,603.0999999999999,85.53999999999996,1,301.0,830.3999999999997,1,0.0,0.0,0.0,0,,,,,,3,105.0,3,0,0,application,2021-06-19,2,56.57142857142857,1,0.0,12,1.7671428571428571,Chemical;Fertilizer;Seed,0,,
